id,created_at,edit_history_tweet_ids,text,clean_text,nouns
1.5651104215221125e+18,2022-08-31 22:52:57+00:00,['1565110421522112512'],"@LumpyandFriends ""Come on! I know you're in there!"" I bet you wish that was tonight. Looking at the state of his shoulders and ears, that video is not very old.", come on i know you're in there i bet you wish that was tonight looking at the state of his shoulders and ears that video is not very old,state shoulder video
1.5650581288482406e+18,2022-08-31 19:25:09+00:00,['1565058128848240640'],"@forcesbiznet @YesterdaysBrit1 By the age of the photo, there would have been a ""buffy-bar"" in the train. Also it was usually restaurant car stewards/stewardesses who took the trolley through the train outside meal sittings.",  by the age of the photo there would have been a buffybar in the train also it was usually restaurant car stewardsstewardesses who took the trolley through the train outside meal sittings,photo buffybar train stewardsstewardesses trolley train meal sitting
1.565041190361305e+18,2022-08-31 18:17:51+00:00,['1565041190361305092'],"@LumpyandFriends ""Well, she doesn't appreciate fine quality nuts!"" Was this after he'd spent 20 mins scoffing his special mix?", well she doesn't appreciate fine quality nuts was this after he'd spent mins scoffing his special mix,quality spent
1.564743982336426e+18,2022-08-30 22:36:51+00:00,['1564743982336425986'],"@LumpyandFriends No doubt about it, Flo loves her grub!", no doubt about it flo loves her grub,doubt grub
1.564741970429354e+18,2022-08-30 22:28:51+00:00,['1564741970429353984'],@LumpyandFriends I assume Mr Lumpy had already had his mix? Snowdrop was on the look-out for someone to chase him off. Snowdrop's brush is magnificent., i assume mr lumpy had already had his mix snowdrop was on the lookout for someone to chase him off snowdrop's brush is magnificent,lumpy snowdrop lookout someone brush
1.5646987170887762e+18,2022-08-30 19:36:59+00:00,['1564698717088776195'],"@RailBusinessUK @chilternrailway Adrian Shooter played a leading role in the winning bid by MTR/Laing for the first London Rail Concession. The master stroke was to offer to ""throw in"" 8x2car Class 172s for the T&amp;H (#GOBLIN) service. We wanted 3-cars, but I don't know how we would have managed without the 172s.",  adrian shooter played a leading role in the winning bid by mtrlaing for the first london rail concession the master stroke was to offer to throw in class for the tamph  service we wanted but i don't know how we would have managed without the,shooter role london rail concession master stroke class tamph service
1.564318673753473e+18,2022-08-29 18:26:50+00:00,['1564318673753473031'],@LumpyandFriends Will look forward to the 'potted histories' as I am starting to forget the details of some of them., will look forward to the potted histories as i am starting to forget the details of some of them,history detail
1.564206091847848e+18,2022-08-29 10:59:28+00:00,['1564206091847847936'],@PaulMBigland Do you remember the abandoned brake van at Upper Holloway?, do you remember the abandoned brake van at upper holloway,brake holloway
1.5641157376686326e+18,2022-08-29 05:00:26+00:00,['1564115737668632578'],@N_Amberfield In those days I was part of the 73082 'Camelot' Locomotive Society sales team. The Coalville open day was an annual fixture for our sales stand., in those days i was part of the camelot locomotive society sales team the coalville open day was an annual fixture for our sales stand,part camelot society sale coalville fixture sale
1.5641101482720993e+18,2022-08-29 04:38:13+00:00,['1564110148272099328'],@N_Amberfield Well the railway might not have sent the painters in but the station staff were doing their best and obviously had 'green fingers'!, well the railway might not have sent the painters in but the station staff were doing their best and obviously had green fingers,railway painter station staff finger
