,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,clean_text,created_at,label,sentiment_index,sentiment
1968,1968,value week,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,"So, how long are we giving it before the R value is back above one? I’ll say 2 weeks.",so how long are we giving it before the r value is back above one i’ll say weeks,2020-05-11 13:35:03+00:00,None,1,Positive
1969,1969,work trophy,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.7187933803365594,False,"@purpleMash hi, I've noticed some of my sons marked work has different coloured trophies beside it. Can you explain what they mean please?", hi i've noticed some of my sons marked work has different coloured trophies beside it can you explain what they mean please,2020-05-11 19:41:58+00:00,None,1,Positive
1970,1970,team office morning,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@railwaychaplain @andreajcs @StephenERowe @DylisGeorge @Nanahcub225 @Diakonistas @RailChaplains We’ve got some decent teams help guide. Want me to send it over to the office in the morning?,       we’ve got some decent teams help guide want me to send it over to the office in the morning,2020-05-12 21:03:25+00:00,None,1,Positive
1971,1971,worry morning instruction background,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.5010147466650156,False,"@railwaychaplain @andreajcs @StephenERowe @DylisGeorge @Nanahcub225 @Diakonistas @RailChaplains No worries, I’ll send it over to Anne in the morning. I’ll try and dig out the instructions to change your background too.",       no worries i’ll send it over to anne in the morning i’ll try and dig out the instructions to change your background too,2020-05-12 21:24:36+00:00,None,1,Positive
1972,1972,bribe bristol,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.9415032426320956,False,What do we reckon @networkrailwest I'm open to coffee bribes when I'm back in Bristol 😂 https://t.co/dDBLBaCc5s,what do we reckon  i'm open to coffee bribes when i'm back in bristol  ,2020-05-13 09:33:37+00:00,None,0,None
1973,1973,positioning celebs shame,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@debsylee This positioning is great - don't celebs shame you 😂😂 https://t.co/JnlT2C0DKl, this positioning is great  don't celebs shame you  ,2020-05-13 09:34:19+00:00,None,1,Positive
1974,1974,team hello contractor place thanks,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"@BTPAvonSomerset @GWRHelp As much as I love the team at @gwrhelp we also need to say a hello to @networkrailwest their lovely contractors (me, biased much?!) who are still out in places too. But thanks to all 3 for all you're doing right now #OrangeArmyrocks",  as much as i love the team at  we also need to say a hello to  their lovely contractors me biased much who are still out in places too but thanks to all for all you're doing right now ,2020-05-13 09:35:59+00:00,None,1,Positive
1975,1975,week number,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,I’ll give it two weeks before the R number is above 1. https://t.co/gjdEtsJiwg,i’ll give it two weeks before the r number is above ,2020-05-13 12:44:39+00:00,None,1,Positive
1976,1976,bachmann park,9,9_station_park_facebook_cream,station - park - facebook - cream - island - wall - castle - group - bletchley - railway,0.6235553823726386,False,@RMcCarthy86 @herguestridge Do a Bachmann and keep it in the car park!,  do a bachmann and keep it in the car park,2020-05-13 13:42:18+00:00,Life,0,None
1977,1977,hour call reckon,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,@BristolBears @zoom_us I have a 2 hour call with Russ on Wed @Chris_I_Carter reckon he'd like to see one of these behind me?!,  i have a hour call with russ on wed  reckon he'd like to see one of these behind me,2020-05-13 21:29:49+00:00,None,1,Positive
1978,1978,morning doctor,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.2702853968560925,False,@DrHilaryJones where did you get the tie from this morning Doctor?, where did you get the tie from this morning doctor,2020-05-14 08:31:30+00:00,None,0,None
1979,1979,slat roll,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@m4rkj @SweatyMcGoober Tap Slat Hat Bread Roll,  tap slat hat bread roll,2020-05-14 11:45:13+00:00,None,0,None
1980,1980,word school virus tracking number death risk life health,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.4882198676932532,False,"@MattHancock Don't believe a word of it, I wouldn't want my kids back in school until the virus is well and truly contained, let's see proper testing, tracking and tracing with numbers of all deaths confirmed as massively reduced before reckless risk to people's life and health", don't believe a word of it i wouldn't want my kids back in school until the virus is well and truly contained let's see proper testing tracking and tracing with numbers of all deaths confirmed as massively reduced before reckless risk to people's life and health,2020-05-14 13:03:45+00:00,None,0,None
1981,1981,salt vinegar chocolate rice cake love cottage chicken curry rice eveningbecome creature habit,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"@phil500 @Snackajacks salt and vinegar or chocolate rice cakes are now a must, and developed a love also for @tesco low fat cottage pie or chicken curry and rice for tea along with #becksbluebeer in the evening...become a creature of habit whilst he's away!",  salt and vinegar or chocolate rice cakes are now a must and developed a love also for  low fat cottage pie or chicken curry and rice for tea along with  in the eveningbecome a creature of habit whilst he's away,2020-05-14 14:57:39+00:00,None,1,Positive
1982,1982,question question sanity point reality,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@Tringonometry Question 1: Who is Mr Dogg? Question 2: Have we checked his sanity? Point 1: I reject his reality and substitute my own! https://t.co/n4WUWPI6rq, question who is mr dogg question have we checked his sanity point i reject his reality and substitute my own ,2020-05-15 05:31:18+00:00,None,2,Negative
1983,1983,siobhan environment level rise line year reward,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"@Siobhan_Baillie All very good Siobhan but how about you ensure that they have a safe environment with proper levels of #ppe to work in and award them a pay rise, perhaps in line with what MP's award themselves each year. #NHSheroes deserve more than a symbolic reward, give them an actual one", all very good siobhan but how about you ensure that they have a safe environment with proper levels of  to work in and award them a pay rise perhaps in line with what mp's award themselves each year  deserve more than a symbolic reward give them an actual one,2020-05-15 08:24:21+00:00,None,1,Positive
1984,1984,ribena ribena berry someone factory bena berry everytime parent past month,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@FoDDC @LRSuntory Remember the ribena ad with the 'ribena berries'? I once told someone that the C'ford factory was where the 'bena berries' went to die....she cried everytime her parents drove past for about 3 months 😂😂,  remember the ribena ad with the ribena berries i once told someone that the c'ford factory was where the bena berries went to dieshe cried everytime her parents drove past for about months ,2020-05-15 11:47:11+00:00,None,2,Negative
1985,1985,forbidden film morning coincident,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.2515022208967379,False,@LeeRender @Tringonometry He started it by talking about the forbidden film this morning! It cannot be just a coincident! https://t.co/fkt08ffUIM,  he started it by talking about the forbidden film this morning it cannot be just a coincident ,2020-05-15 15:12:52+00:00,None,2,Negative
1986,1986,dungeon dragon year virgin description,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.5508220543471699,False,"@WalesOnline Dungeons and Dragons fan, 20 years old - may as well have added virgin to the description.", dungeons and dragons fan years old  may as well have added virgin to the description,2020-05-15 19:41:25+00:00,None,1,Positive
1987,1987,operation speed title oxford title,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,"Operation Warp Speed, ey? Glamorous title. Love it. I predict Oxford are gonna be first though. Oh, that’s without silly titles too. https://t.co/8yDQQmSJkJ",operation warp speed ey glamorous title love it i predict oxford are gonna be first though oh that’s without silly titles too ,2020-05-16 13:14:58+00:00,None,1,Positive
1988,1988,week roast pork,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@jameshepburn91 Bit early in the week for roast pork., bit early in the week for roast pork,2020-05-16 13:28:30+00:00,None,0,None
1989,1989,condition politician condition something site quicker,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.8549277702279352,False,#NHS let down and sent to work in unsafe conditions without adequate #PPE #Covid19UK I'll bet if the politicians were being asked to work in unsafe conditions they'd do something about it a damn site quicker https://t.co/pWCz6NmgjI, let down and sent to work in unsafe conditions without adequate   i'll bet if the politicians were being asked to work in unsafe conditions they'd do something about it a damn site quicker ,2020-05-17 00:54:04+00:00,None,2,Negative
1990,1990,something year captain pike comeback,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,Something positive about this shitty year at last. The unbearably beautiful Captain Pike is making a comeback! Hit it 🖖🏻 https://t.co/ingLwsNDjH,something positive about this shitty year at last the unbearably beautiful captain pike is making a comeback hit it  ,2020-05-17 14:08:05+00:00,None,1,Positive
1991,1991,ashridge sort freelance branch bluebell line,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0549836462771829,False,"@NSE_KentLink Ashridge, sort of freelance but roughly off the Ardingly branch on the Bluebell Line.", ashridge sort of freelance but roughly off the ardingly branch on the bluebell line,2020-05-17 17:27:07+00:00,None,1,Positive
1992,1992,news confidence peak street middle,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.8421698874466073,False,"@_SteveAB @NetworkRailEUS That news doesn't fill me with confidence, I've got a PM Peak out of New Street later, as much as I don't enjoy it, might work solely from rear cab instead of the middle of that one.",  that news doesn't fill me with confidence i've got a pm peak out of new street later as much as i don't enjoy it might work solely from rear cab instead of the middle of that one,2020-05-18 06:21:12+00:00,None,1,Positive
