,Unnamed: 0,Unnamed: 0.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
20510,20510,106315,friday,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.9107144885323656,False,@virkjay @Constant55 @NicolaWood64 @jjb3621 Happy Friday 😘,2020-11-06 05:23:04+00:00,None
20511,20511,106314,week plan week friday,1,1_holiday_week_summer_easter,holiday - week - summer - easter - bank - term - food - solidarity - school - recovery,1.0,False,@Constant55 @virkjay @NicolaWood64 @jjb3621 Pull together the week and plan for next week Happy Friday,2020-11-06 05:33:49+00:00,Work
20512,20512,106313,morning weekend,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,"@virkjay @Constant55 @NicolaWood64 @jjb3621 Morning Jay, weekend is almost here",2020-11-06 06:04:11+00:00,None
20513,20513,73682,roman book,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,@MissC_1717 @AnneliseGray @FrithaL @ZephyrPress @KtWillett Roman book!,2020-11-06 06:30:33+00:00,None
20514,20514,106312,house everyone,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,Strange sneaking around the house- everyone still asleep #Lockdown2 off to work I go,2020-11-06 06:43:55+00:00,None
20515,20515,115609,school morning,2,2_morning_james_claire_paul,morning - james - claire - paul - nicola - thanks - adventure - monday - beatles - queue,0.4069616210622201,False,"That's looks great, warm too (bit chilly at school this morning) ☺ 🎇 🔥 https://t.co/fP223fHWli",2020-11-06 07:03:06+00:00,Life
20516,20516,115608,today time violet lunch cleaner fruit premise field,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,"I got to @TVInfants early today, catch up time. Violet is preparing lunch, the cleaners are busy as always, Billy is getting the fruit out checking the premises. I thought I'd show you the beautiful #sunrise over our frosty field @bbcweather isn't it stunning? https://t.co/OC2ZxeiwwI",2020-11-06 07:08:51+00:00,None
20517,20517,106311,friday,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,1.0,False,@NicolaWood64 @virkjay @Constant55 @jjb3621 I’m dancing 😘 Happy Friday,2020-11-06 07:27:57+00:00,None
20518,20518,106310,morning james,2,2_morning_james_claire_paul,morning - james - claire - paul - nicola - thanks - adventure - monday - beatles - queue,0.9122969340656002,True,@jjb3621 @virkjay @Constant55 @NicolaWood64 Morning James,2020-11-06 07:28:06+00:00,Life
20519,20519,13068,agree decision year,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.682663559481327,False,Agree with the decision but why wasn’t this being done years ago? https://t.co/AuXqXT6fJx,2020-11-06 07:52:37+00:00,None
