,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text
64067,64067,hello tweet week work,2,2_tweet_twitter_account_timeline,tweet - twitter - account - timeline - people - follower - troll - like - time - reply,1.0,False,"@maahnoorali hello can i say that your tweets just brought me to tears bc i feel so touched 😭😭😭 i'm chronically ill, rusticated and now back but have been falling sick literally every other week it's so agonising and makes me behind on work 24/7 and now i've just gotten covid too so 😭😭😭"
94264,94264,relaxing twitter,2,2_tweet_twitter_account_timeline,tweet - twitter - account - timeline - people - follower - troll - like - time - reply,1.0,False,Who else is awake and um relaxing on Twitter? https://t.co/4af2hicgPw
56667,56667,bile timeline break twitter,2,2_tweet_twitter_account_timeline,tweet - twitter - account - timeline - people - follower - troll - like - time - reply,0.7608089055822855,False,@Angelinekking It has been horrible. I do my best to avoid the bile but it's hard to totally sanitize the timeline. I often take extended breaks from Twitter.
12676,12676,tweet conversation martin nurse charlotte reply,2,2_tweet_twitter_account_timeline,tweet - twitter - account - timeline - people - follower - troll - like - time - reply,0.8966671976834987,False,This tweet is wonderful but read the conversation under it between Martin and a nurse called Charlotte (in the replies). Just had my daily cry. 😭😭😭 https://t.co/kOwe0QqgYx
47474,47474,account twitter follower,2,2_tweet_twitter_account_timeline,tweet - twitter - account - timeline - people - follower - troll - like - time - reply,0.7946080008169878,False,@SeanDZWalsh “Pls RT previous account targeted by Twitter at 147k followers”
43034,43034,weird word tweet fucking sense,2,2_tweet_twitter_account_timeline,tweet - twitter - account - timeline - people - follower - troll - like - time - reply,1.0,False,"@toadmeister It’s weird, because I know what every one of these words mean individually. Yet this tweet makes zero fucking sense."
69058,69058,thanks minute twitter,2,2_tweet_twitter_account_timeline,tweet - twitter - account - timeline - people - follower - troll - like - time - reply,1.0,False,@SchizoMan09 All good thanks. I struggle to find a minute to get as far as mainstream Twitter these days but DMs will always find me. 😊
37498,37498,person twitter diagram closing comment,2,2_tweet_twitter_account_timeline,tweet - twitter - account - timeline - people - follower - troll - like - time - reply,1.0,False,I suspect may be the only person on Twitter who was able to draw a Venn diagram between @BroadwayBillLee and @GaryLineker's closing comments on #MOTD there?
84052,84052,raducanu tweet erling haaland,2,2_tweet_twitter_account_timeline,tweet - twitter - account - timeline - people - follower - troll - like - time - reply,0.6911572535569847,False,"If Emma Raducanu is Canadian, as I am seeing many tweets suggesting, by that token Erling Haaland is English 🤡🤡🤡🤡"
44007,44007,account insta mate kind,2,2_tweet_twitter_account_timeline,tweet - twitter - account - timeline - people - follower - troll - like - time - reply,0.8762835529055932,False,"@JayDot90 Have reported the account on Insta. So sad you have to see this awfulness, mate. You are all kinds of awesome"
77001,77001,doug beattie leader tweet news,2,2_tweet_twitter_account_timeline,tweet - twitter - account - timeline - people - follower - troll - like - time - reply,0.866953721670752,False,Doug Beattie: UUP leader to stay after controversial tweets - BBC News https://t.co/1l6GALbGpB
23283,23283,tweet fart elevator feeling year,2,2_tweet_twitter_account_timeline,tweet - twitter - account - timeline - people - follower - troll - like - time - reply,1.0,False,This tweet is going to be as popular as a fart in an elevator but waking up hangover free on New Year’s Day is one of the best feelings in my year.
69493,69493,risk point surprise isolation affect folk zoom session twitter besties obvs chance,2,2_tweet_twitter_account_timeline,tweet - twitter - account - timeline - people - follower - troll - like - time - reply,1.0,False,@AllieCowley6 @Aishamindmatte1 I know you’d never take risks. I was just making the point that it’s no surprise the isolation is having a detrimental affect on many folks’ MH. I wonder if Zoom sessions with some Twitter besties might be worth a try. Not ‘therapy’ obvs but just a chance to feel more connected.
