,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text
60007,60007,specimen tinder,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,1.0,False,@allyinblunder Just like this fine specimen on Tinder 👌🏻 https://t.co/BqbFLIPL0Z
83574,83574,time,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,0.5019993894199349,True,"Snow time, on #Flickr https://t.co/rFooJ3sCrJ #Photography https://t.co/4GY6gp08aN"
132862,132862,thank exaggeration state life,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,0.0094063885198273,False,"@DiverseLearners Thank you! 😊 And it’s no exaggeration to state that I couldn’t have done it without you and Heidi [as I wouldn’t of]. Life changing, truly. 👍"
110170,110170,everyone share time,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,1.0,False,"@ladytrafalgar21 @pathway_team @emlambert8 @SarahSt57058843 @SarahCoiffait @macurnow @suz_cro @TorbaySDevonNHS @CNOEngland @Moorfields Looking forward to seeing everyone to collaborate share, exciting times ahead @ASPHFT @andrealewisRRC @EllenBull2"
128321,128321,girl year,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,1.0,False,When you're allowed to meet the girls after a year of wearing only uniform or pyjamas https://t.co/UlIv8yYd09
123951,123951,copy,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,1.0,True,@LucyBaldwin08 Looks great. Will get a copy :)
113750,113750,drop expression,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,1.0,False,@mikegalsworthy The very subtle drop of his expression is telling.
133857,133857,meaning folk,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,0.485718429541375,False,"@ben_imaging It does, it actually has meaning (but unsurprisingly folks scoff largely because they don’t understand that)."
117418,117418,goooo jess,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,1.0,False,Goooo on Jess https://t.co/vMcKOYqYrq
117499,117499,something,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,0.9739344926592122,True,"This reminds me of something 🧐. No, no, can’t think what it might have been https://t.co/PrsRNeiIyn"
29274,29274,read issue copy,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,0.5476161047353256,False,Have a read of our new issue - digital copy here https://t.co/PcJdONOblO
83345,83345,time,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,0.5386999742946812,True,"wash time, on #Flickr https://t.co/U9JND6hma0 #Photography https://t.co/C19wjovoOF"
74554,74554,kind girl year pure scumbags,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,0.6092496258050736,False,"@tarek_ghouri @aygfhdbli You're actually too kind, shes a lovely girl I'm so glad he left, most of the men this year were repulsively behaved, pure scumbags"
52946,52946,kind second something,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,0.0254418829897875,False,@Smithpeteralb72 @HelenAshby72 As did I... Kind of. I tried for about 10 seconds then thought something was up 😂
67525,67525,something pollack,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,0.0154432926692956,False,@CMichaelGibson Something Pollack
122638,122638,thank kind,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,1.0,False,Thank you kind sir! 💕 https://t.co/2VDgeFANPR
10306,10306,time,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,0.3027358365230581,True,@lauragwales @_traceyjayne Ah I miss our fun times together
