,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text
10074,10074,removal definition labour,3,3_tory_party_labour_election,tory - party - labour - election - vote - leader - picket - voter - leadership - blair,0.5268908393025359,False,@youngvulgarian Charge them £5 for each removal; the very definition of emotional labour
17262,17262,biden people john mccain,3,3_tory_party_labour_election,tory - party - labour - election - vote - leader - picket - voter - leadership - blair,0.3575177200773318,False,"Not missing. They voted Biden because you dissed Vets, and people like John McCain https://t.co/wOyUrZ0u0G"
7373,7373,nope village mile civilisation freeze death person hour voting rate,3,3_tory_party_labour_election,tory - party - labour - election - vote - leader - picket - voter - leadership - blair,0.4464267166976798,False,@LPP2014 Nope but then I live in a village miles from civilisation they’d freeze to death before being able to have asked even 10 locals how they voted. When I went in at 2130 I was the first person they’d seen in over an hour yet we’ll have around 75%+ voting rate.
1658,1658,effort poison chalice shame tory,3,3_tory_party_labour_election,tory - party - labour - election - vote - leader - picket - voter - leadership - blair,1.0,False,@nickwallis Should've left @scullyp where he was making a decent effort at dealing with this poison chalice. Real shame he's moved on. One of the few decent Tories.
16060,16060,tory complacency election,3,3_tory_party_labour_election,tory - party - labour - election - vote - leader - picket - voter - leadership - blair,0.572068785582678,False,@mrjamesob I think the Tories are showing this complacency because they know they are toast at the next election
15071,15071,labour grubby nimby vote,3,3_tory_party_labour_election,tory - party - labour - election - vote - leader - picket - voter - leadership - blair,0.3457124229313806,False,@Andrew_Adonis It’s just as bad when Labour MPs are chasing grubby NIMBY votes as well: https://t.co/6JT07wZXvi
18882,18882,nose strike picket,3,3_tory_party_labour_election,tory - party - labour - election - vote - leader - picket - voter - leadership - blair,0.4531173306470236,False,My nose is on strike. So I'll picket #RailStrikes
17543,17543,action party,3,3_tory_party_labour_election,tory - party - labour - election - vote - leader - picket - voter - leadership - blair,0.4976923720899344,False,@Siobhan_Baillie #EHCR #refugees our actions in this bring international #shame on us #BorisJohnson and the #tory party lie making out that we do more than we do. It's just not good enough! https://t.co/dELzaqmoL2
21644,21644,group people tory life bastard reference vile face,3,3_tory_party_labour_election,tory - party - labour - election - vote - leader - picket - voter - leadership - blair,0.9096047840042236,False,"@Mattladd1 Never seen a group of people that looked more fucking Tory, in my life. Real die hard nasty bastards. With particular reference to 'Annabelle' the single mum. Vile with a pretty face."
597,597,danny temp valley load people guess tory voter woman,3,3_tory_party_labour_election,tory - party - labour - election - vote - leader - picket - voter - leadership - blair,0.396904146595755,False,"Well, well done Danny on the BBC 'taking the temp in Don Valley' by talking to a load of old white people. Yeah, i guess they're typical Tory voters. But still. Count ourselves lucky they talked to a woman?"
