,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text
2,2,wait,4,4_thanks_follow_work_welcome,thanks - follow - work - welcome - wait - rest - glad - anything - dream - fire,0.1004840996729794,True,Can’t wait for her to serenade me too 🥺 https://t.co/Xtnf1bbSV8
7,7,heart,5,5_birthday_heart_dance_treat,birthday - heart - dance - treat - miss - pizza - wish - failure - instagram - skye,1.0,True,Omg my heart https://t.co/IT6PaU3ORg
18,18,girl,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,0.0725465846716934,True,Like they were just literally saying they’re more into the girls than they’re into them but yet 😭 https://t.co/9wePCcfrhK
28,28,point,9,9_friend_kenny_home_point,friend - kenny - home - point - morning - people - mate - message - bloody - reply,0.988264195043555,True,At that point I died https://t.co/A4nEeCYHe5
32,32,heart,5,5_birthday_heart_dance_treat,birthday - heart - dance - treat - miss - pizza - wish - failure - instagram - skye,0.8117554788603211,True,"My heart is pounding watching this, I’m ready https://t.co/4L3dEVSVZA"
50,50,okay,1,1_thank_enjoy_brilliant_support,thank - enjoy - brilliant - support - thankyou - whoop - jackie - yeah - thanks - help,0.830806014354371,True,I’m trying my best okay 🥲 https://t.co/LFH5N4UkwN
53,53,song part spice,2,2_shift_night_tonight_match,shift - night - tonight - match - ward - sleep - game - bless - emotion - today,1.0,True,"I’ve downloaded soo many songs after only hearing nickis part, she really adds that bit of ✨spice✨ https://t.co/YnfqIZD5IJ"
54,54,hill,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.7154950140343966,True,But Why is this the hill you want to die on https://t.co/Wth7OCNyBE
56,56,time,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,0.2585399842779053,True,Bro! Like tek time https://t.co/fPaKC06aSW
62,62,congratulation,3,3_congratulation_luck_award_jenny,congratulation - luck - award - jenny - achievement - team - winner - congrats - hero - football,0.3083781473172552,True,@KatiePiper_ Congratulations🥂
65,65,birthday,5,5_birthday_heart_dance_treat,birthday - heart - dance - treat - miss - pizza - wish - failure - instagram - skye,0.3704926811301928,True,@TheRealGrumpDad Happy Birthday 🎂
67,67,thank,1,1_thank_enjoy_brilliant_support,thank - enjoy - brilliant - support - thankyou - whoop - jackie - yeah - thanks - help,1.0,True,@CorkCoypu Thank you so much☹️
79,79,birthday,5,5_birthday_heart_dance_treat,birthday - heart - dance - treat - miss - pizza - wish - failure - instagram - skye,0.3153509085727897,True,@dunbarnews Happy Birthday 🎉🎁
80,80,birthday,5,5_birthday_heart_dance_treat,birthday - heart - dance - treat - miss - pizza - wish - failure - instagram - skye,0.2277493418375203,True,@JulianClary Happy Birthday🎁🎂🥂
99,99,congratulation,3,3_congratulation_luck_award_jenny,congratulation - luck - award - jenny - achievement - team - winner - congrats - hero - football,0.6897335086486389,True,@hannahesme_ Congratulations😊
107,107,morning,0,0_morning_hope_coffee_thing,morning - hope - coffee - thing - weekend - chris - person - everyone - sorry - evening,0.2971049891176095,True,@JamesConlon_ Good morning😀
120,120,hero,3,3_congratulation_luck_award_jenny,congratulation - luck - award - jenny - achievement - team - winner - congrats - hero - football,0.844910351476741,True,@Hannah_I_M Amazing man a true hero💜
135,135,congratulation,3,3_congratulation_luck_award_jenny,congratulation - luck - award - jenny - achievement - team - winner - congrats - hero - football,0.6148802537582199,True,@bluesbrother76 Congratulations she’s beautiful💜
143,143,congratulation,3,3_congratulation_luck_award_jenny,congratulation - luck - award - jenny - achievement - team - winner - congrats - hero - football,0.1636178514942974,True,@DaveEkrub Congratulations🥂🥂😊
166,166,yummy,2,2_shift_night_tonight_match,shift - night - tonight - match - ward - sleep - game - bless - emotion - today,0.862574371506145,True,@DrAmirKhanGP Looks yummy😊
171,171,genius,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.9421133692790434,True,@CorkCoypu Genius
172,172,birthday,5,5_birthday_heart_dance_treat,birthday - heart - dance - treat - miss - pizza - wish - failure - instagram - skye,0.1234413493058027,True,@ahmedhankir Hope you have a great birthday😍
188,188,congratulation,3,3_congratulation_luck_award_jenny,congratulation - luck - award - jenny - achievement - team - winner - congrats - hero - football,0.3251403529634485,True,@DrAmirKhanGP Congratulations well deserved
205,205,morning,0,0_morning_hope_coffee_thing,morning - hope - coffee - thing - weekend - chris - person - everyone - sorry - evening,0.0421801889343029,True,@GirlPowerKid Good morning😊
207,207,life,8,8_food_school_life_meal,food - school - life - meal - child - cream - community - poverty - machine - sense,0.9601594661537384,True,@LindaRo03126195 What a low life
208,208,wait,4,4_thanks_follow_work_welcome,thanks - follow - work - welcome - wait - rest - glad - anything - dream - fire,0.9591767113107554,True,@grahnort @HodderBooks Can’t wait to read it😊
215,215,handsome,5,5_birthday_heart_dance_treat,birthday - heart - dance - treat - miss - pizza - wish - failure - instagram - skye,1.0,True,@ocallaghan_emer He’s handsome
218,218,cork accent,5,5_birthday_heart_dance_treat,birthday - heart - dance - treat - miss - pizza - wish - failure - instagram - skye,1.0,True,@CorkCoypu I can tell you now I have a very nice Cork accent
226,226,fantastic thanks everything,0,0_morning_hope_coffee_thing,morning - hope - coffee - thing - weekend - chris - person - everyone - sorry - evening,1.0,True,@RealMattLucas @tomchaplin Fantastic I will miss you and thanks for everything
227,227,thank,1,1_thank_enjoy_brilliant_support,thank - enjoy - brilliant - support - thankyou - whoop - jackie - yeah - thanks - help,1.0,True,@RealMattLucas Thank you will miss you😥
230,230,congratulation,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,True,@HJTarzanB Congratulations well done👍
231,231,stone,3,3_congratulation_luck_award_jenny,congratulation - luck - award - jenny - achievement - team - winner - congrats - hero - football,1.0,True,@DrewLawDesign Under a stone I think
235,235,determination,0,0_morning_hope_coffee_thing,morning - hope - coffee - thing - weekend - chris - person - everyone - sorry - evening,1.0,True,@MandyAUtiger19 His determination to get there is inspiring💙
240,240,point,9,9_friend_kenny_home_point,friend - kenny - home - point - morning - people - mate - message - bloody - reply,0.8356886965765913,True,@CorkCoypu You have a point all the same
247,247,morning,0,0_morning_hope_coffee_thing,morning - hope - coffee - thing - weekend - chris - person - everyone - sorry - evening,0.1580758831872608,True,@RealMattLucas Good morning😊
249,249,anger frustration,2,2_shift_night_tonight_match,shift - night - tonight - match - ward - sleep - game - bless - emotion - today,1.0,True,@jennyeclair Unfortunately you’re not alone in your anger and frustration
250,250,wait,4,4_thanks_follow_work_welcome,thanks - follow - work - welcome - wait - rest - glad - anything - dream - fire,1.0,True,@RealMattLucas Can’t wait😍
251,251,rise,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,0.9486378678945524,True,I just emailed my MP asking if they support a pay rise for our #frontlineheroes. Will you do the same? https://t.co/JVVpaipWia
253,253,morning,0,0_morning_hope_coffee_thing,morning - hope - coffee - thing - weekend - chris - person - everyone - sorry - evening,0.0689242255722861,True,@RealMattLucas Good morning to you Matt😍
259,259,morning,0,0_morning_hope_coffee_thing,morning - hope - coffee - thing - weekend - chris - person - everyone - sorry - evening,0.1739951369847437,True,@RealMattLucas Good morning
261,261,enjoy,1,1_thank_enjoy_brilliant_support,thank - enjoy - brilliant - support - thankyou - whoop - jackie - yeah - thanks - help,0.7340869923101427,True,@piersmorgan @BBSW7 @britishasiantst @UKBigCurryNight Enjoy😊
268,268,work,4,4_thanks_follow_work_welcome,thanks - follow - work - welcome - wait - rest - glad - anything - dream - fire,0.8581039523793597,True,@RealMattLucas Can’t work it out☹️
278,278,john,4,4_thanks_follow_work_welcome,thanks - follow - work - welcome - wait - rest - glad - anything - dream - fire,0.5727125694061523,True,@HangBlaa I agree John very touching and infuriating
279,279,thank,1,1_thank_enjoy_brilliant_support,thank - enjoy - brilliant - support - thankyou - whoop - jackie - yeah - thanks - help,1.0,True,@RealMattLucas @ciaranalgar Thank you that was amazing
294,294,thank,1,1_thank_enjoy_brilliant_support,thank - enjoy - brilliant - support - thankyou - whoop - jackie - yeah - thanks - help,0.6206056512176962,True,@RealMattLucas Thank you Matt 😍
305,305,anything,4,4_thanks_follow_work_welcome,thanks - follow - work - welcome - wait - rest - glad - anything - dream - fire,0.8381018601274296,True,@RealMattLucas 😂😂love your talking about anything look forward to it
312,312,hope,0,0_morning_hope_coffee_thing,morning - hope - coffee - thing - weekend - chris - person - everyone - sorry - evening,0.427543523357091,True,@RealMattLucas Lovely to meet your Mum and stepdad hope you’ve enjoyed your day💚
316,316,congratulation,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,True,@skrhule Congratulations
319,319,sense,8,8_food_school_life_meal,food - school - life - meal - child - cream - community - poverty - machine - sense,0.966904270926724,True,@DrJessTaylor Makes total sense
322,322,thank night,2,2_shift_night_tonight_match,shift - night - tonight - match - ward - sleep - game - bless - emotion - today,1.0,True,@RealMattLucas Thank you and good night😘
324,324,heel,0,0_morning_hope_coffee_thing,morning - hope - coffee - thing - weekend - chris - person - everyone - sorry - evening,0.736777137619677,True,@katelallyx The heel
331,331,thank night matt,2,2_shift_night_tonight_match,shift - night - tonight - match - ward - sleep - game - bless - emotion - today,1.0,True,@RealMattLucas Thank you and good night Matt💙
