,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,clean_text,created_at,label,sentiment_index,sentiment
3123,3123,conversation office chat return richard judy band stripe song richard judy,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"Love a good tangential conversation. Office chat with @ciar_ra and @thatniamh about the return of Richard and Judy took us through early 2000s bands @HARD_FI, The @dovesmusicblog, White Stripes and @theenemyband — who had a song about Richard and Judy. https://t.co/jzxHjjThKt",love a good tangential conversation office chat with  and  about the return of richard and judy took us through early bands  the  white stripes and   who had a song about richard and judy ,2019-08-09 12:24:05+00:00,None,1,Positive
3124,3124,jonathan henry place development memory policeman death town year officer leyton london yesterday corner villiers coincidence,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"Jonathan Henry Place is Luton development named in memory of policeman stabbed to death in town centre 12 years ago. Man accused of attempting to murder police officer in Leyton, London, yesterday lives round corner from JHP in Villiers Close. Ironic coincidence that saddens me.",jonathan henry place is luton development named in memory of policeman stabbed to death in town centre years ago man accused of attempting to murder police officer in leyton london yesterday lives round corner from jhp in villiers close ironic coincidence that saddens me,2019-08-09 13:10:08+00:00,None,2,Negative
3125,3125,cardiff city luton town,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,@LutonNews_LTFC Cardiff City 2 Luton Town 0., cardiff city luton town ,2019-08-09 13:46:10+00:00,None,0,None
3126,3126,home office data house today,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"Been analysing some interesting Home Office open data on house fires, out today. https://t.co/xyfBoatoNr",been analysing some interesting home office open data on house fires out today ,2019-08-09 14:14:41+00:00,None,1,Positive
3127,3127,house year cigarette candle,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.4731924044710821,False,"Around 2,000 house fires a year caused by cigarettes (and 850 by candles). https://t.co/clNNqWNxVH",around house fires a year caused by cigarettes and by candles ,2019-08-09 14:16:52+00:00,None,0,None
3128,3128,data fire hundred thousand,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,1.0,False,"Anyhoo, you can play with the data here - ""dwelling fires dataset"" - although be warned it has many hundreds of thousands of rows... https://t.co/odjyW9oFmX https://t.co/bhHLIH6VIZ",anyhoo you can play with the data here  dwelling fires dataset  although be warned it has many hundreds of thousands of rows  ,2019-08-09 14:21:08+00:00,None,1,Positive
3129,3129,money _did_ conservation evil humane world amount money area biodiversity,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"@rickygervais Even if the all money _did_ go to conservation, that wouldn't make it a ""necessary evil"". A humane world could and should find ways of providing similar amounts of money - and indeed more - to protect areas of biodiversity that benefit us all.", even if the all money _did_ go to conservation that wouldn't make it a necessary evil a humane world could and should find ways of providing similar amounts of money  and indeed more  to protect areas of biodiversity that benefit us all,2019-08-09 14:27:11+00:00,None,1,Positive
3130,3130,gold dust,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.4509557953125102,False,The gold dust of @BrexitNewYorker. https://t.co/WOctpyZ6No,the gold dust of  ,2019-08-09 15:48:56+00:00,None,0,None
3131,3131,cricket cricket show sport rugby transfer window cardiff swansea buildup james pulis,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"Cricket or no cricket, jam-packed show on @BBCRadioWales Sport tonight. Rugby with @VanGough4 and @Rushy_8 , the transfer window with @KieranMaguire, Cardiff Swansea chat with @robphillipshere, @LeeTrundle10 and @darrenpurse, and PL build-up with James Chester Tony Pulis 📻",cricket or no cricket jampacked show on  sport tonight rugby with  and   the transfer window with  cardiff swansea chat with   and  and pl buildup with james chester tony pulis ,2019-08-09 17:09:49+00:00,None,2,Negative
3132,3132,rain shine glamorgan,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,1.0,False,@BBCRadioWales @VanGough4 @Rushy_8 @KieranMaguire @robphillipshere @LeeTrundle10 @darrenpurse But rain or shine we'll have the latest from Glamorgan with @nickwebb2017 @sjamesjourno and @DafPritchard - all on from 7 on @BBCRadioWales and the BBC Sounds App,       but rain or shine we'll have the latest from glamorgan with   and   all on from on  and the bbc sounds app,2019-08-09 17:10:49+00:00,None,0,None
3133,3133,football sport season tony pulis champion game tomorrow,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.3617821031578287,False,"More football on @BBCRadioWales Sport - James Chester on now ahead of the PL season, Tony Pulis coming up as well as @CardiffMetWFC on their Champions League game tomorrow",more football on  sport  james chester on now ahead of the pl season tony pulis coming up as well as  on their champions league game tomorrow,2019-08-09 20:07:13+00:00,None,1,Positive
3134,3134,reason insight,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.5324203399115389,False,@KieranMaguire Was great to have you on - and can only apologise for calling you Kevin for some reason! Great insight - hopefully speak again., was great to have you on  and can only apologise for calling you kevin for some reason great insight  hopefully speak again,2019-08-09 20:23:57+00:00,None,1,Positive
3135,3135,catalan game quid flight hotel,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,Catalans should just forfeit all their away games. Save themselves a few quid on flights and hotels.,catalans should just forfeit all their away games save themselves a few quid on flights and hotels,2019-08-09 20:38:16+00:00,None,1,Positive
3136,3136,rugby character time,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.9237439037362494,False,"Great to chat rugby with two big men and big characters on @BBCRadioWales - if you missed it first time, listen again to @VanGough4 and @Rushy_8 on the BBC Sounds App",great to chat rugby with two big men and big characters on   if you missed it first time listen again to  and  on the bbc sounds app,2019-08-09 20:42:39+00:00,None,1,Positive
3137,3137,week rally midnight love country people,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.5971432160632891,False,@jackbenyon @ScottAutosport @JHCozens I had a great week at the Rally of the Midnight Sun recently and fell in love with Sweden. A beautiful country with great people.,   i had a great week at the rally of the midnight sun recently and fell in love with sweden a beautiful country with great people,2019-08-09 20:56:37+00:00,None,1,Positive
3138,3138,farm wale suggestion,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.8555961605911003,False,@Teige_MP @1GarethWynJones @GeorgeMonbiot I'd like to see this MP convert a hill farm in Wales to arable. It isn't feasible. A ridiculous suggestion.,   i'd like to see this mp convert a hill farm in wales to arable it isn't feasible a ridiculous suggestion,2019-08-09 21:35:36+00:00,None,1,Positive
3139,3139,hack turn host night time thanks guest jason perry james,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"So, they let a hack turn host last night. Great fun presenting RWS for first time. Thanks to guests @robphillipshere @LeeTrundle10 @darrenpurse @sjamesjourno @nickwebb2017 @DafPritchard @KieranMaguire @PatNevin @Rushy_8 @VanGough4 @CardiffMetWFC Jason Perry James Chester",so they let a hack turn host last night great fun presenting rws for first time thanks to guests            jason perry james chester,2019-08-10 08:16:48+00:00,None,1,Positive
3140,3140,time kickoff,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.9474930825742042,False,"If you're killing time before kick-offs, you can listen again here https://t.co/NXUAqPAs77",if you're killing time before kickoffs you can listen again here ,2019-08-10 08:16:49+00:00,None,2,Negative
3141,3141,behaviour sport reporter tochecks sport report,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"@_DavePowell Ah yes, very weird behaviour for a sports reporter to...*checks note* 'read sports reports'", ah yes very weird behaviour for a sports reporter tochecks note read sports reports,2019-08-10 09:16:16+00:00,None,1,Positive
