,Unnamed: 0,Unnamed: 0.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
3646,3646,35675,live ltatm radio location,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.7021273502037878,False,Live from Mevo LTATM Radio - on location- https://t.co/Bfk5hYv6MX,2020-01-04 05:06:46+00:00,None
3647,3647,35674,live ltatm radio location,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.6597817003059878,False,Live from Mevo LTATM Radio - on location- https://t.co/EKPSznBel5,2020-01-04 06:00:25+00:00,None
3648,3648,38866,show everyone date,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,@LaserPunk That’s nuts! I’m just picturing one UK show that everyone I follow on here is gonna be at but hopefully there’s a few dates!!,2020-01-04 11:15:51+00:00,None
3649,3649,62969,penny toffee pudding,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,@StevieVanZandt Penny luuurrvves sticky toffee pudding ;),2020-01-04 17:07:14+00:00,None
3650,3650,70006,justin bieber yummy official video,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,Justin Bieber - Yummy (Official Video) https://t.co/poswFzCBYP via @YouTube,2020-01-04 20:03:09+00:00,None
3651,3651,70005,roddy ricch,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.534932640460387,False,"When Roddy Ricch was recording ""The Box"" https://t.co/wI6dRbvnxv via @YouTube",2020-01-04 20:03:25+00:00,None
3652,3652,7328,rarity cause price time hand,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,@SadnessWillSear @1975chaIamet @mrjohnnymac18 Pretty much! It’s a rarity for me cause of the price to buy new but me every time I buy second hand😂,2020-01-04 20:14:27+00:00,None
3653,3653,41861,cheer music,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.4104987480695155,False,Cheers mister music tip man 🙌🏻 https://t.co/GXulR3rMC3,2020-01-04 21:52:22+00:00,None
3654,3654,38865,healing energy angel,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.4048086885798853,False,@coldwcrld sending you all the good healing energy angel 💓💓💓,2020-01-04 23:55:29+00:00,None
3655,3655,46797,wise course trump wisdom,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.35401732479367,False,#Marr Wise? Of course it wasn't wise! It was Donald Trump. Does he look like a man possessed of wisdom?,2020-01-05 09:09:34+00:00,None
3656,3656,46796,lesson matter leader year leader smear month election time leader,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,"#Marr The lesson is that it doesn't matter who you elect as leader now, because 4-5 years is too long for a Labour leader to withstand the smears. I'd say about six months out from an election is the ideal time for you to choose a leader.",2020-01-05 09:33:12+00:00,None
3657,3657,62968,representation member hall catalogue music song paloma contact office please,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.5869130349105143,False,@LateralMGMT I'm seeking representation. UK based voting member of US Songwriter's Hall of Fame. Large catalogue of music. I also have a song that I think Paloma would love. Message me with a contact at your UK office please.,2020-01-05 12:03:15+00:00,None
3658,3658,7327,ratm band bucket list date,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,@CPIZZAIA Aw man! RATM are one of the few bands I still have on my bucket list. So hoping they do some UK dates 😍,2020-01-05 14:24:47+00:00,None
3659,3659,12568,complaint staff fact none computer system guess,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,Maybe not the biggest complaint from NHS staff but the fact none of the different computer systems can talk to one another is clearly stupid. My guess is that it would cost a lot more than £40m... https://t.co/4jHywSuJJv,2020-01-05 14:57:41+00:00,None
3660,3660,38864,anxiety news world terrifying,0,0_tweet_twitter_account_follower,tweet - twitter - account - follower - timeline - anxiety - feed - parody - audience - thing,1.0,False,The anxiety the news is giving me right now. The world is burning and it’s terrifying 😥,2020-01-05 15:18:13+00:00,Life
3661,3661,70004,break cost music,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,RZA Breaks Down the Cost of Making Music https://t.co/t6iSx0ruIz via @YouTube,2020-01-05 16:49:54+00:00,None
3662,3662,70003,fire booth,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,1.0,False,Fabolous - Fire In The Booth https://t.co/axuuaOxhRR via @YouTube,2020-01-05 16:50:03+00:00,None
3663,3663,38863,crossover music history,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,Wildest crossover in music history https://t.co/L6tCfWRP2d,2020-01-05 17:23:37+00:00,None
3664,3664,12567,difference snowball nothing life christmas,10,10_christmas_soup_merry_xmas,christmas - soup - merry - xmas - biscuit - crochet - carol - blanket - dinner - yorkshire,1.0,False,"What’s the difference between a dog and a snowball? Nothing, according to Mrs Nurden. Both are for life not just for Christmas! https://t.co/YcO7NreUvb",2020-01-05 17:27:13+00:00,Life
3665,3665,12566,problem injection capital smarter,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.7192795074572418,False,@susanjhubbard Another problem. Needs a huge injection of capital and we might start getting somewhere. What was that saying about working smarter?,2020-01-05 17:29:11+00:00,None
3666,3666,12565,rule number snow,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.9202766503352938,False,@melbournequay Rule number one: NEVER eat yellow snow.,2020-01-05 17:30:25+00:00,None
3667,3667,12564,newsreader word minute,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.3868931461474117,False,Test: how fast do you think you can read? BBC newsreaders speak at about 120 words a minute. This might surprise you... https://t.co/JguWtUMrvk,2020-01-05 17:35:41+00:00,None
