,Unnamed: 0,Unnamed: 0.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
19455,19455,64682,helppp thought shitpost,13,13_family_love_prayer_psni,family - love - prayer - psni - thought - sister - thank - nightmare - thinking - blog,0.5279764929639328,False,@milfsnearme helppp i genuinley thought this was meant to be a shitpost at first 😭😭😭,2020-10-09 05:21:24+00:00,Life
19456,19456,100310,friday energy,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,Woza Friday! Does Wiwa ever run out of energy? https://t.co/Lo1Wy3hzf3,2020-10-09 07:09:43+00:00,None
19457,19457,64681,nahshshhshs week,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.9276018596921582,False,@awanbby @milfsnearme NAHSHSHHSHS TBH I HAD MAGGI LIKE 5 DAYS IN A ROW THIS WEEK SO.... FAIR,2020-10-09 07:10:44+00:00,None
19458,19458,37038,sherwood whip people sense mixing household,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"1/ Speaking exclusively to @BBCNottingham the Sherwood MP and Chief Whip @Mark_Spencer says Nottinghamshire people can ""use their common sense"" and stop mixing between households now",2020-10-09 07:11:20+00:00,None
19459,19459,37037,govt rule council time council action,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.9114776898641842,False,"@BBCNottingham @Mark_Spencer 2/ Asked why Govt was delaying enforceable rules, he says ""councils need time to plan for it"" - despite every council including @MyNottingham calling for action now",2020-10-09 07:12:47+00:00,None
19460,19460,37036,restriction week tier system common vote govt,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"@BBCNottingham @Mark_Spencer @MyNottingham 3/ He confirms new restrictions will be announce next week; a three tier system - but will be subject to a Commons vote. Again, many Nottingham MPs say Govt should act now.",2020-10-09 07:14:23+00:00,None
19461,19461,37035,system confusion fault,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"@BBCNottingham @Mark_Spencer @MyNottingham 4/ @Mark_Spencer tells @BBCNottingham it's important to ""get it right"" and have an ""easily understood system"". Asked if he would apologise for the confusion he says ""I don't think it's necessarily the Government's fault"".",2020-10-09 07:15:52+00:00,None
19462,19462,37034,right confusion government thing,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.5629506046288071,False,"@BBCNottingham @Mark_Spencer @MyNottingham 5/ ""We have to get this right to avoid adding to what YOU'RE calling confusion""; then ""we don't need the Government to tell us the right thing to do"".",2020-10-09 07:17:09+00:00,None
19463,19463,37033,nottingham tier restriction number week nottingham covid rate country,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"@BBCNottingham @Mark_Spencer @MyNottingham 6/ @Mark_Spencer refuses to confirm whether Nottingham will be in ""Tier 3"" of the new restrictions; ""we'll have to see where the numbers look later this week"" (Nottingham has the highest Covid rates in the whole country)",2020-10-09 07:18:39+00:00,None
19464,19464,37032,colleague tuesday question time heard minister issue nottingham notts question,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.487110140874535,False,"Worth noting that my @BBCNottingham colleagues have been asking since Tuesday for @MattHancock to answer our questions. This is the first time we've heard from a minister, specifically addressing issues in Nottingham and Notts. We won't stop asking questions. https://t.co/rKcXLTACXT",2020-10-09 07:20:44+00:00,None
19465,19465,100309,woza friday song reason sadza eater burna drove,3,3_song_music_album_tune,song - music - album - tune - version - mother - track - poetry - poem - band,1.0,False,Woza Friday! This song is the reason why sadza eaters are voting for Burna Boy in droves. https://t.co/FnWhpkCqAv,2020-10-09 07:30:04+00:00,Life
19466,19466,95484,police brutality issue,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,Police brutality is really a global issue if you ask me.,2020-10-09 07:40:54+00:00,None
19467,19467,37031,team nobody conker newsroom,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.9333290459392396,False,@Radiobex Can you please confirm this in Teams or nobody will know what to do when we see conkers in the newsroom,2020-10-09 07:44:10+00:00,None
19468,19468,99049,thanks harry thanks article,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,1.0,False,"@HREwbank Thanks, Harry! And thanks again for the article 👍",2020-10-09 08:06:02+00:00,None
19469,19469,49850,book guest,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,1.0,False,"This looks excellent, and there are some absolutely brilliant books that have been chosen for the guests to discuss. Looking forward to watching. #BetweenTheCovers https://t.co/KVhKw2aqVD",2020-10-09 08:12:42+00:00,None
19470,19470,83060,thoughtprovoking image nothing transparent,6,6_photo_photographer_photography_camera,photo - photographer - photography - camera - image - photograph - picture - photojournalist - photojournalism - clip,0.5871540835300818,False,@reece_dinsdale A thought-provoking image. A hollow man with nothing inside? Or a man so honest we see him as transparent?,2020-10-09 08:24:43+00:00,Life
19471,19471,77933,dodds help application,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,1.0,False,Dodds to confront Invest NI as £6m help schemes receive just eight applications via @irishnewsbiz https://t.co/IUuHfo8mpK,2020-10-09 08:33:10+00:00,None
19472,19472,74159,thanks thing,0,0_thank_thanks_hope_moment,thank - thanks - hope - moment - kind - weekend - minute - easter - dream - hello,0.0594700328926655,False,@camfoodies @AndyLynes @elisabethluard @wordsallowed Ah thanks Sue. Hope things are good with you.,2020-10-09 09:16:10+00:00,Life
19473,19473,95483,people article thing someone date kind sweet,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"Some people comment on our articles like it’s a lonely hearts thing, saying they are looking for someone to date which I think is kind of sweet.",2020-10-09 09:20:49+00:00,None
19474,19474,98529,congratulation person difference area,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,1.0,False,@NimkoAli Congratulations Nimko! No better person for the job. You've already made such a difference in this area.,2020-10-09 09:33:53+00:00,None
19475,19475,74561,thanks welcome coffee morning,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.4082600648581639,False,@sarahscoffeecol thanks for the friendly welcome and excellent coffee this morning. #Colchester,2020-10-09 09:54:42+00:00,None
19476,19476,62207,motherinlaw opportunity practice grandchild drive,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,@FrankiCookney My mother-in-law suggested using lockdown as an opportunity to “practice for making me a grandchild” and I’m not sure my sex drive will ever recover tbh.,2020-10-09 10:12:02+00:00,None
19477,19477,64680,meeting tutor lecture gender empire,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,HAVING A VIDEOCALL MEETING WITH MY TUTOR RN AND SHE JUST TOLD US THAT SHE'LL BE GIVING A LECTURE ON GENDER AND EMPIRE SOON!!!!! IM SO EXCITED!!!!!!!,2020-10-09 10:21:36+00:00,None
19478,19478,103128,exception film antman panther term plot,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.922761835241092,False,"@JonnyQ88 There are some exceptions that I really like like the Spiderman films Ant-Man and Black Panther, but I find a lot of them so repetitive and boring in terms of plot I can't sit through them",2020-10-09 10:35:59+00:00,None
19479,19479,103127,nail head shame superhero film brightburn watchman money creatives studio,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"@JonnyQ88 Nail on the head there JQ. It's a shame because there's some amazing superhero films out there elsewhere (Super, Brightburn, Watchmen, Logan, etc), and with the money and creatives Marvel Studios has behind it it could do so much",2020-10-09 10:41:24+00:00,None
