,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text
18,18,sandman pant,9,9_academy_school_trust_community,academy - school - trust - community - solidarity - academisation - privatization - education - campaign - member,1.0,True,Sandman is a bit pants.
60,60,house dragon,5,5_enjoy_bird_today_theme,enjoy - bird - today - theme - butterfly - shot - insect - garden - flight - image,1.0,True,"Entering House of the Dragon, ep1 https://t.co/FYyh3b7SOO"
68,68,game changer,2,2_morning_james_hope_claire,morning - james - hope - claire - walk - pain - sleep - yoga - adventure - monday,0.7161845849099162,True,Game changer. https://t.co/CO2PWCFjbT
165,165,game changer,2,2_morning_james_hope_claire,morning - james - hope - claire - walk - pain - sleep - yoga - adventure - monday,1.0,True,@HYWEL_ROBERTS Game changer!
190,190,attention anything student something child label girl front others badge,1,1_thank_word_kind_thanks,thank - word - kind - thanks - love - list - year - family - chair - glad,1.0,True,"5.Draw attention to anything the students might have missed or something not immediately obvious: “Some of the children seem to have labels, like this girl at the front, and others don’t. I wonder what this badge is on the boy’s arm.” Etc."
407,407,family graduation yesterday,3,3_congratulation_news_pension_colleague,congratulation - news - pension - colleague - privilege - wait - journalist - mark - smile - irony,1.0,True,Family at Lilly's graduation yesterday. #ProudParents #UEA https://t.co/OKWGCWqGxI
488,488,yeah vibe,5,5_enjoy_bird_today_theme,enjoy - bird - today - theme - butterfly - shot - insect - garden - flight - image,1.0,True,"@debrakidd Yeah, I'm picking up that vibe."
493,493,game changer,2,2_morning_james_hope_claire,morning - james - hope - claire - walk - pain - sleep - yoga - adventure - monday,1.0,True,@phillya1968 Wow. Game changer.
658,658,something skin amazon,7,7_mask_face_pandemic_sunshine,mask - face - pandemic - sunshine - ventilation - coat - school - heat - tube - bubble,1.0,True,@kophoogte You need something called Avon Skin So Soft. Get it from Amazon
762,762,perfect hump anything,6,6_instone_thanks_look_thank,instone - thanks - look - thank - team - light - karen - time - book - tiger,1.0,True,@randallwrites Perfect. Just don't hump anything.
860,860,bloody brilliant,2,2_morning_james_hope_claire,morning - james - hope - claire - walk - pain - sleep - yoga - adventure - monday,1.0,True,@mattleys I'm totally not. I'm watching @ItsBigZuu. Bloody brilliant.
885,885,week holiday,4,4_holiday_week_easter_friday,holiday - week - easter - friday - guess - advice - school - time - september - hour,1.0,True,@rossmatheson @RealGeoffBarton We don't get 13 weeks paid holiday you fool.
1161,1161,bloody woman,4,4_holiday_week_easter_friday,holiday - week - easter - friday - guess - advice - school - time - september - hour,1.0,True,@Paper_Polly I hate that bloody woman. And he's no better.
