,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text
2,2,wait,1,1_night_shift_holiday_bank,night - shift - holiday - bank - tonight - break - wait - match - show - lunch,0.5978732591221863,True,Can’t wait for her to serenade me too 🥺 https://t.co/Xtnf1bbSV8
28,28,point,5,5_team_weekend_point_bless,team - weekend - point - bless - evening - tomorrow - effort - thank - joke - dear,0.1886965948302809,True,At that point I died https://t.co/A4nEeCYHe5
34,34,liam,2,2_food_school_life_meal,food - school - life - meal - child - caterer - nutrition - water - bottle - baby,1.0,True,Liam is just so disingenuous you can tell https://t.co/GEB6Vzb3Tf
45,45,show,1,1_night_shift_holiday_bank,night - shift - holiday - bank - tonight - break - wait - match - show - lunch,0.2361476650733371,True,Top show https://t.co/weQHN9VYif
48,48,part,2,2_food_school_life_meal,food - school - life - meal - child - caterer - nutrition - water - bottle - baby,0.7212130927816772,True,That part https://t.co/IMB4VTDEaJ
66,66,photo,6,6_love_photo_peace_brilliant,love - photo - peace - brilliant - hour - mine - wedding - picture - honolulu - smile,1.0,True,Just posted a photo https://t.co/wUR4UaG6yG
82,82,school,2,2_food_school_life_meal,food - school - life - meal - child - caterer - nutrition - water - bottle - baby,0.5399076287800105,True,Never attended this school!! https://t.co/ueSCIFOSwn
112,112,bill,9,9_mile_walk_energy_cost,mile - walk - energy - cost - moon - road - list - price - bill - inflation,1.0,True,Happy thanksgiving Bill ... missed every day!!
126,126,hell,2,2_food_school_life_meal,food - school - life - meal - child - caterer - nutrition - water - bottle - baby,0.6776859374455039,True,What the hell?
131,131,grandparent romper,6,6_love_photo_peace_brilliant,love - photo - peace - brilliant - hour - mine - wedding - picture - honolulu - smile,1.0,True,Surprise The Grandparents With This Tattoo Romper! 😂 https://t.co/88iEWXOKzi
134,134,trip,4,4_home_house_space_beach,home - house - space - beach - trip - housing - shame - garden - care - hospice,0.3691126387042917,True,I need an NYC trip 8-) #santaareyoulistening https://t.co/YucH7tnvFg
167,167,morning,0,0_morning_thing_chris_thanks,morning - thing - chris - thanks - everyone - welcome - jenny - message - glove - brain,0.0205632069658495,True,Good morning 😃
271,271,nurse home health ramon,4,4_home_house_space_beach,home - house - space - beach - trip - housing - shame - garden - care - hospice,0.9443259637727776,True,"Registered Nurse RN Home Health - San Ramon, CA https://t.co/SHdIFQWgJb"
297,297,janesville pharmacy perm janesville,2,2_food_school_life_meal,food - school - life - meal - child - caterer - nutrition - water - bottle - baby,1.0,True,"Janesville, WI - Certified Pharmacy Tech -Inpatient- Perm- - Janesville, WI https://t.co/v3mNC3NVjM"
306,306,punchbowl hour date honolulu,6,6_love_photo_peace_brilliant,love - photo - peace - brilliant - hour - mine - wedding - picture - honolulu - smile,1.0,True,"HI - RN SURGICAL ICU QMC PUNCHBOWL (D/N - 36 HOURS) 4/2/19 START DATE - Honolulu, HI https://t.co/tMnwJTUCsu"
314,314,forty fort pediatrics,0,0_morning_thing_chris_thanks,morning - thing - chris - thanks - everyone - welcome - jenny - message - glove - brain,1.0,True,"Forty Fort - LPN-- Pediatrics (DAYS) - FortyFort, PA https://t.co/WzlOe3xvay"
316,316,code,8,8_tweet_twitter_quiz_compassion,tweet - twitter - quiz - compassion - account - facebook - code - anniversary - tiktok - guess,0.3140475221469324,True,"ME - OR RN. dept code 76010 - Bangor, ME https://t.co/U8hMCHB4iK"
317,317,night,1,1_night_shift_holiday_bank,night - shift - holiday - bank - tonight - break - wait - match - show - lunch,0.2515588454681987,True,"ME - Ortho/Med Surg - Nights - Lewiston, ME https://t.co/E4NEUWYS0i"
321,321,care night,1,1_night_shift_holiday_bank,night - shift - holiday - bank - tonight - break - wait - match - show - lunch,1.0,True,"NH- RN Critical Care - ED - Nights - Nashua, NH https://t.co/tFBcS0IHVy"
333,333,nicupicu night,1,1_night_shift_holiday_bank,night - shift - holiday - bank - tonight - break - wait - match - show - lunch,0.9791765833526666,True,"PA - RRT NICU/PICU Nights - Allentown, PA https://t.co/Fcl8amIYQ2"
334,334,rnhome health cavendish,3,3_thank_follow_thanks_sorry,thank - follow - thanks - sorry - question - reply - help - response - health - mention,1.0,True,"VT/NH -RN-Home Health - Cavendish, VT https://t.co/d0mjtd7BMM"
337,337,hospice worker daly city,4,4_home_house_space_beach,home - house - space - beach - trip - housing - shame - garden - care - hospice,1.0,True,"Hospice - Medical Social Worker - Daly City, CA https://t.co/jYeWJpwaKw"
347,347,night baudette,1,1_night_shift_holiday_bank,night - shift - holiday - bank - tonight - break - wait - match - show - lunch,0.6411853621227819,True,"MN CNA, Nights - Baudette, MN https://t.co/wxSDAGqjqL"
352,352,vvsc vail,4,4_home_house_space_beach,home - house - space - beach - trip - housing - shame - garden - care - hospice,1.0,True,"CO - RN, OR, VVSC - Flexible - Vail, CO https://t.co/m0uaqahoQK"
355,355,telemetry pali momus honolulu,6,6_love_photo_peace_brilliant,love - photo - peace - brilliant - hour - mine - wedding - picture - honolulu - smile,1.0,True,"HI- Telemetry RN (Pali Momi) - Honolulu, HI https://t.co/CAPMFzCal8"
361,361,night,1,1_night_shift_holiday_bank,night - shift - holiday - bank - tonight - break - wait - match - show - lunch,0.5870397842357151,True,"NY - RN - ICU - Nights - Lowville, NY https://t.co/a6151XUChq"
363,363,night,1,1_night_shift_holiday_bank,night - shift - holiday - bank - tonight - break - wait - match - show - lunch,0.0366340612759075,True,"WA - RRT Nights - Aberdeen, WA https://t.co/oZHzNSN5wQ"
364,364,fort defiance,0,0_morning_thing_chris_thanks,morning - thing - chris - thanks - everyone - welcome - jenny - message - glove - brain,0.6751366021428592,True,"AZ- (2) RN-MSU [2645-PO 9015 ] - Fort Defiance, AZ https://t.co/1aTExK2gkr"
