,0,1,2,3,4
0,boy wait,nan,girl,yes season,bro
1,boy,nan,girl,season help,bro
2,boy,nan,girl,season,bro
3,paige dont confide tramp dami,0,supermarket resident gonna giant,deb,coordination day
4,danica something,0,supermarket,deodrant,dayum
5,paige,0,stranger grocery store,babe battery dey guy,katrina day
6,moment,0,school,okay,katie toe toe psychopath shoulda teeth weirdo
7,tangerine moment,0,school,okay,showerbath katies bowel
8,part drawn moment,0,school,okay,katie police
9,someone,0,chef,elm petting zoo yesterday insta story,time
10,someone,0,favourite chef,aboard zoo,time
11,someone,0,chef,zoo girl,time
12,awww day grandparent waltz,0,laura,gonna,day
13,grandparent,0,laura aid crap,gonna,day
14,grandparent number day,0,laura,gonna miss,day
15,level,0,school snack,nurse home health san ramon,cvor day license
16,lowkey level,0,snack ground,nurse home health san ramon,cvor day license
17,level,0,snack,nurse home health san ramon,cvor day license
18,follower copy repost tweet someone time year call suicide prevention helpline copy,0,labor delivery day rockford,practitioner waupun,cst heart day
19,follower copy repost tweet someone suicide prevention hotline call usa canada copy,0,labor delivery day rockford,practitioner waupun,cst heart day
20,follower copy repost tweet someone suicide prevention helpline copy,0,labor delivery day rockford,practitioner waupun,cst heart day
21,thank,0,telemetrymedsurg day,mcminnville day mcminnville,care man
22,thank,0,telemetrymedsurg day,mcminnville day mcminnville,care
23,thank,0,telemetrymedsurg day,mcminnville day mcminnville,care
24,want programme,0,icu qmc punchbowl hour date honolulu,arfsrn night fort smith,cvor cst nbstsa housing shift
25,programme,0,icu qmc punchbowl hour date honolulu,arfsrn night fort smith,cvor cst nbstsa housing shift
26,programme,0,icu qmc punchbowl hour date honolulu,arfsrn night fort smith,cvor cst nbstsa housing shift
27,opinion,0,cath lab day rockford,fort defiance,cvor day
28,opinion,0,cath lab day rockford,fort defiance,cvor day
29,see opinion throbber,0,cath lab day rockford,fort defiance,cvor day
30,campaign dirty,0,infection preventionist mercyhealth javon hospital rockford,nice dinner leeds availability weekend,option
31,campaign injection,0,infection preventionist mercyhealth javon hospital rockford,year time leeds,one option
32,join force campaign practice,0,infection preventionist mercyhealth javon hospital rockford,thank gig birmingham,option
33,thank lot,0,telemetry pali momus honolulu,agree,crap scomo time question
34,thank lot,0,telemetry pali momus honolulu,agree,time question
35,thank mind,0,telemetry pali momus honolulu,disagree,length time
36,facebook advert,0,rnor wilcox center honolulu,carrot japan,guy
37,advert rita,0,rnor wilcox center honolulu,lieu carrot carrot,guy
38,advert,0,rnor wilcox center honolulu,carrot juice consumption,guy
39,year john,0,kapiolani labor delivery week honolulu,crazyyyy,thanks brother
40,stay john,0,kapiolani labor delivery week honolulu,youre,thanks mate
41,heard john movie star movie help,0,kapiolani labor delivery week honolulu,crazy,thanks post character friend
42,love,0,congratulation,hope,oiiiiiiiii
43,love,0,congratulation,hope,toniiiiiiiiiiiight
44,love,0,congratulation,hope,niiiiiiiiiiiiiiiiice
45,family,0,parcel time day,sunshine,crabbyabi cuppa home
46,family,0,parcel post box time,student flower sunshine creature,car crabby solent rain wave
47,family,0,post parcel class time day,sunshine,crabby yesterday thing
48,love got,0,govt everyone right food health,cocktail,time
49,love love love,0,change community food food community programme anyone difference community today,drink jim,time
50,lovelace answer basis,0,generation benefit people way community power food,drink,time
51,star,0,news congratulation,disappointment,fuck nonsense
52,star,0,news congratulation mama,day disappointment,nonsense
53,fave programme star,0,news congratulation,disappointment thou,nonsense prog
54,play,0,beef sardine,killer stay,day time
55,anyone playing,0,yeah herd beef,stay huw,day time
56,play,0,beef,stay,day time
57,thanks share,0,daughter,place home,nothing
58,thank share,0,daughter,yeah stay home stay home message strict,nothing
59,thanks share,0,daughter,yeah home,nothing
60,fiona,0,congratulation mom,miss stay,suitcase
61,fiona cummins twisty read,0,hey joe congratulation proud dad,miss,suitcase experience life others
62,rip fiona,0,guy congrats,miss mad,suitcase week fun lemme tell yah
63,sorry,0,joe,lentil soup house share year son way husband soup shame,agreement update contract
64,sorry,0,joe,couple time chance order soup meh,weird flex lover liberty worker change contract
65,sorry,0,joe,soup yorkie machine,contract
66,post,0,september windsor money donation difference,ride,yeah
67,yikes gap post furlong,0,smack charity pay restoration,ride,yeah
68,post,0,story twistsampturnsadversityachievements ampalways fundraising way,ride,huh
69,thing,0,birthday audrey,tho,comment
70,thing,0,birthday baby girl,compression tho,comment
71,thing,0,birthday girl,tho,comment
72,welcome,0,chip shop,weekend,brother
73,welcome,0,chip norm people,weekend,worse son
74,welcome,0,chip,lgi weekend,son
75,decide phrase rehearse use gesture hand movement chin jazz hand arm phrase,0,granddaughter,today stuff,day everyone
76,gesture memory emma stunning,0,granddaughter,thing today,day everyone
77,gesture,0,miss cindy daughter isabel,aww anything yesterday today,day everyone
78,glad,0,way mama,martin,law
79,glad,0,sweet boy momma,morrissey morrissey,sick kind stuff lawenforcement official
80,glad,0,dick damn momma,oliver,law
81,thankyou anthony dale,0,proud,essex,man list
82,thanks jimmy torture bit,0,proud,alley essex,list
83,thanks jon,0,proud,essex,list
84,plix dear,0,sarah,friday,desire minister hell chud think contest deputy waste space
85,plix dear,0,sarah,friday,waste time
86,plonker,0,love sarah,friday bex,anything waste money
87,tomorrow,0,town meal today tomorrow,shadow self honest membersmps,suck
88,tomorrow,0,meal today year,power island shadow flicker gregory bastianelli,suck
89,tomorrow,0,food hero country time,one one shadow,cry
90,lot love,0,cute,continuation theme,sister
91,lot love,0,cute,module theme,sister boo
92,lot love,0,cute,theme,sister
93,today,0,pie,meet face,time time
94,today,0,pie,face hello mrc love today,time speaks
95,today,0,pie,face meeting today,time one
96,god,0,thank story gardening approach,thankyou miss,fuck guy one message tinder time guy needy receipt opposite
97,god,0,gardening today,thank lot love,guy question answer tinder bio
98,god,0,father law gardener garden stuff,thank love,thirty year male message tinder person day hell work hour
99,soul,0,hey,slug,space
100,soul,0,hey,slug,space
101,hey anything soul,0,hey,people animal snail deal mosquito squash basis head,space
102,god club,0,plate,reply sexism nurse eyebrow,issue
103,god team,0,plate,eyebrow,issue
104,god council participant running club,0,plate,feelin spunky greet friend tongue eyebrow anyone eagle employee way wait,issue
105,thank porthcawl tomorrow,0,deffo crocodile,frumos spus,sorry update guy day step day
106,thank tomorrow,0,def,super frumoasa,guy day everything
107,thanks tomorrow spare,0,def,spia,stand guy day
108,dear,0,think,face tighter,uptake dos
109,dear,0,think,face,state examination
110,dear,0,think,wait face,join class exam
111,tonight,0,drink lunch,ticket,comment thing path esp someone
112,tonight,0,lunch,ticket,content comment lot
113,tonight,0,lunch,ticket,question comment question
114,thanks,0,planning bond cannot bond bond operation eton mess bond,shock horror protector brand pebble face face heal,live
115,thanks,0,lewis collins james bond film,practice proportion facetoface appointment start,living
116,thanks,0,james bond clue,facetoface support prevention treatment,decent living
117,answer,0,superstar,mmmmmmm cover love sunday,shamble incompetence cup overfloweth
118,answer,0,bey,tragos sunday dream,cup kindness
119,answer,0,one superstar,haaay salamat sunday,cup holiday top
120,sam,0,woot woot,event,list welcome
121,worker run sam,0,wooooo hoooooo,event,list thank
122,sam,0,wooooo hooooo,event event,list thanks
123,answer question,0,recipe please,well,look trial couple week
124,question answer delta variant,0,recipe,girlllllllll,editorial trial
125,answer question,0,confectionery,alllll,end trial
126,addition,0,meal,way second second min level min,thank week
127,addition data,0,meal,min watch,thank effort week way
128,addition,0,meal favourite,min,thank week
129,thank today,0,work post phil,saturday,reckon
130,today thank,0,sendoff phil air,saturday,doubt
131,thank today,0,phil work,saturday,doubt
