,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,clean_text,created_at,label,sentiment_index,sentiment
1428,1428,pier credit stuff vintage morgan,4,4_journalist_journalism_paper_boat,journalist - journalism - paper - boat - newspaper - career - news - pier - breath - reminder,0.2480046414811271,False,And Piers Morgan is trying to claim credit for his foresight. Beautiful stuff. Vintage Morgan.,and piers morgan is trying to claim credit for his foresight beautiful stuff vintage morgan,2019-05-06 21:03:20+00:00,Work,1,Positive
1429,1429,matt chorley piece suggesting chip time everyone piece shit time lead poll majority common,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.2645128855036152,False,This is fantastic. Matt Chorley wrote a piece suggesting May isn’t all *that* and a bag of chips at a time when everyone else thought she was. Morgan writes a piece saying she’s shit - at a time when she had tossed away a 20+ lead in the polls and lost a majority in the commons. https://t.co/jMHzyT0fZY,this is fantastic matt chorley wrote a piece suggesting may isn’t all that and a bag of chips at a time when everyone else thought she was morgan writes a piece saying she’s shit  at a time when she had tossed away a lead in the polls and lost a majority in the commons ,2019-05-06 21:03:20+00:00,None,2,Negative
1430,1430,mind towel,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.6210242573470659,False,Mind blown 🤯 will be doing this with my towels from now on. https://t.co/M6m09uqVBT,mind blown  will be doing this with my towels from now on ,2019-05-07 06:25:05+00:00,None,0,None
1431,1431,everything spot,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.427676021672594,False,Everything about this is spot on. https://t.co/qn1goSI4ur,everything about this is spot on ,2019-05-07 06:30:40+00:00,None,0,None
1432,1432,mentality time,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,@CardiffCityCCFC @oli_mcburnie Just about sums up his mentality. Will never make the big time,  just about sums up his mentality will never make the big time,2019-05-07 07:00:16+00:00,None,0,None
1433,1433,feeling family congratulate harry missus birth newspaper today page event child line throne,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"I've no great feelings about the Royal Family, either one way or the other, and I congratulate Harry and his missus on the birth of their boy. But one national newspaper has today devoted 23 pages to the event. Isn't that a tad over the top for a child 7th in line to the throne?",i've no great feelings about the royal family either one way or the other and i congratulate harry and his missus on the birth of their boy but one national newspaper has today devoted pages to the event isn't that a tad over the top for a child in line to the throne,2019-05-07 08:15:28+00:00,None,1,Positive
1434,1434,moment time people time club,0,0_thank_thanks_hope_moment,thank - thanks - hope - moment - kind - weekend - minute - easter - dream - hello,0.4547356107241773,False,"@RussTaylorSky We’ve all been there! I thought it was a lovely moment. I have so much time for @Long19Alan, one of several people @LincolnCity_FC who were so helpful during my time reporting on the club.", we’ve all been there i thought it was a lovely moment i have so much time for  one of several people  who were so helpful during my time reporting on the club,2019-05-07 08:54:30+00:00,Life,1,Positive
1435,1435,household waste thanks,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,@VeoliaUK @haringeycouncil can you tell me what you do with household waste? Does it go to landfill or is it incinerated? Thanks,  can you tell me what you do with household waste does it go to landfill or is it incinerated thanks,2019-05-07 09:10:39+00:00,None,0,None
1436,1436,club level volunteer danny time concord braintree chat manager concord woman story,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"@RussTaylorSky @Long19Alan @LincolnCity_FC Agree. Clubs at this level need those enthusiastic volunteers. It’s clear Danny and Nicky know that from their time at Concord and Braintree. I had a good chat with their general manager at Concord once, lovely woman. She had some stories as well!",   agree clubs at this level need those enthusiastic volunteers it’s clear danny and nicky know that from their time at concord and braintree i had a good chat with their general manager at concord once lovely woman she had some stories as well,2019-05-07 09:13:41+00:00,None,1,Positive
1437,1437,buttheyre petrol journey,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,1.0,False,"@TheRebeccaJones @BlancpainGT @SilverstoneUK But...they're like, £20?! I'd spend more on petrol on the journey there and back!",   buttheyre like  i'd spend more on petrol on the journey there and back,2019-05-07 10:44:41+00:00,None,1,Positive
1438,1438,episode thing,12,12_episode_podcast_series_podcasts,episode - podcast - series - podcasts - simpson - pride - folk - season - scott - life,1.0,False,"By the end of that episode of #GameofThrones, the last thing #Daenerys needed was caffeine. https://t.co/527v00NdNr",by the end of that episode of  the last thing  needed was caffeine ,2019-05-07 10:53:23+00:00,Life,0,None
1439,1439,junction george street wellington street george street century,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.2192498705607387,False,"The junction of George Street, Wellington Street and Upper George Street, Luton, early 20th Century. https://t.co/tdKAqdPyOF",the junction of george street wellington street and upper george street luton early century ,2019-05-07 10:57:19+00:00,None,0,None
1440,1440,warnock cardiff,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.6288281244800448,False,Warnock set to stay on at Cardiff (via @robphillipshere) https://t.co/PNqrPd4fgf,warnock set to stay on at cardiff via  ,2019-05-07 11:07:10+00:00,None,0,None
1441,1441,slew bishop today woman grenfell bishop stepney dagmar winter bishop huntingdon cambridgeshire sarah bullock bishop shrewsbury midland,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,1.0,False,"Very pleased by the sudden slew of new bishops announced today, all of whom are women. Joanne Grenfell will be next Bishop of Stepney in London, Dagmar Winter will be Bishop of Huntingdon in Cambridgeshire, and Sarah Bullock will be Bishop of Shrewsbury in West Midlands.",very pleased by the sudden slew of new bishops announced today all of whom are women joanne grenfell will be next bishop of stepney in london dagmar winter will be bishop of huntingdon in cambridgeshire and sarah bullock will be bishop of shrewsbury in west midlands,2019-05-07 11:16:57+00:00,None,1,Positive
1442,1442,road luton,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.8761498373497739,False,"Leagrave Road, Luton, back in the day. https://t.co/EDZe14exPP",leagrave road luton back in the day ,2019-05-07 12:37:41+00:00,None,0,None
1443,1443,voting system election vote sweetchocolate,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,1.0,False,Reminding myself of how the voting system works for European elections - am now a bit gutted I can't vote for my favourite sweet/chocolate! https://t.co/SnqB2GmTvC,reminding myself of how the voting system works for european elections  am now a bit gutted i can't vote for my favourite sweetchocolate ,2019-05-07 14:02:59+00:00,None,0,None
1444,1444,people congratulation linkedin answer thank time keep touch,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.9719230691984349,False,When people send you automated congratulations on LinkedIn and you reply using the automated answers. It's probably the most fun you can have on LinkedIn. Thank you How are you? Long time How have you been? Where are you working now? Okay All the best Keep in touch,when people send you automated congratulations on linkedin and you reply using the automated answers it's probably the most fun you can have on linkedin thank you how are you long time how have you been where are you working now okay all the best keep in touch,2019-05-07 15:58:29+00:00,None,1,Positive
