,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text
10194,10194,article electrification cost reduction opportunity cost baldy photo,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.3020853332393549,False,"Great @therailengineer article by @DavidShirres on electrification cost reduction at https://t.co/bFi2ohl42N, pointing out how many more opportunities still exist to bring costs down. Can't think who this guy was. Might be the baldy in the photo, who can tell ¯\_(ツ)_/¯ https://t.co/9kJWcHZrgL"
3393,3393,message request,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"Lmao, just discovered ""message requests"" https://t.co/TzWU0bfJll"
11594,11594,irony cable door,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,@LemuelLyes The irony is the cable you needed is probably in an identical box housed next door...
11378,11378,right heard tesco mobile customer roaming tesco deal network,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.3792204342327067,False,"Am I right in what I've heard - namely that new/upgrading Tesco Mobile customers lose EU roaming at the end of 2022? Didn't Tesco make a big deal of not getting rid of roaming like the big networks? Does this just leave O2? They too are very much against roaming, supposedly..."
12769,12769,click newsletter mark,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@Todoleo I did click to learn more about Nigel Farage's newsletter which may not have helped. Probably put me down as an easy mark!
4081,4081,sorry problem reply something others matter urgency,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@mrno1r @SW_Help @SWR_failway @SW_Trauma I'm sorry to hear you've also experienced problems and are yet to receive a reply from SWR. This is indeed something that's been known about and reported by others. It needs investigating as a matter of urgency. @TransportFocus
20547,20547,signaller carstairs desk order train junction line,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@philatrail How does the signaller operating the Carstairs desk know the correct order of trains across junctions and where they are supposed to cross between lines so that s/he knows when to intervene and regulate?
4066,4066,please request,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,"@hammerdivone @NetworkRailWssx @SW_Help Please keep us posted on this. If needed, a FOI request might be required!"
26276,26276,game gerland everyone london,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"@SoundOfFootball Yep. I was there. Game was played in Lyon though, at Stade Gerland. I was in the Iranian end and almost everyone I spoke to was from London."
18952,18952,bollock time bombed,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@AdeMorris82 Oh Bollocks. I'm going to say that every time I get photo bombed.
5525,5525,problem crossrail responsibility delivery project project sponsor accurate budget estimate treasury,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@Going4Gardiner @Heidi_LDN The problems with Crossrail only became publicly apparent when TfL took over full responsibility for the final delivery of the project. Prior to that it was an autonomous project with DfT TfL as sponsors. The original accurate budget estimate was slashed by the Treasury in 2010
372,372,case catton coach head,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,"#OnThisDay in the #NewProjectData, 48 cases. #OTD 1902 porter guard Appollos Catton was killed in #Derby. He went between 2 coaches whilst still moving, to couple them together. His head was crushed. https://t.co/gFvkIJtICB"
19185,19185,cycle route refresh coffee platform felix,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.32821299637224,False,"Cycle done, route refresh done, coffee done, even though it is McDonald's. Back on the platform and waiting for Felix."
20172,20172,route technique situation,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,@jruddy99 I’m sure @SteveWhiteRail or @DavidHorne can fill us in on the latest route learning techniques to deal with this situation?
12049,12049,look year,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,"@BillOddy3 @peckham65Grant @CarlosTF50 The writing looks like that of a 8 year old, so it's probably genuine."
