Unnamed: 0,id,created_at,edit_history_tweet_ids,text,clean_text,non_english,whitespace
0,1.565087569968251e+18,2022-08-31 21:22:09+00:00,['1565087569968250881'],"@pipmadeley Good thread. This is exactly how I learned about the tragic event and what I always remember. It took me until 2003 to finally see TAF, making it the final story available at the time that I saw.", good thread this is exactly how i learned about the tragic event and what i always remember it took me until 2003 to finally see taf making it the final story available at the time that i saw,True,False
1,1.56492580685756e+18,2022-08-31 10:39:21+00:00,['1564925806857560066'],"#Heardle #188

🔇⬛⬛⬛⬛⬛⬛

Never heard of the song. Never heard of the singer. My stats have got so much worse over the past month."," 



never heard of the song never heard of the singer my stats have got so much worse over the past month",True,False
2,1.564753077315461e+18,2022-08-30 23:12:59+00:00,['1564753077315461120'],So pleased to have @OnlyConnectQuiz back.,so pleased to have  back,True,False
3,1.5646824672939213e+18,2022-08-30 18:32:25+00:00,['1564682467293921280'],@peoples_pop I will vote for LGRTR as often as you let me. And Sure is terrible, i will vote for lgrtr as often as you let me and sure is terrible,True,False
4,1.5646513256269087e+18,2022-08-30 16:28:40+00:00,['1564651325626908672'],"@peoples_pop Tori should win here, but as long as Bon Jovi comes last it’s ok.", tori should win here but as long as bon jovi comes last it’s ok,True,False
5,1.564644582989652e+18,2022-08-30 16:01:52+00:00,['1564644582989651969'],"All terrific songs. Oasis and Elastica will get through, as they should, so I threw a vote to the Wannadies. https://t.co/ddEIWQiRQF",all terrific songs oasis and elastica will get through as they should so i threw a vote to the wannadies ,True,False
8,1.564546249906393e+18,2022-08-30 09:31:08+00:00,['1564546249906393089'],@MooseAllain And sometimes I’ll remember someone whose tweets I used to see constantly and wonder what happened to them. And I’ll go look and they just don’t tweet as much any more., and sometimes i’ll remember someone whose tweets i used to see constantly and wonder what happened to them and i’ll go look and they just don’t tweet as much any more,True,False
9,1.5643363349820703e+18,2022-08-29 19:37:00+00:00,['1564336334982070276'],@Lokster71 But that’s got nothing to do with the title., but that’s got nothing to do with the title,True,False
10,1.564333793468719e+18,2022-08-29 19:26:54+00:00,['1564333793468719104'],Perhaps an unsurprising result - the collection of random letters attached to the word Battle is your least favourite title. https://t.co/y4dkbLue1J,perhaps an unsurprising result  the collection of random letters attached to the word battle is your least favourite title ,True,False
12,1.5643034512066888e+18,2022-08-29 17:26:20+00:00,['1564303451206688770'],"At the time, I didn’t really know Erasure, and Always blew me away. Now, I love lots of Erasure’s singles, but Always is still one of my favourites. https://t.co/26URh8etHk",at the time i didn’t really know erasure and always blew me away now i love lots of erasure’s singles but always is still one of my favourites ,True,False
