,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text
131646,131646,equal week hour week nurse payment bonus,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.1162953041276819,False,If 1000€ equals 55 weeks at 39 hours a week working as a nurse then the hourly payment as a covid bonus is?
36231,36231,maldives earth,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.0031841372741738,False,Omg the maldives is actual heaven on earth
128862,128862,laptop,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,1.0,False,"My laptop was happily talking to itself when I got home , not creepy at all 😱 https://t.co/GEt4n21T85"
57083,57083,earth,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,1.0,True,@RalfLittle Who on earth does he think he is? https://t.co/aZAJSF55Qo
41983,41983,week,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.6258918123055704,True,@MadAlix14 @Skellibobs No not yet. Was going to give it in a few weeks
85987,85987,week,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.7261101345510917,True,@ItsRichJames I was over it week 1
84026,84026,term video roadblockpillbox tank,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,1.0,True,@RachLittlewood Only in terms of the video itself. They might be using as a roadblock/pillbox rather than as a tank per se.
137685,137685,monday,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,1.0,True,@AngleseyScMedia Happy Monday counting down 😂
81466,81466,yaay,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,1.0,False,@HannahBag Yaay!
101990,101990,sunrise,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,1.0,True,Sunrise for #TeamNightshift #StormHour #ThePhotoHour https://t.co/KTYRdlubbB
82187,82187,tuesday existence,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,1.0,False,THE most Monday Tuesday in existence.
101229,101229,hello monday,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.0096009405244427,False,Hello Monday!!! What’s up #NHS?? 😓
9261,9261,mazel skritches laurie,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,1.0,False,@BootstrapCook Mazel Tov!!!! I send extra skritches from here for Laurie!
10992,10992,mile week lush week,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.8276327102658895,False,Early #nhs1000miles posting as off to see Topgun! 20 miles for me and #teamRRS this week. Lush runs this week with pals. https://t.co/tJaPRyYe3r
84261,84261,hill meet cutis bookshop,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.025613722962457,False,Watching Notting hill makes me want to move to London even more and set up little meet cutes with the rich and famous in bookshops
59854,59854,favourite week title yeah cause,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,1.0,False,@samanthaaa0202 My favourite is when they were messaging me a week after I updated my job title… yeah cause I’m really looking for a new job right now 🙄
44801,44801,monday,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.4830820416551171,True,Happy Monday! #MondayMotivation https://t.co/eQpuRFI9Cl
88563,88563,morning mile,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.614185276781701,True,Morning miles ✅ https://t.co/hJfiJ6vXWe
131189,131189,sunburn,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,1.0,True,@philipnolan1 And sunburn
129858,129858,thank week,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.7132165804060365,False,Thank you for a lovely week as per @UHDBIPCT @CathyMilesy @amber8615 @HelenforrestH 😊
8797,8797,kimono tank camisole,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,1.0,False,@chelsea_doll Loving the kimono tho. Maybe a tank? Full camisole with built in bra?
85627,85627,week,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,1.0,True,I watched it again before this weeks ep 😍
56118,56118,thank youuuu crew,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.202753315137572,False,@LucyColwell Thank youuuu!! Representing the #Sep17MHnursing crew 🙌🏻 so proud of all of us!
7705,7705,morning bubble,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.7599362768702861,False,@mrsbiffo01 @LindaChibuzor @ClaireHowells10 @FiRodgers1 @NorthwayRuth @RuthOshikanlu @AngelEy02283417 @DebbyHylton @ciarale01 @Maggiew56700896 @MaryReidy11 Morning @mrsbiffo01 Are those bubbles?
134736,134736,work shiv,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.8675234893431121,True,@shiv_smith Great work Shiv 👏👏👏
113359,113359,offff,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.6444263510625805,False,@IzabelSwayne @_brooklyncrow 🚀 GO OFFFF
72626,72626,time week twice,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,1.0,False,@JamieJukes4 And we love u doing ur jobs!!! I’m in a theatre 3 times this week ! ( well the same one twice 🤣 )
110289,110289,tuesday anyone,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.0113907993093622,False,"@kennygibsonnhs @TinaSouth3 @C_Carmichael83 @jomwlever @NorthwayRuth @LeighLeigh1991 @4AdsthePoet @LindaChibuzor @Cosmicwomble @DebEvans66 @oldnanchris @DrJude_G @Ewout1985 @richardlittleda @NickiSparling1 @IanGould5 @CatherineNeary @Lodge4Betty @kwelsh1 @The_Debs_Effect @matronlindy @irisbenson100 @OOhhMatron @lynnturner31 @dmonty007 @CalvinMoorley @reboverend_RNc @JackieSmith_nmc @Louise90999815 @JennytheM @KathEvans2 @KateSlater2 @warnetony @MAAPPUK @paularich1977 @WeNurses @iHealthVisiting @RoyLilley @WeNursingAssocs @WeMidwives @RcmWales @StNurseProject @USWCareSciences @FrankaCadee @GillWaltonRCM @all4maternity @TPM_Journal Happy Tuesday to all, hugs on the way for anyone who would like one 🤗💖 https://t.co/Oe3BhHDskn"
65764,65764,land,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,1.0,True,Trying to understand: Is it true that Israel stole Palestinian land?
4737,4737,genius,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.916160222541492,True,Genius! https://t.co/GCQwj90VPq
121166,121166,state response,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.0170223032132513,False,How’s your states Covid response coming along? https://t.co/8NJyO62601
59699,59699,beginning,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.1638596042122693,False,We've gone right back to the beginning of #StrangerThings and oh my god 😍
63545,63545,coffey morning wealth divide,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.238387080053544,False,@DrSelvarajah The fragrant Therese Coffey has said this morning that Tories won’t be increasing corporate taxes. So the huge wealth divide will continue exponentially.
89691,89691,start,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.3850605704358037,True,Always worth the early start 🌅 https://t.co/PWqanzHtlt
20373,20373,ahaha,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,1.0,False,@dnjmsprry Ahaha yeah me too! Honestly they were so good
106148,106148,life hill scotland drive,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.0445000898144883,False,@caitrionambalfe Well you are the one to make it happen! Get yourself away soon and just do that. You have to look after yourself ! Life is too short. Get lost in em hills of Scotland on your days off ! You have the car! just drive!
2455,2455,wash eiiii,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,1.0,False,Having a big car and going car wash is painful eiiii
119263,119263,thought shooting rock hill,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.1456646318202669,False,"@TimAlle97055825 Thought of you right away, when I heard the shooting was in Rock Hill. Praying for those involved. 🙏🙏🙏🙏🙏"
24640,24640,girl shit earworm,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,1.0,False,Hot Girl Shit is my earworm now: https://t.co/PSj9okcrtz
6794,6794,ltaly,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,1.0,False,@ErikaPetrie2 Made in ltaly💞
