,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,clean_text,created_at
27894,27894,27894,27894,65296,podcasts year,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.9242999183296876,False,It's been great developing and sharing our podcasts this year! #2020PodcasterWrapped https://t.co/wy0tsq0i14,it's been great developing and sharing our podcasts this year  ,2020-12-03 00:05:55+00:00
27895,27895,27895,27895,29560,mask,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.7136941557340324,False,(•_•) &lt;) )╯wear / \ \ (•_•) ( (&gt; a / \ 😷 &lt;) )&gt; mask / \ #WearAMask #StayHome, lt wear  \ \   gt a  \  lt gt mask  \  ,2020-12-03 00:12:41+00:00
27896,27896,27896,27896,121219,hope,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0983943559295071,True,@DJZJCZ Hey DJ. Hope you feel better soon hunny Sending big hugs 🤗🤗, hey dj hope you feel better soon hunny sending big hugs ,2020-12-03 00:20:18+00:00
27897,27897,27897,27897,121218,welcome doctor bottom meantime missus,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,@DJZJCZ Your welcome lovely. Hope your doctors get to the bottom of whatever is ailing you very soon. In the meantime keep that chin up missus 💕💕💕, your welcome lovely hope your doctors get to the bottom of whatever is ailing you very soon in the meantime keep that chin up missus ,2020-12-03 00:22:30+00:00
27898,27898,27898,27898,40958,esme baby yoda christmas,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,1.0,False,Esmée is OBSESSED with Baby Yoda. I just bought her one for Christmas. How long before she’s convinced it’s haunted amd is terrified of it?,esme is obsessed with baby yoda i just bought her one for christmas how long before she’s convinced it’s haunted amd is terrified of it,2020-12-03 01:41:13+00:00
27899,27899,27899,27899,129843,thank,3,3_congratulation_luck_award_jenny,congratulation - luck - award - jenny - achievement - team - winner - congrats - hero - football,0.694432434616074,True,@mel_mcdonagh Thank you 😊, thank you ,2020-12-03 06:27:47+00:00
27900,27900,27900,27900,89069,eacef right,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,"E126ACEF.... that’s ok, right? https://t.co/rOjOgsqwDL",eacef that’s ok right ,2020-12-03 07:00:24+00:00
27901,27901,27901,27901,89068,girl chocolate perfume snack,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.8634679847232309,False,A girl just walked past me in the gym and she smelled like white chocolate.... I mean is this a perfume or a pre gym snack?,a girl just walked past me in the gym and she smelled like white chocolate i mean is this a perfume or a pre gym snack,2020-12-03 07:02:14+00:00
27902,27902,27902,27902,89067,camberley machine hour treadmill morning people treadmill sense people,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0530793191900029,False,"So, quite rightly so, @PureGym at Camberley unplug some of their CV machines overnight. During an hour on the treadmill this morning I watched 12 people try to start unplugged treadmills then walk away. And not think to plug it in. Where is the common sense people?????",so quite rightly so  at camberley unplug some of their cv machines overnight during an hour on the treadmill this morning i watched people try to start unplugged treadmills then walk away and not think to plug it in where is the common sense people,2020-12-03 07:04:07+00:00
27903,27903,27903,27903,89066,element language element science education decision today,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,‘Removing the oral element from learning languages and the practical element from learning science’ Well isn’t this ridiculous. Some of England’s education decisions being highlighted today are just.... questionnable. @BBCBreakfast,removing the oral element from learning languages and the practical element from learning science well isn’t this ridiculous some of england’s education decisions being highlighted today are just questionnable ,2020-12-03 07:42:14+00:00
27904,27904,27904,27904,77723,study case intermittent marker chromosome,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.8663019136190065,False,This study is aimed to report a rare case of intermittent #azoospermia and ring-like small supernumerary marker chromosomes @AmJMensHealth https://t.co/OWlmWV1Q99,this study is aimed to report a rare case of intermittent  and ringlike small supernumerary marker chromosomes  ,2020-12-03 08:00:25+00:00
27905,27905,27905,27905,36892,earworm potiphar song joseph brain,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0290766730657506,True,Today's earworm is the Potiphar song from the Joseph musical. What's up with my brain 🤷‍♀️,today's earworm is the potiphar song from the joseph musical what's up with my brain ,2020-12-03 08:26:50+00:00
27906,27906,27906,27906,47143,idea house,4,4_thanks_follow_work_welcome,thanks - follow - work - welcome - wait - rest - glad - anything - dream - fire,1.0,False,@ShortArmOfLaw That’s amazing 🤩 just an idea sir but have you thought of listing those you don’t have ? Perhaps then you might get a full house 💋, that’s amazing  just an idea sir but have you thought of listing those you don’t have  perhaps then you might get a full house ,2020-12-03 08:55:32+00:00
27907,27907,27907,27907,88108,learning spirit,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.8817528039015798,False,even with online learning we are still in the festive spirit!! ❄️☃️🎄🎅🏻 #WeLDnurses #LDnursing https://t.co/InxWjgd5gA,even with online learning we are still in the festive spirit    ,2020-12-03 09:19:54+00:00
27908,27908,27908,27908,88107,anyone exam,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.814113423346371,False,anyone would think there’s an exam coming up! #LDnursing #LDstudentnurse #exam https://t.co/pM4GqZ7pGh,anyone would think there’s an exam coming up    ,2020-12-03 11:10:16+00:00
27909,27909,27909,27909,84455,year,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.5802840257043943,False,This is how my year sounded on @Spotify. Get your 2020 Wrapped now #2020Wrapped https://t.co/4U9FzMV7bi,this is how my year sounded on  get your wrapped now  ,2020-12-03 11:10:44+00:00
27910,27910,27910,27910,62142,artist picture,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.3107483015877326,False,"Okay, my artist got a much better picture 👌🏻 https://t.co/riNtzwtlFM",okay my artist got a much better picture  ,2020-12-03 11:30:45+00:00
27911,27911,27911,27911,62141,everyone meltdown work,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,Everyone has a meltdown and cry at work eventually right?,everyone has a meltdown and cry at work eventually right,2020-12-03 11:55:58+00:00
27912,27912,27912,27912,65295,family frontline healthcare worker healthcare volunteer grant please brave heart fund grant process,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,"If you know a family who has lost a frontline healthcare worker or healthcare volunteer to COVID-19, they may be eligible for a monetary grant. Please refer them to the Brave of Heart Fund to start the grant process. #NurseStrong #BraveofHeartFundhttps://www.braveofheartfund.com/",if you know a family who has lost a frontline healthcare worker or healthcare volunteer to covid they may be eligible for a monetary grant please refer them to the brave of heart fund to start the grant process  ,2020-12-03 12:05:05+00:00
