,Unnamed: 0,Unnamed: 0.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
24024,24024,43528,foot life anyone issue year,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.3545457295238975,False,"Trying to get back on my feet has really sucked. Just when you think you are there, life pulls the rug on you again. Anyone else having this issue this year?",2020-12-03 00:47:20+00:00,None
24025,24025,82026,copy validate,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.907631506214397,False,@charlycox1 oh!! I’ve been meaning to get a copy of your “validate me” 💓,2020-12-03 00:49:49+00:00,None
24026,24026,15856,person person,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.5583058230937354,False,one person followed me and one person unfollowed me // automatically checked by https://t.co/8wCdRBb4ET,2020-12-03 03:50:20+00:00,None
24027,24027,43527,thank spirit,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,God is faithful... Thank you to whoever was led by His spirit..,2020-12-03 04:22:30+00:00,None
24028,24028,88972,move hour half,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.9017905823975008,False,@issahev I can confirm that I didn’t move for about an hour and a half,2020-12-03 08:19:03+00:00,None
24029,24029,5384,people problem munchetty,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"'Certain people' have a real problem with Naga Munchetty on here, don't they? #madracists",2020-12-03 08:37:48+00:00,None
24030,24030,64417,wehh sumpah jadi macam advocate therapy,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,1.0,False,@ezzyhusna @fairuz_nhannah HAHAHAHA WEHH AKU SUMPAH DAH JADI MACAM.... ADVOCATE UNTUK THERAPY LMAOOO,2020-12-03 09:20:23+00:00,None
24031,24031,38536,gavin williamson move step berkshire school,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,Gavin Williamson said he felt the move would be a 'good step forward' for the Berkshire private school #Eton https://t.co/4FAmZkaqus,2020-12-03 09:37:15+00:00,None
24032,24032,7848,anyone radio station matter radio tunein radio,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.6059119046765087,False,"Anyone else’s Alexa suddenly unable to play any BBC radio stations? No matter what I ask for I get “SW1 Radio on TuneIn, SW1 Radio is not available”.",2020-12-03 10:05:16+00:00,None
24033,24033,27855,thank woman voice year work anyone,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.3350526773429106,False,"Thank you so much to @Younghorgan and @SecondCaptains for giving me and other women a voice after so many years. This is such an important work- intelligently, sensitively and so kindly executed. I would urge anyone who hadn’t yet listened to it, to do so. https://t.co/Lru2j48DXe",2020-12-03 10:14:46+00:00,None
24034,24034,3641,satisfaction sport editor page,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.8648813265297239,False,"@NWestbyYPSport @yorkshirepost @YPSport @IanDayPix @mikegauntdesign @PHarrisonYPN @RHercockYPSport @benmckennaJPI @sturayner @LeonWobYP @DCravenYPSport There is a strange satisfaction as a sports editor when you demand more pages, isn't there?",2020-12-03 10:18:12+00:00,None
24035,24035,3640,hope year tweet week page sport reply brim,2,2_tweet_twitter_account_timeline,tweet - twitter - account - timeline - people - follower - troll - like - time - reply,1.0,False,"@NWestbyYPSport All good, hope you are well in this crazy year. That tweet of yours reminded me about the first week @LincsLive went weekly and I was asked how many pages for sport. 16 was my reply, and we filled them to the brim.",2020-12-03 10:39:20+00:00,Life
24036,24036,7847,hangover music today,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.3976564060099999,False,"@lpcomms Maybe mine’s got a hangover. Always plays 6 Music when I ask, but not today",2020-12-03 10:45:00+00:00,None
24037,24037,7846,alexa antic reason,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,1.0,False,"@lpcomms Hahaha classic Alexa antics. Also, fixed it! She’d switched to US English for some reason",2020-12-03 10:47:46+00:00,None
24038,24038,7845,setting play beeb,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.8355199168801647,False,"Fixed this. I was playing around with the bilingual settings and it defaulted back to US English, which I gather doesn’t play nice with Auntie Beeb.",2020-12-03 10:48:53+00:00,None
24039,24039,27854,phone iphone thief,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,@parkinsbrea And phones- don’t forget all those acrobatic cycling iPhone thieves . @roisiningle,2020-12-03 10:53:59+00:00,None
24040,24040,27853,appoint education,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,Please appoint @unakavanagh as Min of Education. https://t.co/aQABKjfvth,2020-12-03 10:59:10+00:00,None
24041,24041,82889,bill week week compensation,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,@MichaelRosenYes Add them to the bill and go 10 weeks later (you get an extra three weeks as compensation).,2020-12-03 11:00:27+00:00,None
24042,24042,59331,wale customer order meal business number,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.2960195179047761,False,"@ProfKarolSikora In Wales pubs can open until 6pm but not serve alcohol, even if the customers order a meal. How many will now go out of business? Quite a number I should imagine.",2020-12-03 11:01:04+00:00,None
24043,24043,27852,jesus psychopath people,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"Jesus... ‘Help us get rid of this psychopath, who rapes his own people.” https://t.co/ArOSRyl03y",2020-12-03 11:03:20+00:00,None
24044,24044,81270,anyone williamson idiot doubt idiocy level,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"Is there anyone in the UK who doesn't think Gavin Williamson is an idiot? I mean, even @GavinWilliamson must have his doubts about his idiocy levels.",2020-12-03 11:04:28+00:00,None
24045,24045,42276,keighley keith,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.2327357707229284,False,@SWhitaker_7 Hurry up Keighley Keith!,2020-12-03 11:26:34+00:00,None
24046,24046,62085,today coughlin blog health shouldnt chance,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"New on #HystericalWomen today, Deborah Coughlin blogs about why she founded @wakeylife, because good mental health ""shouldn't be left to chance"": https://t.co/wSC1fwoJJM https://t.co/UB7RL44gO2",2020-12-03 11:42:03+00:00,None
24047,24047,59330,snow colin,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,1.0,False,@DirtFishRally @voiceofrally @AciRallyMonza Better get your snow shoes out then Colin.🤔,2020-12-03 11:42:10+00:00,None
24048,24048,81269,gavin internship,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,@jdrettie @GavinWilliamson I think Gavin did an internship with them.,2020-12-03 11:49:45+00:00,None
24049,24049,1170,news friday client story,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,Lovely news on a dismal Friday fom a #journo client about her story published in @DailyMailUK and another thanking me for being a motivational #mentor #amwriting https://t.co/D3QNAtcDOo,2020-12-03 12:09:32+00:00,None
24050,24050,1169,people despair,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0720034139378339,False,@ElizRust How can people behave like this. Despair.,2020-12-03 12:26:00+00:00,None
24051,24051,72069,activist right people battle,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,1.0,False,#Solidarity to all the amazing activists who continue to fight for the rights of #Disabled people whilst often having to fight their own daily battles with #Disability #DisabilityDiscrimination on the #IDDP2020!!! ✊ #InvisibleDisabilities #ME #EDS #DisabilityDay2020 https://t.co/hIidII8e9L,2020-12-03 13:02:22+00:00,None
24052,24052,27851,course victim,7,7_vaccine_virus_vaccination_booster,vaccine - virus - vaccination - booster - covid - people - pfizer - variant - risk - dose,1.0,False,And of course- he’s insisting he’s the victim. The bigoted rich white guy. https://t.co/zLhF3ApPst,2020-12-03 13:14:25+00:00,Life
24053,24053,72068,government world grave violation right,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.2940161143083472,False,I find this quite concerning coming from the first government in the world to of being found guilty of grave systematic violations of disabled people's civil human rights! #UN #UNCRPD Let alone being a #pwME! #ME #PACEtrial #InvisibleDisabilities #DHM #IDPWD2020 #IDDP2020 https://t.co/DKAtrp1sTH,2020-12-03 13:15:55+00:00,None
24054,24054,72067,right activist journalist issue fight,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,#ThursdayThoughts These #ActivistAnomalies have been happening to many of us for sometime. Why...? We have a human right to communicate whether we are activists or journalists reporting on the real issues that affect us. This is a fight we all face! #SolidarityTheCanary ✊ https://t.co/krPUgbgkJ1,2020-12-03 13:31:54+00:00,None
24055,24055,72066,question platform journalist platform,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"#ThursdayThoughts! Ok, serious question. Is .@Twitter, supposedly an A-political platform, refusing to allow left-wing independent journalists or activists a platform in #2020? #SolidarityTheCanary ✊ https://t.co/CmvaJa2hKP",2020-12-03 13:42:39+00:00,None
24056,24056,72065,mine loft please,0,0_thank_thanks_hope_moment,thank - thanks - hope - moment - kind - weekend - minute - easter - dream - hello,0.9650154854931116,False,"@wrenasaurus Lol, nooo, not yet...I'm trying to leave mine in the loft for as long as possible. Please don't remind me. https://t.co/lfuIoF9jRk",2020-12-03 13:46:05+00:00,Life
24057,24057,72064,tonight track music video,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"We're proper looking forward to this one... 7pm, tonight .@Lowkey0nline's new track music video #BabySteps is on .@GRMDAILY! So don't miss it...⬇️...💚🎶 https://t.co/vCPuIDPHlb",2020-12-03 13:52:48+00:00,None
