,id,created_at,edit_history_tweet_ids,text,withheld
0,1.56511595680811e+18,2022-08-31 23:14:57+00:00,['1565115956808110080'],RT @DominicFarrell: Whoops! Another one. She can’t help herself &gt; Mystery over Meghan Markle's Nelson Mandela claims as actor who says he's…,
1,1.565046831813464e+18,2022-08-31 18:40:16+00:00,['1565046831813464064'],RT @MerielMyers: Just look at the little babies! https://t.co/Er6mzoZ8L0,
2,1.565005903878832e+18,2022-08-31 15:57:38+00:00,['1565005903878832130'],RT @DominicFarrell: FB memory #Socialism https://t.co/EulO4kuBFK,
3,1.564760337148248e+18,2022-08-30 23:41:50+00:00,['1564760337148248072'],RT @sendywendys: #NottingHillCarnival makes me so angry…this isn’t culturally enriching 😡😡 https://t.co/dhgbWr4r0A,
4,1.5647602263389307e+18,2022-08-30 23:41:24+00:00,['1564760226338930688'],"RT @1Fubar: Find this guy. 
#NottingHillCarnival https://t.co/5leg7n6qiV",
5,1.5647560773459067e+18,2022-08-30 23:24:55+00:00,['1564756077345906688'],RT @GutsCharityUK: Thank you Sheila! Raising £220 for Guts UK in memory of your sister Joy💚 Joy passed from surgery complications after #di…,
6,1.5644007567986606e+18,2022-08-29 23:53:00+00:00,['1564400756798660608'],"RT @CJordanjb: Sweeping statements like👇made me so bloody furious, I left the safety of my anonymous life and joined the Brexit Party. I me…",
7,1.5643976895587615e+18,2022-08-29 23:40:48+00:00,['1564397689558761473'],RT @alexeades1: I’m trying so hard to raise awareness of brain cancer in memory of my daughter Charlotte. Google Glioblastoma it’s grim rea…,
8,1.5642653775589212e+18,2022-08-29 14:55:03+00:00,['1564265377558921221'],"RT @Mind_Essentials: 15 Powerful Visuals About Psychology &amp; Life

1. https://t.co/4RvJ9xSuw2",
9,1.564056694828712e+18,2022-08-29 01:05:49+00:00,['1564056694828711936'],"RT @DominicFarrell: Truss has two primary jobs. Just two. Cost of living and illegal immigration. Nail those, Tories win next GE. Secondary…",
10,1.564053420163711e+18,2022-08-29 00:52:48+00:00,['1564053420163710976'],"RT @AlStewartOBE: As the poor will consider whether or not to work more and risk loosing benefits, middle earners and the rich will conside…",
11,1.5640523965143695e+18,2022-08-29 00:48:44+00:00,['1564052396514369536'],"RT @WomenReadWomen: In July, @NorwichPoliceUK appear to have escorted a convicted sex offender to a Pride event.

They didn't know ""Jayde""…",
12,1.564051562862895e+18,2022-08-29 00:45:25+00:00,['1564051562862895106'],RT @PaulEmbery: Police instructing actual lesbians to leave a Pride march because Trans extremists made a fuss about their presence. I gues…,
13,1.564047210853159e+18,2022-08-29 00:28:08+00:00,['1564047210853158917'],"RT @ByrneBarry: Home Secretary Priti Patel is to strip local authorities of a veto allowing them to avoid housing asylum seekers.
This desi…",
14,1.5635973242485637e+18,2022-08-27 18:40:26+00:00,['1563597324248563712'],RT @AlStewartOBE: Worth reading @SimonMcCoyTV in the @Telegraph..,
15,1.563307137887277e+18,2022-08-26 23:27:21+00:00,['1563307137887277057'],@DominicFarrell Woof woof 😂,
16,1.563305980162896e+18,2022-08-26 23:22:45+00:00,['1563305980162895872'],RT @Dominiquetaegon: Just a reminder that the thousands of people coming across the Channel will not have to pay a single energy bill or ta…,
17,1.56330522791825e+18,2022-08-26 23:19:45+00:00,['1563305227918249985'],"@Lordflashh3art @afneil Liam Halligan  is the person to listen to on GB news he’s so informed, and impartial",
18,1.5629454290748744e+18,2022-08-25 23:30:03+00:00,['1562945429074874370'],"RT @Miss_Snuffy: High expectations.
No excuses.
Discipline.
Teacher as the authority leading.
Traditional teaching methods.
Belief in small…",
19,1.5625441586607063e+18,2022-08-24 20:55:32+00:00,['1562544158660706304'],RT @PaulEmbery: Has this video been verified? It appears to show a student at a school (accents would suggest in Scotland) being removed fr…,
20,1.5624639021091185e+18,2022-08-24 15:36:38+00:00,['1562463902109118464'],RT @DrDoyleSays: https://t.co/FBp66kMS53 https://t.co/DSKYo5M8s7,
21,1.5624232318183995e+18,2022-08-24 12:55:01+00:00,['1562423231818399748'],RT @DrWJL: Excellent explanatory thread on sewage discharge and treatment.,
22,1.5624230148847903e+18,2022-08-24 12:54:09+00:00,['1562423014884790275'],"RT @polecat_the: 🧵on sewage to help those devoid of facts.

1/15
Sewage is spilled because of original shortcomings in the physical design,…",
23,1.562417016308482e+18,2022-08-24 12:30:19+00:00,['1562417016308482048'],"RT @GBNEWS: 'Journalists tell me they were bored of writing about Ukraine. Well, they're not bored of writing about Boris Johnson eating bi…",
24,1.5623783054452818e+18,2022-08-24 09:56:30+00:00,['1562378305445281792'],RT @KennyandHattie: From my Facebook Feed Today... https://t.co/Lr2jBMHPRg,
25,1.5623781188281057e+18,2022-08-24 09:55:45+00:00,['1562378118828105728'],"RT @Miss_Snuffy: HAAAAA!!! 😂😂😂 SO funny!

See the way they smile at each other! That’s what kids do! Ha ha ha!

That’s why you need systems…",
26,1.562163208634368e+18,2022-08-23 19:41:47+00:00,['1562163208634368002'],RT @DominicFarrell: When you think the police cannot get any worse. WTF is going on? I have zero respect for this idiot and anyone in ‘comm…,
27,1.561862005971198e+18,2022-08-22 23:44:54+00:00,['1561862005971197955'],"RT @TitaniaMcGrath: We will never defeat racism until people of colour have their own spaces away from whites.

I suggest we start with sch…",
28,1.5615406389355807e+18,2022-08-22 02:27:55+00:00,['1561540638935580672'],"RT @helpusfindowami: Day #45

Owami is still missing. Thank you to everyone that has been retweeting, reposting, talking about her, looking…",
