,Topic,Count,Name,details,Topic name,Topic label
0,-1,113868,-1_nurse_care_health_people,"['nurse', 'care', 'health', 'people', 'time', 'nursing', 'today', 'patient', 'year', 'work']",Outlier,None
1,0,6751,0_morning_hope_friend_thanks,"['morning', 'hope', 'friend', 'thanks', 'weekend', 'chris', 'kenny', 'thought', 'evening', 'weather']",Conversational language,Life
2,1,5859,1_thank_follow_thanks_word,"['thank', 'follow', 'thanks', 'word', 'support', 'brilliant', 'everyone', 'welcome', 'question', 'hello']",More conversational language,Life
3,2,3868,2_year_person_love_peace,"['year', 'person', 'love', 'peace', 'button', 'anyone', 'seattle', 'anything', 'girl', 'vibe']",People,Life
4,3,3348,3_book_week_city_ruth,"['book', 'week', 'city', 'ruth', 'review', 'medsurg', 'rest', 'copy', 'reading', 'nothing']",Books,Life
5,4,3150,4_congratulation_luck_award_winner,"['congratulation', 'luck', 'award', 'winner', 'achievement', 'hero', 'glad', 'star', 'cute', 'awww']",Congraulations,Life
6,5,3121,5_food_school_life_meal,"['food', 'school', 'life', 'meal', 'child', 'lunch', 'charity', 'claire', 'nutrition', 'hill']",School and childern,Life
7,6,2291,6_tweet_twitter_please_thread,"['tweet', 'twitter', 'please', 'thread', 'account', 'hashtag', 'comment', 'facebook', 'medium', 'tiktok']",Twitter and social media,Life
8,7,2282,7_work_team_fons_match,"['work', 'team', 'fons', 'match', 'fellowship', 'effort', 'ball', 'sausage', 'inbox', 'nightmare']",Sports and jobs,Life
9,8,2256,8_night_shift_emergency_sleep,"['night', 'shift', 'emergency', 'sleep', 'yoga', 'sunday', 'class', 'bloody', 'watch', 'dinner']",Hospital shifts,Work
10,9,2154,9_fusion_software_business_management,"['fusion', 'software', 'business', 'management', 'care', 'speak', 'demo', 'data', 'course', 'note']",Technology,Life
11,10,2009,10_time_thing_something_folk,"['time', 'thing', 'something', 'folk', 'breath', 'breathe', 'agree', 'twit', 'breathing', 'crabby']",Time pressure,Life
12,11,1994,11_enjoy_chat_pocket_thankyou,"['enjoy', 'chat', 'pocket', 'thankyou', 'whoop', 'break', 'jackie', 'scrub', 'sofa', 'card']","Good mornings, work and vaccines",Life
13,12,1891,12_ticket_conference_branch_opportunity,"['ticket', 'conference', 'branch', 'opportunity', 'journey', 'meeting', 'disney', 'zoom', 'book', 'inequality']",Conferences,Lie
14,13,1873,13_birthday_cheer_dance_miss,"['birthday', 'cheer', 'dance', 'miss', 'timeline', 'wish', 'instagram', 'grandson', 'skye', 'husband']",More conversational language,Life
15,14,1865,14_nigeria_infection_river_record,"['nigeria', 'infection', 'river', 'record', 'case', 'state', 'control', 'license', 'health', 'fever']",COVID,Life
