,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,clean_text,created_at,label,sentiment_index,sentiment
3405,3405,welbeck maupay,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,Good to see Welbeck and Maupay starting together. Come on you Seagulls 🔵⚪#bhafc,good to see welbeck and maupay starting together come on you seagulls ,2020-11-06 16:37:18+00:00,None,1,Positive
3406,3406,biden people john mccain,3,3_tory_party_labour_election,tory - party - labour - election - vote - leader - picket - voter - leadership - blair,0.3575177200773318,False,"Not missing. They voted Biden because you dissed Vets, and people like John McCain https://t.co/wOyUrZ0u0G",not missing they voted biden because you dissed vets and people like john mccain ,2020-11-06 19:29:00+00:00,Life,1,Positive
3407,3407,route recast minute service load operator train,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"@AvantiWestCoast Is this going to be done by simply removing one tph from each route, or by a TT recast? If the former, will leave 40/20 minute interval service. If the latter, affects a whole load of other Operators’ trains too!", is this going to be done by simply removing one tph from each route or by a tt recast if the former will leave minute interval service if the latter affects a whole load of other operators trains too,2020-11-06 19:36:29+00:00,None,2,Negative
3408,3408,democrat vote vote,3,3_tory_party_labour_election,tory - party - labour - election - vote - leader - picket - voter - leadership - blair,0.3430602282468728,False,@geofftech Thameslink clearly Democrat and stealing the vote. STOP COUNTING THE VOTES, thameslink clearly democrat and stealing the vote stop counting the votes,2020-11-06 19:39:24+00:00,Life,2,Negative
3409,3409,bloke phoenix vote arizona,3,3_tory_party_labour_election,tory - party - labour - election - vote - leader - picket - voter - leadership - blair,0.9484530792954312,False,"Is there like one bloke in Phoenix, counting all the votes for Arizona? Surely it doesn't take this long! #USElection2020",is there like one bloke in phoenix counting all the votes for arizona surely it doesn't take this long ,2020-11-06 22:10:15+00:00,Life,1,Positive
3410,3410,someone organisation tweet,5,5_tweet_twitter_people_someone,tweet - twitter - people - someone - account - musk - twat - year - thread - reply,1.0,False,"@AvantiWestCoast Is this saying “I don’t know” or “I do know, but I’m just not allowed to tell”? Someone in your organisation must know what’s going on or your original tweet could not have been published. Odd.", is this saying i don’t know or i do know but i’m just not allowed to tell someone in your organisation must know what’s going on or your original tweet could not have been published odd,2020-11-06 22:29:46+00:00,Life,0,None
3411,3411,iain building block date,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.2667097968986075,False,@philatrail That’s the last of Iain Coucher’s building blocks that date back to 2002 dismantled then, that’s the last of iain coucher’s building blocks that date back to dismantled then,2020-11-06 22:33:08+00:00,None,2,Negative
3412,3412,year today start role,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"After 4 years today was my last day as EA to my boss. Start again on Monday new role, same boss. Going to be weird.",after years today was my last day as ea to my boss start again on monday new role same boss going to be weird,2020-11-06 23:32:13+00:00,None,2,Negative
3413,3413,trump tweet zeitgeist perspicacity look funk donny,5,5_tweet_twitter_people_someone,tweet - twitter - people - someone - account - musk - twat - year - thread - reply,1.0,False,Yet another trump tweet of the Zeitgeist. His perspicacity is uncanny (Look THAT up in your Funk and Wagnall’s Donny) 😂😂 https://t.co/9ahRLLLVXI,yet another trump tweet of the zeitgeist his perspicacity is uncanny look that up in your funk and wagnall’s donny  ,2020-11-07 07:17:02+00:00,Life,0,None
3414,3414,thank youwe chat night staying herder hope office point,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@Chris_I_Carter Thank you...we had a chat last night as he felt we needed to mark it somehow. He nearly made me cry! I’m glad I’m staying and moving up but going to miss being his cat herder a bit. Hope to get to the office at some point!, thank youwe had a chat last night as he felt we needed to mark it somehow he nearly made me cry i’m glad i’m staying and moving up but going to miss being his cat herder a bit hope to get to the office at some point,2020-11-07 08:57:40+00:00,None,1,Positive
3415,3415,somehow donna,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.4542848080595015,False,"@kimberlyann30 Same here. Can they both lose somehow, Donna? Xx", same here can they both lose somehow donna xx,2020-11-07 11:44:59+00:00,None,2,Negative
3416,3416,idea twitter,5,5_tweet_twitter_people_someone,tweet - twitter - people - someone - account - musk - twat - year - thread - reply,1.0,False,@emmabee_2404 @Jonsie84 @bendolino Great idea. Not sure about Mark's twitter. Think this is it @MarkF92a actually lol,   great idea not sure about mark's twitter think this is it  actually lol,2020-11-07 14:34:01+00:00,Life,1,Positive
3417,3417,squad player staff wonder knowledge,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"Yet again Max isn't in the squad, really feel for the guy, talented player, but clearly not rated by coaching staff. Wonder if he was signed by DF without Roy's knowledge. #cpfc",yet again max isn't in the squad really feel for the guy talented player but clearly not rated by coaching staff wonder if he was signed by df without roy's knowledge ,2020-11-07 14:43:01+00:00,None,1,Positive
3418,3418,look milk,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.775024563739703,False,My look when I put too much milk in my tea. https://t.co/Aqf8TTa0i3,my look when i put too much milk in my tea ,2020-11-07 14:45:33+00:00,None,0,None
3419,3419,crate vote,3,3_tory_party_labour_election,tory - party - labour - election - vote - leader - picket - voter - leadership - blair,0.9653339250483374,False,@BarristerSecret Ha. You’ve suddenly found another crate full of votes! #BidenBunny 😂😂😂, ha you’ve suddenly found another crate full of votes  ,2020-11-07 15:03:29+00:00,Life,1,Positive
3420,3420,damn hope fella,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.3854969398137123,False,"@Madafwo Damn, it was worth a shot! Hope you're doing ok fella?", damn it was worth a shot hope you're doing ok fella,2020-11-07 15:26:00+00:00,None,1,Positive
3421,3421,mate mixture home training,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.3703456084656956,False,@Madafwo All good mate. Still doing a mixture of home and training at the mo., all good mate still doing a mixture of home and training at the mo,2020-11-07 15:28:51+00:00,None,1,Positive
3422,3422,bamford point,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.7466027790941334,False,"That was coming, Bamford clearly has a point to prove.",that was coming bamford clearly has a point to prove,2020-11-07 15:29:50+00:00,None,1,Positive
3423,3423,thing course,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,@Madafwo Definitely good to see things having a bit of normality. Second lockdown isn't helping of course. Many seen to be ignoring it tho., definitely good to see things having a bit of normality second lockdown isn't helping of course many seen to be ignoring it tho,2020-11-07 15:32:46+00:00,None,1,Positive
3424,3424,orange juice,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.8625233767507383,False,“AND I WANT MY ORANGE JUICE NOW!” https://t.co/AIuxUmeywE,and i want my orange juice now ,2020-11-07 15:39:55+00:00,None,1,Positive
3425,3425,sack donnie,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,Get in Joe. Pack your sack Donnie #USElection2020,get in joe pack your sack donnie ,2020-11-07 16:36:17+00:00,None,0,None
3426,3426,irony trump,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@foxnews. The irony is perfect. Trump dumped by @rupertmurdoch https://t.co/si3ABIv3MO, the irony is perfect trump dumped by  ,2020-11-07 17:06:48+00:00,None,1,Positive
3427,3427,count alaska part,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@philrichardsuk At the last count Alaska was still a part of the USA, at the last count alaska was still a part of the usa,2020-11-07 17:13:25+00:00,None,0,None
3428,3428,american result election place,3,3_tory_party_labour_election,tory - party - labour - election - vote - leader - picket - voter - leadership - blair,0.6211603269731295,False,"If all the Americans now taking to Twitter to proclaim that they can no longer live in the USA as a result of the way this election has been ""stolen"" actually leave, maybe it will make it just a little bit a nicer place",if all the americans now taking to twitter to proclaim that they can no longer live in the usa as a result of the way this election has been stolen actually leave maybe it will make it just a little bit a nicer place,2020-11-07 17:16:37+00:00,Life,2,Negative
3429,3429,monday nobody,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.5902786297161385,False,Monday will be too late Nobody will remember who he was by then https://t.co/pga05mRZBS,monday will be too late nobody will remember who he was by then ,2020-11-07 17:27:56+00:00,None,0,None
3430,3430,president detail prison cell,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,Do ex presidents still get a @SecretService detail while they’re in a prison cell? #AskingForAnExPresident,do ex presidents still get a  detail while they’re in a prison cell ,2020-11-07 17:32:10+00:00,None,2,Negative
3431,3431,model ebay offer year country damage,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"Another model listed on ebay, another incredibly low offer received. I realise it's close to 15 years old, but i think a West Country is going to go for more than £45, even with the slight damage admitted.",another model listed on ebay another incredibly low offer received i realise it's close to years old but i think a west country is going to go for more than  even with the slight damage admitted,2020-11-07 18:19:35+00:00,None,2,Negative
3432,3432,picture inauguration picture prison cell,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,Would be good if they nailed a picture of @barackobama ‘s inauguration next to a picture of him and @joebiden in @realdonaldtrump ‘s prison cell,would be good if they nailed a picture of  s inauguration next to a picture of him and  in  s prison cell,2020-11-07 18:24:42+00:00,None,2,Negative
