,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text
100,100,thanks help,0,0_thank_thanks_hope_moment,thank - thanks - hope - moment - kind - weekend - minute - easter - dream - hello,1.0,True,@DuniyaAKhan @TheNationalNews Thanks so much @DuniyaAKhan for your help! Really appreciate it.
187,187,thank support,0,0_thank_thanks_hope_moment,thank - thanks - hope - moment - kind - weekend - minute - easter - dream - hello,0.8074896832264186,True,@saharyafa @myfairobserver Thank you @saharyafa for your support!
189,189,thanks friend,0,0_thank_thanks_hope_moment,thank - thanks - hope - moment - kind - weekend - minute - easter - dream - hello,1.0,True,@Abul_Hasanat @myfairobserver Thanks for sharing friend!
631,631,want writer travel april,5,5_book_writer_author_list,book - writer - author - list - bookshop - read - library - year - reading - paperback,1.0,True,Want to be a travel writer or improve your travel blog? My next @cityshortcourse Mon eves from April 25 https://t.co/LIy39zJj5x
688,688,news kind woman thought family,13,13_family_love_prayer_psni,family - love - prayer - psni - thought - sister - thank - nightmare - thinking - blog,1.0,True,"@mary_novakovich @melissashales @TravWriters Oh no. That is so sad. What dreadful news. She was a lovely, kind and always supportive woman. My thoughts are with her family and all who knew her."
709,709,sneeze hand fruit aisle,1,1_food_lunch_breakfast_restaurant,food - lunch - breakfast - restaurant - meal - dinner - cheese - sausage - gift - cream,1.0,True,@helenahalme I saw a guy sneeze into his hand then squeeze all the fruit. Same in every aisle.
868,868,travel writer chance,5,5_book_writer_author_list,book - writer - author - list - bookshop - read - library - year - reading - paperback,1.0,True,C'mon new travel writers.. here's your chance #Competition #travelwriting https://t.co/NCuVx2oOh5
937,937,list list,5,5_book_writer_author_list,book - writer - author - list - bookshop - read - library - year - reading - paperback,1.0,True,Another great list of #writing jobs list from @DanielLevitt32 https://t.co/2InXml2ZMI
1077,1077,spoiler alert hello,3,3_song_music_album_tune,song - music - album - tune - version - mother - track - poetry - poem - band,1.0,True,Spoiler alert #BehindHerEyes Really? It lost me at hello. https://t.co/EWeUIUcSAK
1265,1265,fancy sandwich sarah lucas regent,1,1_food_lunch_breakfast_restaurant,food - lunch - breakfast - restaurant - meal - dinner - cheese - sausage - gift - cream,1.0,True,Fancy a concrete sandwich? Sarah Lucas @FriezeArtFair Regents Park #artinthepark #sculpture https://t.co/xkp70b9n11
1326,1326,beard insta follower,2,2_tweet_twitter_account_timeline,tweet - twitter - account - timeline - people - follower - troll - like - time - reply,1.0,True,Have now blocked more middle aged men with beards on insta than I've got followers https://t.co/XPmiLK7gAt
1463,1463,tweet journalism student client,4,4_journalist_journalism_paper_boat,journalist - journalism - paper - boat - newspaper - career - news - pier - breath - reminder,1.0,True,@LHM1 Tweet jobs I see @wordsallowed fir my journalism students and clients.
1476,1476,list list,5,5_book_writer_author_list,book - writer - author - list - bookshop - read - library - year - reading - paperback,0.7401489668848757,True,@adders Great list. Make a list??
1599,1599,geezer path heath thanks,4,4_journalist_journalism_paper_boat,journalist - journalism - paper - boat - newspaper - career - news - pier - breath - reminder,1.0,True,Old geezer jogging down narrow path on Heath. I tried to stepped aside. 'Thanks' he said. 'I'll be fine' f #jogger
1707,1707,feel technique breath time breath cough breath cough turn stomach luck call mention,4,4_journalist_journalism_paper_boat,journalist - journalism - paper - boat - newspaper - career - news - pier - breath - reminder,1.0,True,"@HelenLewis1980 Feel for you. Try the technique of deep breaths, hold exhale 5 times. Then on sixth deep breath and cough. Do it again 5 deep breaths. Then on 6th cough. Turn over and rest 10 mins on stomach. Best of luck. Call 111 and mention your boy."
2141,2141,time place,11,11_james_jones_saunders_injury,james - jones - saunders - injury - bond - witton - lineup - substitution - jebrin - change,1.0,True,"First live gig in a looong time. No better place, no better man, @Glen_Hansard https://t.co/KjRKp8dpUd"
