,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,clean_text,created_at,label,sentiment_index,sentiment
754,754,bloody hell,0,0_twitter_tweet_bike_train,twitter - tweet - bike - train - blog - football - strike - road - cycle - timeline,1.0,True,"@archaeologyBoy Bloody hell, I need to get better", bloody hell i need to get better,2020-02-09 10:40:00+00:00,Life,2,Negative
755,755,earth something scenario,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,How on Earth can you see what she did as something positive in this particular scenario? https://t.co/n9iZsucamS,how on earth can you see what she did as something positive in this particular scenario ,2020-02-09 12:23:54+00:00,None,1,Positive
756,756,thank horse chestnut storm,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.3490552776363751,False,Thank you Highway Maintenance. Such a beautiful horse chestnut brought down by the storm. Luckily no-one hurt.💨 https://t.co/xcFFE2UstP,thank you highway maintenance such a beautiful horse chestnut brought down by the storm luckily noone hurt ,2020-02-09 15:00:19+00:00,None,1,Positive
757,757,life picture explanation leicester kingdom,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,"(Late, again) day 6 of 7, my life in pictures without an explanation, challenged by @the_learnaholic, I nominate @aseemrahman @ Leicester, United Kingdom https://t.co/oh1SEz7rAl",late again day of my life in pictures without an explanation challenged by  i nominate   leicester united kingdom ,2020-02-10 12:30:20+00:00,None,1,Positive
758,758,counselling session therapist longterm psychotherapy,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,So at my last counselling session my therapist said I was “rather existential” and that perhaps I would instead benefit from long-term psychotherapy. Which is...expensive ?,so at my last counselling session my therapist said i was rather existential and that perhaps i would instead benefit from longterm psychotherapy which isexpensive ,2020-02-10 23:52:24+00:00,None,1,Positive
759,759,life picture explanation tasmo leicester,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,"Day 7 of 7, my life in pictures without an explanation, challenged by @the_learnaholic, I nominate tasmo7 @ South Knighton, Leicester https://t.co/O6DHoIvOBK",day of my life in pictures without an explanation challenged by  i nominate tasmo  south knighton leicester ,2020-02-11 20:07:45+00:00,None,1,Positive
760,760,conversation smartarse something,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,@adamsonjon Surely in this conversation the one being the smartarse is also the one who could have prescribed something else?, surely in this conversation the one being the smartarse is also the one who could have prescribed something else,2020-02-11 21:06:25+00:00,None,1,Positive
761,761,acid thing something,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,So apparently inhaled tranexamic acid is a thing... always something new. https://t.co/5dGo0z3y3z,so apparently inhaled tranexamic acid is a thing always something new ,2020-02-13 13:25:22+00:00,None,0,None
762,762,cardiff morning,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.9317924767253586,False,Glorious red sky over Cardiff this morning https://t.co/TIPKoGFDwz,glorious red sky over cardiff this morning ,2020-02-14 07:22:44+00:00,None,1,Positive
763,763,violence rise murder woman,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,Domestic violence behind rise in murders of women 😰 https://t.co/xaMJrTNIIp,domestic violence behind rise in murders of women  ,2020-02-14 08:26:22+00:00,None,2,Negative
