id,created_at,edit_history_tweet_ids,text,clean_text,nouns,lemm_nouns
1.5639370223052636e+18,2022-08-28 17:10:17+00:00,['1563937022305263616'],@Planetary_Sec @Joyce_Karam Terrifying and deadly. My thoughts are with the victims of this tragedy and their survivors.,  terrifying and deadly my thoughts are with the victims of this tragedy and their survivors, terrifying thoughts victims tragedy survivors ,terrifying thought victim tragedy survivor
1.562027904518787e+18,2022-08-23 10:44:08+00:00,['1562027904518787073'],@DrAlakbarov Beautiful! Very welcome and restorative pictures in our current times. Thank you. 🙂🙂, beautiful very welcome and restorative pictures in our current times thank you ,pictures times ,picture time
1.5620264286647828e+18,2022-08-23 10:38:16+00:00,['1562026428664782848'],@dorsalini @RachaelUnedited This speech has not aged well.,  this speech has not aged well,speech ,speech
1.5620229337275105e+18,2022-08-23 10:24:23+00:00,['1562022933727510528'],@cnapan @13sarahmurphy @LuxmooreS Very grim. :(,   very grim ,   ,
1.5620164119748772e+18,2022-08-23 09:58:28+00:00,['1562016411974877188'],@RichardJMurphy @PaulDBurgess A brilliant thread. Spot on!,  a brilliant thread spot on, thread spot ,thread spot
1.5610352781307576e+18,2022-08-20 16:59:47+00:00,['1561035278130757635'],@slp111111 @sunick51 @ThanGenghisKhan Truth is not her strongest point either.,   truth is not her strongest point either,  truth point ,truth point
1.5534965773769275e+18,2022-07-30 21:43:41+00:00,['1553496577376927746'],Answer to What is a political lie called? by Kirk Scott https://t.co/z6HFtiokMy,answer to what is a political lie called by kirk scott ,answer lie kirk scott  ,answer lie kirk scott
1.5500898370169078e+18,2022-07-21 12:06:31+00:00,['1550089837016907776'],"@PactaSuntServa0 @eichel_robert @annettedittert Sadly, the political universe is now so warped that many things, once deemed impossible, have happened. But you are right. In a rational universe, it does not make any sense to re elect him.",   sadly the political universe is now so warped that many things once deemed impossible have happened but you are right in a rational universe it does not make any sense to re elect him,  universe things universe sense ,universe thing universe sense
1.5500869315848028e+18,2022-07-21 11:54:58+00:00,['1550086931584802818'],"@AndrewM83659066 @CJNMcG @AnnBurnip @annettedittert @UKLabour With friends like him, who needs enemies?",     with friends like him who needs enemies,    friends enemies ,friend enemy
1.5500854043297423e+18,2022-07-21 11:48:54+00:00,['1550085404329742336'],"@PaulAllenSK1 @RegenerationEX @mrjohngmarshall @LBC Nope, and I don't expect to see one anytime soon. Does anyone?",    nope and i don't expect to see one anytime soon does anyone,   nope i anyone ,nope anyone
