,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,university sense entitlement,fiat twitter,million anything reason country people harder economy people,house dragon violencesex need,night taught chemistry,yeah dust,apart everything,energy company profit price sense revenue benefit need price profit,bonus,class zidane,truss plan cost living crisis leadership britain time,nothing piano playing vegan ivory,human animal friend,yeah hate love,action varmjnts
1,number problem interpretation entitlement quotation count interpretation sense talk,tweet others pile tweet twitter minefield,people contribute economy patel people education retirement hospital,dragon visage,someone need chemistry life,magic fairy dust,everything,care waffle anyones energy bill,time beer kilo flavour friend prize winner referrer,perez grid contract celebration,thousand pound time cost living crisis,spot piano,animal meme anything,hater right,wallace action
2,firm resettlement,people tweet,perfect macroeconomics comparison,varjak girl journey edward tulane dragon iron description,curiosity science scientist research microscope chemistry,pick dust enjoy opinion,butnot everything,government development hydrogen government bond order hydrogen project,winner,perez team order,trouble cost crisis emergency coaltion party head head breakfast,sorry yesterday single pianist communards,people animal gulf human environment,hater hate,action
3,work year student country,retweet internet year,john tory heft dare,image gardener lily fritillary scarlet lilii insect enjoy,easter message minority trouble,shop advice,qualification anything,politician volvo petrol,daughter graduation today year,snow realisation magic thing past,parent school example apple company funding school,version,type homemade sausage roll everything,love solidarity,mountain today mile spain
4,university highlight year,word manager tweet year title,fact tory party candidate zahawi room vibe,quadripunctaria europe migrant moth kent year,easter community,shop item version,love qualification role rejection rate data rejection interview stage qualification regulation,petrol station,imagine graduation reward rite passage,snowball fight,involvement movement fireman railway scholarship grammar school money imagine,version,sausage rollspastry form striation sausage meaning right,whoop cheer solidarity everyone field trade union country,anything spain
5,student block aldershot year,tweet effect year,meant party tory,beetle beetle sexpunctatus irecord info insect england,easter hols,pricey comparison mass shop,aspect analysis number variable acceptance rate qualification equivalence qualification barrier,service station time diesel fortnight round trip weekend come,drive graduation today year kind send,snow snow,school mind price,please version classic,engvsa fishfingers sausage roll bean warmth afternoon,leader today alliance movement working solidarity thanks coffee service,side spain injustice defeat
6,kind glad,joyful teacher school science tweet child questioning sharing,johnson nothing,book book funny opportunity reflection discussion link topic squirrel spaceship,faggot fairytale bloody,thanks james confusion pressure people,scandal line series word,conservative rise inflation term evidence,ahahah brilliant,morning,expert money please money,print store,wotsits afternoon,whoop whoop,detail appeal something board school
7,glad,post training school teacher internet time twitter account,slip number johnson,squirrel eats bird,bloody woman,thanks james support thanks,scandal scandal,gauge inflation,bloody brilliant,morning,hove money,grandma year computer printer world,pshe afternoon,whoop whoop,sendiasteam request appeal
8,brilliant glad,implication teacher development director tweet,johnson nightmare,squirrel spell squirrel,game provoking bloody,thanks jess,time people neck sleaze scandal mess government office country,mean increase inflation liar,brilliant,morning,money promotion company someone,print level crew,afternoon term,whoop whoop,husband right start appeal process year anyone appeal everything summer
9,mate desk,month,queen,pint lager scampi basket alice cooper,thing internet,thanks someone something,holy shit vibe journey vibe,phonics trellis,specie cobra constrictor python reptile anaconda,james worry,crisis,word range activity locality place,trip school,school plan,speech chair committee right appeal committee witness
