,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text
16,16,miss,8,8_birthday_enjoy_girl_please,birthday - enjoy - girl - please - bless - dance - awww - daughter - idiot - miss,0.8144512018769485,True,@GracelessHippo miss you.
51,51,congratulation,1,1_food_congratulation_school_life,food - congratulation - school - life - meal - child - caterer - award - community - government,0.4720437815226313,True,@lornafraser10 So so so many congratulations but also 😢
57,57,cheer,0,0_christmas_luck_card_baby,christmas - luck - card - baby - charity - gift - pocket - film - ticket - donation,0.9273208771085888,True,Cheers. https://t.co/eJu1qpovQb
59,59,mate,6,6_mile_walk_step_breakfast,mile - walk - step - breakfast - mate - week - road - morning - moon - count,0.7904574341000926,True,@Novembervivi Oh mate that sucks. Gentle squishy hugs
60,60,sorry,4,4_hope_game_brilliant_sorry,hope - game - brilliant - sorry - pleasure - welcome - claire - weather - tonight - round,0.5549116332713564,True,@CElliumK That’s rubbish. I’m sorry.
62,62,claire,4,4_hope_game_brilliant_sorry,hope - game - brilliant - sorry - pleasure - welcome - claire - weather - tonight - round,0.3462831412941988,True,"@ccarmichael_83 @stjohnambulance Hope he’s ok, Claire"
72,72,ride,6,6_mile_walk_step_breakfast,mile - walk - step - breakfast - mate - week - road - morning - moon - count,0.7002109325959237,True,@Ron_Fleasley Hope you had fun - I have a similar one of E on the same ride. Too funny not to buy 😂
108,108,register,1,1_food_congratulation_school_life,food - congratulation - school - life - meal - child - caterer - award - community - government,1.0,True,@amii0484 But. Did you not have the registers?
128,128,soul,3,3_thank_jackie_match_goodness,thank - jackie - match - goodness - dear - goodnight - thankyou - nightmare - thanks - morning,1.0,True,@IshMotherBec I feel this in my soul.
129,129,book,7,7_book_conference_place_reading,book - conference - place - reading - kind - review - speaker - series - club - inequality,0.0759353081015876,True,Love this book. Cannot recommend it enough. @ChrisMulryan will not be forgotten. https://t.co/eknfb6m62s
145,145,please,8,8_birthday_enjoy_girl_please,birthday - enjoy - girl - please - bless - dance - awww - daughter - idiot - miss,0.445817173543382,True,"Why am I so be depressed, please?"
146,146,parent teenager,7,7_book_conference_place_reading,book - conference - place - reading - kind - review - speaker - series - club - inequality,1.0,True,@Novembervivi I’m hypothetically almost the parent of a teenager… that’s weird enough.
169,169,sorry,4,4_hope_game_brilliant_sorry,hope - game - brilliant - sorry - pleasure - welcome - claire - weather - tonight - round,1.0,True,@real_meaning Oh Anna I’m sorry
194,194,teenager home office note policy,9,9_journal_article_issue_look,journal - article - issue - look - paper - moment - kidney - disease - throat - bioinformatics,1.0,True,@StarCur1 And he was a teenager when he applied so *according to Home Office* old enough to be truthful. Please note: I do not agree with HO policies.
