,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text
132,132,look case look,6,6_video_crossrail_look_line,video - crossrail - look - line - name - youtube - dmus - mode - focus - footage,1.0,True,"@TurnipRail @StPancrasInt Will also have a look in the #NewProjectData to see if we have any cases relating. Suspect not, but worth a look! Will let you know..."
188,188,piece issue rail shelf today rail team feature piece data release,0,0_rail_railway_industry_network,rail - railway - industry - network - article - company - train - tocs - government - people,1.0,True,"Looking forward to seeing the piece on our #NewProjectData in the current issue of RAIL, on the shelves today! Always good to work with the RAIL team on features, delighted they went for this piece drawing on the new data release. 👍😀 @RAIL #Twitterstorians #RailwayHistory"
221,221,beautiful paul hols beach cornwall,8,8_photo_photographer_image_picture,photo - photographer - image - picture - thanks - railway - station - shot - photograph - cornwall,1.0,True,@dobraszczyk Beautiful Paul - happy hols to you all. From a beach in Cornwall! 😀👍
450,450,thank labour love people load project rule,3,3_tory_party_labour_election,tory - party - labour - election - vote - leader - picket - voter - leadership - blair,1.0,True,"@FederationFHS @MaccHistorian @Researchdogbody @DanielGenealogy @GuildOneName @wdytyamagazine Thank you! It's been a labour of love, so it's great to see it out and people using it - that'swhat it'sall for! 😀👍 🤞 Hoping to hear lots more about people's #FamilyHistory finds, too - this has already brought loads to the project, and we're grateful. #Collaboration rules!"
821,821,thanks alice,2,2_thanks_john_congratulation_thank,thanks - john - congratulation - thank - reply - congrats - response - peter - paul - jason,1.0,True,@alice_delemare @trains_for_kids Thanks Alice!
915,915,manor park,9,9_station_park_facebook_cream,station - park - facebook - cream - island - wall - castle - group - bletchley - railway,1.0,True,"In Manor Park, there be @bovril_official. https://t.co/57dPfhJF26"
1273,1273,article game,0,0_rail_railway_industry_network,rail - railway - industry - network - article - company - train - tocs - government - people,1.0,True,Excellent article about the semi pro game. https://t.co/30pWscWVyt
1355,1355,authority football collapse curtis card,1,1_season_game_hastings_football,season - game - hastings - football - league - bath - goal - injury - play - card,1.0,True,@pipathon @BenPearson1997 @CraigStoddart_ And let's see what the authorities that supposedly run football do about the pathetic collapse of Curtis. Rescinding the red card isn't enough.
1839,1839,course everything expense plenty,4,4_treasury_minister_mayor_sunak,treasury - minister - mayor - sunak - shapps - budget - funding - protest - cake - government,1.0,True,@implausibleblog And of course those MPs claim for everything that moves on expenses and plenty of them have 'outside' jobs too. And this is good too..... https://t.co/hlE3EXWd0f
1905,1905,stone piss opposition stroke fine point deduction message nothing,1,1_season_game_hastings_football,season - game - hastings - football - league - bath - goal - injury - play - card,1.0,True,"@HUFCPODCAST Worse than the Stones red. Pisses you off when opposition do it and embarrasses you when yours do it. Could be eradicated at a stroke. Long bans, big fines point deductions. Wouldn't have to enforce it much once the message got through. Inexcusable that nothing gets done about it"
1967,1967,bottom table entity relegationpromotion progression league competition pusher interest,1,1_season_game_hastings_football,season - game - hastings - football - league - bath - goal - injury - play - card,1.0,True,@premrugby @LeicesterTigers @SaintsRugby @WorcsWarriors @Saracens @Harlequins @gloucesterrugby @SaleSharksRugby @ExeterChiefs @londonirish @WaspsRugby @BristolBears @FalconsRugby @BathRugby Worcester off the bottom. So what. That end of the table is a non entity with no relegation/promotion. Natural progression of a league competition destroyed by pen pushers and vested interests.
2005,2005,photo typo caption,8,8_photo_photographer_image_picture,photo - photographer - image - picture - thanks - railway - station - shot - photograph - cornwall,1.0,True,@jerijerod14 Photo typo respectfully pointed out. Bottom right caption will explain!
2019,2019,rees juvenile chimney sweep industry,1,1_season_game_hastings_football,season - game - hastings - football - league - bath - goal - injury - play - card,1.0,True,"@james_christie Yea, get Rees Mogg to revive the juvenile chimney sweep industry while you're at it."
2057,2057,side season intent season,1,1_season_game_hastings_football,season - game - hastings - football - league - bath - goal - injury - play - card,1.0,True,@stone_craig @phoenixsport82 For a side that just went down after being bottom all season that's some serious intent for next season.
2168,2168,walter follower method start year relegation,1,1_season_game_hastings_football,season - game - hastings - football - league - bath - goal - injury - play - card,1.0,True,"@HastingsLIFE The end of the Walters era. A lot of United followers were alienated by his methods. Dave coming back signified a fresh start after a pretty depressing 10 years or more. Yea, the big FA Cup run, but that was soon countered by relegation. Much much better now."
2169,2169,pitch enthusiasm turning point year board,1,1_season_game_hastings_football,season - game - hastings - football - league - bath - goal - injury - play - card,1.0,True,"@HastingsLIFE Absolutely. United off and on the pitch, eh? I'll say it again, Billy's enthusiasm is infectious. Another big turning point for me - several years ago - Dave Ormerod getting back on board."
2248,2248,something fault notice,1,1_season_game_hastings_football,season - game - hastings - football - league - bath - goal - injury - play - card,1.0,True,@KentishHack Am I missing something here? Is it dad's fault for failing to fall ill without giving sufficient notice?
2288,2288,wait goal,1,1_season_game_hastings_football,season - game - hastings - football - league - bath - goal - injury - play - card,1.0,True,"@JoeKnightHUFC97 @hastingsufc @JonMeano8 @stone_craig @AndrewJMBrown Can't wait to see Kenny's goal, Joe."
2448,2448,blast cray wanderer league play winner hastings minute home game comeback league demise kick,1,1_season_game_hastings_football,season - game - hastings - football - league - bath - goal - injury - play - card,1.0,True,"Blast from the past, 18-19 Isthmian SE. Cray Wanderers win the league, go up with play off winners Horsham. Hastings Utd, 6 minutes, 0-2 down home to Cray and win great game 3-2. Top comeback. League 1 short after demise of Thamesmead. U's so close with this deflected free kick. https://t.co/xkOAsKfRUj"
2539,2539,minimise brain injury injury impact contact statement fact rugby contact rugby anyone dont,1,1_season_game_hastings_football,season - game - hastings - football - league - bath - goal - injury - play - card,1.0,True,"@JerryHiggins86 Where do see me in any way minimise brain injuries? There is potential for serious injuries in a high impact, contact sport. Me saying that is not minimising it at all. Its a statement of fact. As is 100% safe rugby is non contact rugby which I don't think anyone wants. I don't."
2550,2550,play offs bottom step runner relegation reprieve step complement,1,1_season_game_hastings_football,season - game - hastings - football - league - bath - goal - injury - play - card,1.0,True,@IsthmianLeague @BSportsphotos @CrayValleyPM @hastingsufc @HastingsLIFE @NonLeagueCrowd @townsendaround @HHTFC @RamsgateFC @HawksFCOfficial @phoenixsport82 @HerneBayFC Are the bottom two being relegated? The play offs for 3rd bottom and step 5 runners up already cancelled? If I read it correctly there are relegation reprieves at Step 1 to 4 as the FA gets the various leagues up to full complement?
2556,2556,impact speed bloke collision concussion course term implication player rugby contact tackle damage line,1,1_season_game_hastings_football,season - game - hastings - football - league - bath - goal - injury - play - card,1.0,True,"@rugby_ap High impact, high speed, big blokes, collisions - rugby faster than ever. Concussions inevitable and, of course, we now see long term implications surfacing for retired players. 100% safe rugby = no contact. Go low with tackles = damage further down. Where to draw the line?"
2561,2561,concussion consequence level speed contact sport card play ewels harm,1,1_season_game_hastings_football,season - game - hastings - football - league - bath - goal - injury - play - card,1.0,True,"@turnthelightout @RisenMitten @RuaidhriOC Agreed, concussion is serious but it's also a consequence of high level, high speed contact sport. Red cards should be kept for serious foul play. Ewels wasn't, I'm sure, intending harm to Ryan."
2563,2563,contact sport player stone fella speed intensity sport deliberate foul play book card,1,1_season_game_hastings_football,season - game - hastings - football - league - bath - goal - injury - play - card,1.0,True,"@RisenMitten @RuaidhriOC Its a physical contact sport which players are fully aware of. Two 6'6"", 18 stone fellas colliding at high speed in high intensity sport - this is going to happen. Serious deliberate foul play? Throw the book at him but save red cards for when they are warranted"
2691,2691,hastings goingthe sport basement level season level minute dicko rocket penalty moment,1,1_season_game_hastings_football,season - game - hastings - football - league - bath - goal - injury - play - card,1.0,True,"Hastings Utd keep going-the hard way. 0-1 down to an improving Phoenix Sports (basement level all season). Level within 3 minutes and a Dicko rocket puts us ahead within 8. Wrapped up with a late penalty, cdn't show back of the net moment due to Mark's right ear in the way. https://t.co/5s3rTrXHfc"
3063,3063,penalty pong haywards heath home keeper butter hastings break home area afternoon,1,1_season_game_hastings_football,season - game - hastings - football - league - bath - goal - injury - play - card,1.0,True,"Penalty box ping pong at Haywards Heath as the home keeper gets away with his butter fingered spill. Hastings Utd got no breaks in the home area, didn't really get going and went down 2-0. Hugely frustrating afternoon. https://t.co/mo4GgENeNb"
3177,3177,someone message leadership leader opposition,3,3_tory_party_labour_election,tory - party - labour - election - vote - leader - picket - voter - leadership - blair,1.0,True,"@Journojulz @AnnJohn30914404 @LabourList If only we had someone who could oppose that message, whilst showing some leadership. A leader, in opposition, if you will..."
3193,3193,railway station,9,9_station_park_facebook_cream,station - park - facebook - cream - island - wall - castle - group - bletchley - railway,1.0,True,"@fatboyfat @basedwagnerite @NetworkRailBHM @ichoosemag No one calls it a railway station, come off it man"
3222,3222,name someone tory meff generator,3,3_tory_party_labour_election,tory - party - labour - election - vote - leader - picket - voter - leadership - blair,1.0,True,"@wdiazberthiaume @Andrew45042914 @BernieSanders Your name sounds like someone hit randomize twice on ""Create your own Tory meff"" generator"
3238,3238,blairites arses left something,3,3_tory_party_labour_election,tory - party - labour - election - vote - leader - picket - voter - leadership - blair,1.0,True,"@weemoxy1 https://t.co/DJoeZrQZbN If this guys against it, must just be blairites showing their arses that the left are doing something"
3343,3343,class reply,2,2_thanks_john_congratulation_thank,thanks - john - congratulation - thank - reply - congrats - response - peter - paul - jason,1.0,True,@JoeStephenson96 https://t.co/6vj8yKBxSO Class reply too
