,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,clean_text,created_at,label,sentiment_index,sentiment
3657,3657,strategy election,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,I mean the strategy _might_ be as bad as it looks right now. But we won’t know until we get that election.,i mean the strategy _might_ be as bad as it looks right now but we won’t know until we get that election,2019-09-05 11:39:52+00:00,None,2,Negative
3658,3658,gareth bale game frame mind admits game croatia hungary june,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.9799980294872852,False,"Gareth Bale says he's going into the game against Azerbaijan more settled and sharper. Says although he was in the right frame of mind, admits that he wasn't where he wanted to be physically for games against Croatia and HUngary in June @BBCSportWales",gareth bale says he's going into the game against azerbaijan more settled and sharper says although he was in the right frame of mind admits that he wasn't where he wanted to be physically for games against croatia and hungary in june ,2019-09-05 11:45:15+00:00,None,1,Positive
3659,3659,brilliant idea execution brilliant,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"@RobinKwong @FinancialTimes Brilliant idea, brilliant execution. To summarise: brilliant",  brilliant idea brilliant execution to summarise brilliant,2019-09-05 11:45:47+00:00,None,1,Positive
3660,3660,cope criticism form situation anything situation,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.8419420056661809,False,"Says copes with criticism of form and situation by ignoring it: ""I don't read anything. They don't know what they're on about. Most peolple don't know the situation.""",says copes with criticism of form and situation by ignoring it i don't read anything they don't know what they're on about most peolple don't know the situation,2019-09-05 11:49:23+00:00,None,2,Negative
3661,3661,bale statement,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"Bale: ""We don't have to make a statement (v Azerbaijan). We know what we can do, we just need to go and do it.""",bale we don't have to make a statement v azerbaijan we know what we can do we just need to go and do it,2019-09-05 11:54:03+00:00,None,0,None
3662,3662,bale play summer situation wasnt feeling,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"Bale plays down summer, though says situation at Real ""wasn't ideal"". Says feeling ""stronger than ever"".",bale plays down summer though says situation at real wasnt ideal says feeling stronger than ever,2019-09-05 11:57:00+00:00,None,1,Positive
3663,3663,mate zone,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,1.0,False,"@PKendrickWIG No mate, if he does mixed zone, will let you know", no mate if he does mixed zone will let you know,2019-09-05 12:03:10+00:00,None,2,Negative
3664,3664,spinner ball,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,How does an international spinner bowl a no ball? How?,how does an international spinner bowl a no ball how,2019-09-05 13:07:12+00:00,None,2,Negative
3665,3665,year harry redknapp bale form,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"""It's not been great...but I remember not playing for a year under Harry Redknapp."" Safe to say Bale was on form earlier. https://t.co/zwrd9YU74G",its not been greatbut i remember not playing for a year under harry redknapp safe to say bale was on form earlier ,2019-09-05 13:12:49+00:00,None,1,Positive
3666,3666,term past behaviour,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,@Jeremy_Miles @jeremycorbyn @LGBTLabourWales This term was commonly used in the past and was used to describe wimpish behaviour.,   this term was commonly used in the past and was used to describe wimpish behaviour,2019-09-05 13:55:06+00:00,None,2,Negative
3667,3667,thing nephew rationale yeah sure,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,The thing is my nephew is so cute that I suddenly lose all rationale and am like yeah sure have 5 kinder eggs why not,the thing is my nephew is so cute that i suddenly lose all rationale and am like yeah sure have kinder eggs why not,2019-09-05 14:59:34+00:00,None,1,Positive
3668,3668,twitter agreement,2,2_tweet_twitter_account_timeline,tweet - twitter - account - timeline - people - follower - troll - like - time - reply,1.0,False,Twitter in agreement for once. https://t.co/8RzPAme4Gy,twitter in agreement for once ,2019-09-05 16:31:12+00:00,Life,1,Positive
3669,3669,tempo tempo tempo,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,@richard_kaputt Tempo! Tempo! Tempo! 👏 👏 👏 #sportsdeskbantz, tempo tempo tempo    ,2019-09-05 16:47:19+00:00,None,0,None
3670,3670,steve smith series inning,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,Steve Smith has scored roughly a third of Australia's total runs in this Ashes series. And he missed three of the seven innings he could have had so far. #Ashes #Ashes2019 https://t.co/1yICDzZfGY,steve smith has scored roughly a third of australia's total runs in this ashes series and he missed three of the seven innings he could have had so far   ,2019-09-05 16:52:14+00:00,None,2,Negative
3671,3671,someone james anthem,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,Find yourself someone who loves you as much as James McClean loves the Irish national anthem.,find yourself someone who loves you as much as james mcclean loves the irish national anthem,2019-09-05 18:43:46+00:00,None,1,Positive
