Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,created_at,edit_history_tweet_ids,text,clean_text,non_english,whitespace
2,2,2,1.5522179095728947e+18,2022-07-27 09:02:43+00:00,['1552217909572894720'],I’m told It’s called The State of the Labour Party. What does it mean though? https://t.co/U6elVhSWcR,i’m told it’s called the state of the labour party what does it mean though ,True,False
3,3,3,1.552217020409811e+18,2022-07-27 08:59:11+00:00,['1552217020409810944'],Is this really art? https://t.co/TTEr4vMG7u,is this really art ,True,False
4,4,4,1.5511058144962683e+18,2022-07-24 07:23:38+00:00,['1551105814496268290'],@KernowDamo @dannypowell67 What we really need https://t.co/NOjT2zdF9z,  what we really need ,True,False
5,5,5,1.5511046632603894e+18,2022-07-24 07:19:04+00:00,['1551104663260389377'],@GerardWoodhous1 Could have been better for all. https://t.co/e0SIpKZV3A, could have been better for all ,True,False
6,6,6,1.5509494433982464e+18,2022-07-23 21:02:17+00:00,['1550949443398246401'],@RealPLC @jackiepeevor @JujuliaGrace The government pour money in but it ain’t going on the nhs,   the government pour money in but it ain’t going on the nhs,True,False
7,7,7,1.5509490368821084e+18,2022-07-23 21:00:40+00:00,['1550949036882108420'],@jackiepeevor @JujuliaGrace We need a properly funded health care system. That’s it no privatisation.,  we need a properly funded health care system that’s it no privatisation,True,False
8,8,8,1.5507630881561887e+18,2022-07-23 08:41:46+00:00,['1550763088156188672'],Who is this Stepan Bandera?,who is this stepan bandera,True,False
9,9,9,1.5506696598878822e+18,2022-07-23 02:30:31+00:00,['1550669659887882241'],"@Victor_Asal @GraytommyKent People kill bc of governments causing conflict for their own gotten ills, usually for regime change.",  people kill bc of governments causing conflict for their own gotten ills usually for regime change,True,False
11,11,11,1.549467444204503e+18,2022-07-19 18:53:21+00:00,['1549467444204503040'],@Dieggy What is this map representative of?, what is this map representative of,True,False
12,12,12,1.549465204907561e+18,2022-07-19 18:44:27+00:00,['1549465204907560968'],@ScottEllison_ @GiantPainis @Kasparov63 @JuliaDavisNews Are they? Where has that come from?,    are they where has that come from,True,False
13,13,13,1.5494370016398868e+18,2022-07-19 16:52:22+00:00,['1549437001639886848'],@ScottEllison_ @Kasparov63 @JuliaDavisNews I’m not sure they are it’s more like you will join but there was no threat to them. I was sad to learn that Sweden has practically been in nato for many years. I always thought they were neutral.  So much is being unravelled through alternative streams.,   i’m not sure they are it’s more like you will join but there was no threat to them i was sad to learn that sweden has practically been in nato for many years i always thought they were neutral  so much is being unravelled through alternative streams,True,False
14,14,14,1.54942738530449e+18,2022-07-19 16:14:10+00:00,['1549427385304489985'],@ScottEllison_ @Kasparov63 @JuliaDavisNews No and you are immature.,   no and you are immature,True,False
15,15,15,1.5494272594838528e+18,2022-07-19 16:13:40+00:00,['1549427259483852802'],"@GiantPainis @ScottEllison_ @Kasparov63 @JuliaDavisNews No I’m a shrill for the truth &amp; let’s be honest usa/Uk want regime change &amp; always have &amp; at any cost to Ukrainians. They suffer &amp;have done since 2014 when all Russian language areas were targeted by Azoz. Let’s be honest about it, if that’s what is wanted let’s stop hiding it.",    no i’m a shrill for the truth amp let’s be honest usauk want regime change amp always have amp at any cost to ukrainians they suffer amphave done since 2014 when all russian language areas were targeted by azoz let’s be honest about it if that’s what is wanted let’s stop hiding it,True,False
16,16,16,1.5494245414825984e+18,2022-07-19 16:02:52+00:00,['1549424541482598402'],@ScottEllison_ @Kasparov63 @JuliaDavisNews Yes it is a lie funding nato isn’t just financial it’s joining in on all its wars which is very costly.  There no threat from Russia to those countries.,   yes it is a lie funding nato isn’t just financial it’s joining in on all its wars which is very costly  there no threat from russia to those countries,True,False
17,17,17,1.5494219089947935e+18,2022-07-19 15:52:24+00:00,['1549421908994793475'],@ScottEllison_ @Kasparov63 @JuliaDavisNews That’s a lie.,   that’s a lie,True,False
18,18,18,1.5492965117664625e+18,2022-07-19 07:34:07+00:00,['1549296511766462464'],Can this be true? https://t.co/961NnSybu1,can this be true ,True,False
19,19,19,1.549261229503533e+18,2022-07-19 05:13:55+00:00,['1549261229503533058'],https://t.co/OH7g1t7sXs,,True,False
20,20,20,1.549246802863526e+18,2022-07-19 04:16:36+00:00,['1549246802863525888'],@abigailmarone It isn’t the left making it religion that’s the rights bag., it isn’t the left making it religion that’s the rights bag,True,False
21,21,21,1.5492463185262715e+18,2022-07-19 04:14:40+00:00,['1549246318526271488'],@Kasparov63 @JuliaDavisNews Can they afford to join nato anyway? Seems a silly provocative nonsensical move. The kind of move a chess player would avoid.,  can they afford to join nato anyway seems a silly provocative nonsensical move the kind of move a chess player would avoid,True,False
22,22,22,1.5491063483941683e+18,2022-07-18 18:58:29+00:00,['1549106348394168320'],@FromSteveHowell Yeah but it was a scam in truth., yeah but it was a scam in truth,True,False
24,24,24,1.5485818490139156e+18,2022-07-17 08:14:18+00:00,['1548581849013915649'],@ProletaireY @UKLabour @Keir_Starmer Murdoch et al would never put his trust in starmer because his electability is now doubtful. They are looking at Tories again.,   murdoch et al would never put his trust in starmer because his electability is now doubtful they are looking at tories again,True,False
25,25,25,1.5485304318590362e+18,2022-07-17 04:49:59+00:00,['1548530431859036162'],@FedorovMykhailo Why has Ukraine spent years shelling its own country?, why has ukraine spent years shelling its own country,True,False
26,26,26,1.548529325477167e+18,2022-07-17 04:45:36+00:00,['1548529325477167104'],@tudor1234563 @NATO I don’t agree I think only the USA and Uk are imperialists using nato as their aggressive tool.,  i don’t agree i think only the usa and uk are imperialists using nato as their aggressive tool,True,False
28,28,28,1.5482539613579305e+18,2022-07-16 10:31:24+00:00,['1548253961357930498'],@earthygirl011 @ProletaireY Yes and isn’t the union the workers too?,  yes and isn’t the union the workers too,True,False
29,29,29,1.548030986805334e+18,2022-07-15 19:45:22+00:00,['1548030986805334019'],@Channel4News Oh dear only one telling truth on that question and not the oligarchs persons either., oh dear only one telling truth on that question and not the oligarchs persons either,True,False
32,32,32,1.5474109133802373e+18,2022-07-14 02:41:25+00:00,['1547410913380237312'],@AgnesCallamard @StefSimanowitz Biden’s war to me is accurate.,  biden’s war to me is accurate,True,False
33,33,33,1.5471123300010598e+18,2022-07-13 06:54:58+00:00,['1547112330001059840'],@LALALAWRIGHT @PeterStefanovi2 @Keir_Starmer @UKLabour It isn’t that’s no better,    it isn’t that’s no better,True,False
34,34,34,1.5467462769345577e+18,2022-07-12 06:40:24+00:00,['1546746276934557699'],@GpbartlettP @AJEnglish What evil atrocities 2014 carries on even now by ukrain shellling.,  what evil atrocities 2014 carries on even now by ukrain shellling,True,False
35,35,35,1.5467459428120005e+18,2022-07-12 06:39:04+00:00,['1546745942812000256'],@Utrippenalready @AJEnglish What history though?,  what history though,True,False
36,36,36,1.546742819905233e+18,2022-07-12 06:26:40+00:00,['1546742819905232897'],@AlanRoebuck1 @DiaDiGiovanni @premnsikka UK workers forced to work while ill.,   uk workers forced to work while ill,True,False
38,38,38,1.5456607012215726e+18,2022-07-09 06:46:42+00:00,['1545660701221572609'],@DION666J @EtonOldBoys Lefties put an end to this and gave us all weekends off. Etc. don’t be so harsh. It’s all being rolled back now we are at the crossroads. https://t.co/EPUmCNyRP7,  lefties put an end to this and gave us all weekends off etc don’t be so harsh it’s all being rolled back now we are at the crossroads ,True,False
39,39,39,1.545659613265232e+18,2022-07-09 06:42:23+00:00,['1545659613265231874'],@Keir_Starmer What’s wrong with the gutless police this sycophancy will back fire on them in the future., what’s wrong with the gutless police this sycophancy will back fire on them in the future,True,False
40,40,40,1.545658443289215e+18,2022-07-09 06:37:44+00:00,['1545658443289214976'],@RecentLatestVia Why not go for peace? This is silly waste of human life., why not go for peace this is silly waste of human life,True,False
41,41,41,1.5450245718620242e+18,2022-07-07 12:38:57+00:00,['1545024571862024194'],@eyejosh @Dominic2306 I don’t think putin has anything to do with this Boris show. It’s complete bs.,  i don’t think putin has anything to do with this boris show it’s complete bs,True,False
