,Unnamed: 0,Unnamed: 0.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
12123,12123,10982,ovie sigh,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,Ovie *sighs*,2020-12-03 00:15:18+00:00,None
12124,12124,42861,damn school memory,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.458678093465465,False,😍 damn high school memories https://t.co/jpzQLe0qJj,2020-12-03 00:52:25+00:00,None
12125,12125,5242,people turn,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,How people can be so sick and cruel makes my stomach turn like,2020-12-03 00:54:04+00:00,None
12126,12126,5241,lucy family scam money thing tomorrow heart look thing week,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.4019665949451177,False,"Was absolutely buzzing to be welcoming little Lucy to the family only to find out it was a scam and my money has gone. Worst thing is dreading telling my mam tomorrow, my heart is breaking 💔 look at all her wee things we had for her next week https://t.co/hwoqRQGzgT",2020-12-03 00:56:25+00:00,None
12127,12127,42860,song production drink,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.6596046121480326,False,@Brian_Callihan Damn what a great song man 🤠🎸🎤 and the production is awesome!!! I’ll drink to that 🍻@Brian_Callihan,2020-12-03 01:06:54+00:00,None
12128,12128,62610,living music retire,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,So fed-up with my day job! Wish I could make a living from my music and retire from trucking!,2020-12-03 07:39:39+00:00,None
12129,12129,65126,thats sail,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,1.0,False,@sallywhitwell @BarbaraKPiano Thats true. Tho not as good as his come sail away 😁,2020-12-03 08:16:05+00:00,None
12130,12130,9053,season ticket,14,14_ticket_wembley_stadium_price,ticket - wembley - stadium - price - booking - show - sale - ticketmaster - diamond - pricing,0.2285235485238167,False,"How many season tickets @LFC? It seems you do indeed, walk alone... https://t.co/nCPA7tqB11",2020-12-03 08:21:34+00:00,Life
12131,12131,65125,xmas film manger piano student school school video,10,10_christmas_soup_merry_xmas,christmas - soup - merry - xmas - biscuit - crochet - carol - blanket - dinner - yorkshire,1.0,False,@BarbaraKPiano Lol. Brilliant Xmas film!! Still prefer it to away in a manger tho Have 4 poor piano students at one school who have been asked to practise it to record for school video :( its really hard,2020-12-03 08:52:12+00:00,Life
12132,12132,12302,emergency design fault castle biscuit dunking suggestion,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,"Emergency! Crucial design fault discovered at Cobweb Castle as McVitie’s digestive biscuit refuses to go all the way into my new tea mug for ritual dunking. Suggestions, please. #BiscuitDunking https://t.co/3DpUXkwNZU",2020-12-03 09:53:47+00:00,None
12133,12133,65124,productivity mood mood everything,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.4057723912814308,False,Wishing that my productivity didn't depend so much on my mood Good mood = everything super easy and obvious,2020-12-03 10:12:36+00:00,None
12134,12134,65123,yeah people,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,@teachypiano Eek - yeah I wouldn't want to be out around ... well people,2020-12-03 11:05:08+00:00,None
12135,12135,61571,thanks review night,2,2_album_review_cover_jack,album - review - cover - jack - list - duet - year - poverty - song - release,1.0,False,Thanks for the lovely review of Silent Night @AndyHoldcroft. https://t.co/lGoWaJfGtz,2020-12-03 11:11:13+00:00,Work
12136,12136,61570,tune evening charity christmas radio play,10,10_christmas_soup_merry_xmas,christmas - soup - merry - xmas - biscuit - crochet - carol - blanket - dinner - yorkshire,1.0,False,Tune in to @BBCCWR this evening at 8.20pm to hear me talk about my charity Christmas single and the exclusive first radio play of it! #Coventry https://t.co/j00iC54bHv,2020-12-03 11:13:33+00:00,Life
12137,12137,34858,manchester passenger face covering,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.076214544017665,False,@AvantiWestCoast 11.13 from Manchester. Some passengers blatantly not wearing face coverings.,2020-12-03 11:17:51+00:00,None
12138,12138,65122,twitter hivemind suggestion serialism tone work example technique,0,0_tweet_twitter_account_follower,tweet - twitter - account - follower - timeline - anxiety - feed - parody - audience - thing,0.7089570262945932,False,Ok twitter hivemind: suggestions please for serialism / 12 tone row based works: but I'd like vocal examples please. Extended techniques would be amazing. Any other hidden gems out there?,2020-12-03 11:20:07+00:00,Life
12139,12139,65121,thats house isnt work house,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.7600348225666824,False,@laurenredhead Nope. Thats rude .. Tell work your house isnt working so does work have a house you can live in....,2020-12-03 11:24:30+00:00,None
12140,12140,5240,joke police lucy people police matter crime,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,1.0,False,Joke of the day is calling the police about being scammed over Lucy (I have the peoples address etc) and they said it’s not a police matter as it’s not a legit crime EXCUSE ME????,2020-12-03 11:25:40+00:00,None
