,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
37922,37922,whine meghan part world upload,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0034861915271194,False,".... uh; don't cry (or whine) now bc Meghan mentioned the little mermaid .... cover ""Part of your world"" and upload it on #soundcloud or sumthin'... https://t.co/260lubyQuZ",2021-03-09 00:27:55+00:00,None
37923,37923,anyone diana documentary netflix meghan chose wife,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,"If anyone has watched the Diana documentary on Netflix, you will completely understand what Meghan is talking about and why Harry chose to protect his wife ❤️ #HarryandMeghan #OprahMeghanHarry",2021-03-09 01:16:54+00:00,None
37924,37924,thanks follow,4,4_thanks_follow_work_welcome,thanks - follow - work - welcome - wait - rest - glad - anything - dream - fire,1.0,True,Hey Tom Moore thanks for the follow!,2021-03-09 01:26:43+00:00,Life
37925,37925,administrator head wage,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,"@NurseJustinRN @TheresaBrown @tiredicunurse @jeanmgriffin Oh the many administrators who have laughed inside their heads, or out loud, when we ask for higher wages.",2021-03-09 01:37:46+00:00,None
37926,37926,cost living student loan worth,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,"@NurseJustinRN @NurseLexiJ @NursePatMacRN @tiredicunurse @jeanmgriffin @TheresaBrown I don’t get paid nearly enough due to cost of living and student loans, let alone what I KNOW IS MY WORTH!",2021-03-09 01:42:41+00:00,None
37927,37927,black wage payment wage,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.9300541627060984,False,"@NurseJustinRN @NursePatMacRN @tiredicunurse @jeanmgriffin @TheresaBrown There are too many taxes on POC, especially Blacks, that are made to lower our wages either upfront or after payment. Current wages are NOT adequate, let alone proper.",2021-03-09 01:45:19+00:00,None
37928,37928,latino family trust fund,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,"@NursePatMacRN @tmc_RN @NurseJustinRN @tiredicunurse @jeanmgriffin @TheresaBrown SO THIS! Sad to say I was not born a rich white man, nor a white man. Being Latino from an Afro-Caribbean family means no trust funds to fall back on. https://t.co/j9oEEGL55p",2021-03-09 01:51:29+00:00,None
37929,37929,nurse breadwinner bill work hour care healthcare system country people debt,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,"@NurseJustinRN @NursePatMacRN @tiredicunurse @jeanmgriffin @TheresaBrown I have been injured on the job as a nurse and the breadwinner. The bills pile up quick when you lose work hours, use up your little PTO, and have paying for medical care. The healthcare system in this country is made to run people into debt.",2021-03-09 01:56:43+00:00,None
37930,37930,money healthcare work symptom,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,@NurseJustinRN @NursePatMacRN @tiredicunurse @jeanmgriffin @TheresaBrown Still costing me a lot of money having to pay for personal healthcare and missing days of work due to ongoing symptoms. I am in no way making enough to live comfortable.,2021-03-09 01:59:09+00:00,None
37931,37931,business practice salary driver business expense wage place practice cost,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,"@NurseJustinRN @TheresaBrown @tiredicunurse @jeanmgriffin And it’s poor business practice. As much as salaries being the biggest driver of business expenses, trying to drive these cost down by lowering or holding wages in place is not good practice, it actually can lead to higher cost in the long run.",2021-03-09 02:02:38+00:00,None
