,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
1304,1304,mission group thank life,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0448381997807254,False,"@bukhariwaleeed @LbciLebanon Despite your diplomatic mission you have not forgotten this special group. Thank you, we need to embrace them in our day-to-day life. #humanity",2019-03-26 06:44:41+00:00,None
1305,1305,thank porter reading half marathon touch memory thomas celebration,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.7247737337980898,False,A big thank you to Victoria Porter who ran the Reading Half Marathon to fundraise for First Touch in memory of her precious nephew Thomas and in celebration of his... https://t.co/v8DNGMC8kN,2019-03-26 11:17:28+00:00,None
1306,1306,fuck,4,4_thanks_follow_work_welcome,thanks - follow - work - welcome - wait - rest - glad - anything - dream - fire,1.0,True,@sometimes_angry What the fuck does it even mean though?,2019-03-26 11:26:39+00:00,Life
1307,1307,course antibiotic,2,2_shift_night_tonight_match,shift - night - tonight - match - ward - sleep - game - bless - emotion - today,1.0,True,"10 day course of antibiotics, yay🙃",2019-03-26 12:08:50+00:00,Work
1308,1308,time night,2,2_shift_night_tonight_match,shift - night - tonight - match - ward - sleep - game - bless - emotion - today,1.0,False,@KatieRussellx WOW that cause it happened 10 times last night OK,2019-03-26 13:48:18+00:00,Work
1309,1309,barnet round,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,0.0285930117221455,False,The barnet after another round...... https://t.co/6y8r5apcfm,2019-03-26 15:49:36+00:00,Life
1310,1310,showerbath katies bowel,2,2_shift_night_tonight_match,shift - night - tonight - match - ward - sleep - game - bless - emotion - today,1.0,False,Me: right I’m going in the shower/bath Katies bowels: *SURPRISE*,2019-03-26 17:36:12+00:00,Work
1311,1311,thanks work tomorrow,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.2240361637192133,False,@Sharonmuskebear I'm good thanks.... You? Just getting ready for work tomorrow 😊,2019-03-26 20:56:32+00:00,None
1312,1312,yeah tomorrow,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0428620129539261,False,"@Sharonmuskebear Yeah on a long day tomorrow, which is kinda normal 😆",2019-03-26 21:03:15+00:00,None
1313,1313,morning,0,0_morning_hope_coffee_thing,morning - hope - coffee - thing - weekend - chris - person - everyone - sorry - evening,0.4619967704514964,True,@Sharonmuskebear I will take it!.....😍.. I'm looking forward to the lighter mornings!,2019-03-26 21:11:00+00:00,Life
1314,1314,feel work,4,4_thanks_follow_work_welcome,thanks - follow - work - welcome - wait - rest - glad - anything - dream - fire,0.9230746097138132,False,"@Sharonmuskebear Me to... I feel less tired, and its nice going to and fro work in the light 😊",2019-03-26 21:20:21+00:00,Life
1315,1315,square,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,@OriginalLeiZ Just showed this to Sonny and he said “nah what they doing though? Squares at the bottom? Nah bro. Nah”,2019-03-26 21:49:39+00:00,None
1316,1316,reference member professor prof program speciality,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.7298955127883331,False,@nature @kate_samardzic Is there a reference or standard regarding who from the academic members (assistant professor or full Prof.) should be involved in the PhD program in any speciality? #phd #doctorate #universities #academia #expert #professor,2019-03-27 13:11:57+00:00,None
1317,1317,someone bean energy,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.9347990906199548,False,@shaynaweber We say that someone is “full of beans” when they have lots of energy.,2019-03-27 13:12:35+00:00,None
1318,1318,compassion healthcare homey creator,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,"@ZDoggMD It’s all about compassion in healthcare big dog. Here’s my homey @nickisnpdx, the creator of #pinksocks https://t.co/kE8hcPH7aE",2019-03-27 17:00:46+00:00,None
1319,1319,congratulation,3,3_congratulation_luck_award_jenny,congratulation - luck - award - jenny - achievement - team - winner - congrats - hero - football,0.5585946352592367,True,@katiehodgie Congratulations,2019-03-27 18:42:44+00:00,Life
