,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,clean_text,created_at,label,sentiment_index,sentiment
3657,3657,word letter complaint parcel leicester week hour,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,"@CollieTrio Having written a 1,000 word letter of complaint to their CEO about a lost parcel that was in Leicester for 3 weeks, I know what you mean. Funny how it was found and delivered within 24 hours of it being sent. https://t.co/NHCxR0om1w", having written a word letter of complaint to their ceo about a lost parcel that was in leicester for weeks i know what you mean funny how it was found and delivered within hours of it being sent ,2020-12-03 08:04:43+00:00,None,2,Negative
3658,3658,indecency case,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,"@CollieTrio This might be more effective, and avoid possible public indecency cases! https://t.co/UWSuSqtIHm", this might be more effective and avoid possible public indecency cases ,2020-12-03 08:08:12+00:00,None,1,Positive
3659,3659,membership ballot paper refusal return,3,3_tory_party_labour_election,tory - party - labour - election - vote - leader - picket - voter - leadership - blair,0.7848001330868394,False,And the membership ballot paper to confirm refusal of EOH returns? Or have I missed that somewhere? Q https://t.co/IGqUsbR01A,and the membership ballot paper to confirm refusal of eoh returns or have i missed that somewhere q ,2020-12-03 09:35:19+00:00,Life,2,Negative
3660,3660,tile hill station north coventry,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,@CebelihleM @DickKingSmith Outside Tile Hill Station a little north of Coventry.,  outside tile hill station a little north of coventry,2020-12-03 12:24:58+00:00,None,0,None
3661,3661,please team sport nutritionist advice talk,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@ChloeMcClure99 Hun please contact @beatED they really will help you. They’re the best and most understanding team I’ve ever come across. I trained to be a sports nutritionist rarely give advice now but please talk to Beat, hun please contact  they really will help you they’re the best and most understanding team i’ve ever come across i trained to be a sports nutritionist rarely give advice now but please talk to beat,2020-12-03 17:26:36+00:00,None,1,Positive
3662,3662,heart incident home thought family work colleague emergency service scene,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,"Heart is breaking for all those involved in the incident at Avonmouth. No one should ever go to work and not come home again. Thoughts going out to all the families, friends, work colleagues affected and with all the emergency services now having to deal with some awful scenes.",heart is breaking for all those involved in the incident at avonmouth no one should ever go to work and not come home again thoughts going out to all the families friends work colleagues affected and with all the emergency services now having to deal with some awful scenes,2020-12-03 17:47:19+00:00,None,0,None
3663,3663,year message,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,@ChloeMcClure99 I was going to DM you but can see you’ve been bombarded a bit. Like I said I’m trained but not practiced for years. But if you need to talk I’m only a message away and can try to help you out, i was going to dm you but can see you’ve been bombarded a bit like i said i’m trained but not practiced for years but if you need to talk i’m only a message away and can try to help you out,2020-12-03 18:03:16+00:00,None,1,Positive
3664,3664,month surprise,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.8207422401874018,False,As predicted a few months ago. The only surprise is that the cut isn’t somewhat deeper https://t.co/Ew5LAmNkeV,as predicted a few months ago the only surprise is that the cut isn’t somewhat deeper ,2020-12-03 18:23:52+00:00,None,0,None
3665,3665,detail budget control period project approval,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@DanielPhilips1 No detail as yet. It’s a cut to the overall budget for the current 5-year Control Period. Each project is authorised individually by DfT as they become ready for approval, no detail as yet it’s a cut to the overall budget for the current control period each project is authorised individually by dft as they become ready for approval,2020-12-03 18:46:01+00:00,None,1,Positive
3666,3666,return policy brief counsel action election,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,So why not an immediate No Returns policy for EOH briefs that counsel can’t do? You promised action when standing for election https://t.co/wKPSWGHuWE,so why not an immediate no returns policy for eoh briefs that counsel can’t do you promised action when standing for election ,2020-12-03 20:00:18+00:00,None,1,Positive
3667,3667,policy work,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,"@CrimeGirI But they won’t stop it. A No Returns policy means that when they start it, it can’t work", but they won’t stop it a no returns policy means that when they start it it can’t work,2020-12-03 20:22:53+00:00,None,2,Negative
3668,3668,delay delivery congestion,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,“Minor delays to delivery due to congestion” https://t.co/IMid1eYYE7,minor delays to delivery due to congestion ,2020-12-04 08:41:51+00:00,None,0,None
3669,3669,series blacklist obvs,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@pjm1kbw It ranks along with Boston Legal as one of the best series to emerge from USA. Oh and Blacklist obvs..., it ranks along with boston legal as one of the best series to emerge from usa oh and blacklist obvs,2020-12-04 18:08:37+00:00,None,1,Positive
3670,3670,anyone toffee penny,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.3222759330454895,False,Does anyone actually like the Toffee Pennies #QualityStreet?,does anyone actually like the toffee pennies ,2020-12-04 20:53:40+00:00,None,1,Positive
3671,3671,phrase mobility service,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.5224875364743746,False,@GarethDennis A phrase I don’t really like is “mobility as a service”. I don’t even know what meaning it’s supposed to convey, a phrase i don’t really like is mobility as a service i don’t even know what meaning it’s supposed to convey,2020-12-05 08:47:51+00:00,None,1,Positive
3672,3672,response time,2,2_thanks_john_congratulation_thank,thanks - john - congratulation - thank - reply - congrats - response - peter - paul - jason,0.5816003779576756,False,@chris_railway @IanProsser7 That’s almost a blue-light response time!,  that’s almost a bluelight response time,2020-12-05 08:53:36+00:00,Life,0,None
3673,3673,bumper rover,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@webbshire @RunsOnRails Is the bumper from the Rover James? https://t.co/FtBgZNPm2g,  is the bumper from the rover james ,2020-12-05 09:18:00+00:00,None,0,None
3674,3674,company essence access record,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"Totally agree. I do not support private companies, in essence, having access to my medical records. https://t.co/uaNYTtaPXN",totally agree i do not support private companies in essence having access to my medical records ,2020-12-05 15:25:32+00:00,None,1,Positive
3675,3675,integration transport info name tongue better,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.7744745723449622,False,@DavidShirres @GarethDennis So “Digital Integration of Public Transport Info and Charging” would be a more accurate name than MaaS? DIPTIC even rolls off the tongue better,  so digital integration of public transport info and charging would be a more accurate name than maas diptic even rolls off the tongue better,2020-12-05 16:58:33+00:00,None,1,Positive
3676,3676,blue face madness half locomotive,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.8612888716463571,False,"@mattymidland A blue 4-6-2 without a face?! What is this madness? However, my less sane half applauds you for the Southern locomotive!", a blue without a face what is this madness however my less sane half applauds you for the southern locomotive,2020-12-05 20:16:28+00:00,None,2,Negative
3677,3677,number towards pancras station,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"@mattymidland What you need now sir, is North Western Railway's number 4 streaking towards St. Pancras, or whatever they're calling London Station these days.", what you need now sir is north western railway's number streaking towards st pancras or whatever they're calling london station these days,2020-12-05 20:48:07+00:00,None,1,Positive
3678,3678,castle station year,9,9_station_park_facebook_cream,station - park - facebook - cream - island - wall - castle - group - bletchley - railway,0.62339554073071,False,"Sadly, Barnard Castle Station closed years ago. https://t.co/pg0HdZMW7W",sadly barnard castle station closed years ago ,2020-12-06 13:07:34+00:00,Life,2,Negative
