,Topic,Count,Name,details
0,-1,85669,-1_nurse_time_people_care,"['nurse', 'time', 'people', 'care', 'health', 'patient', 'year', 'today', 'work', 'week']"
1,0,1496,0_journal_article_issue_look,"['journal', 'article', 'issue', 'look', 'research', 'dementia', 'kidney', 'disease', 'street', 'health']"
2,1,1435,1_morning_morning morning_friend_chris,"['morning', 'morning morning', 'friend', 'chris', 'kenny', 'morning kenny', 'morning chris', 'kenny friend', 'chris friend', 'friend morning']"
3,2,1397,2_food_school_food life_meal,"['food', 'school', 'food life', 'meal', 'child', 'life', 'school meal', 'caterer', 'school food', 'part']"
4,3,1326,3_year_love_peace_year year,"['year', 'love', 'peace', 'year year', 'love peace', 'brilliant', 'finger', 'peace love', 'button', 'year love']"
5,4,1230,4_student_nurse_nursing_life,"['student', 'nurse', 'nursing', 'life', 'career', 'nurse nurse', 'anyone', 'degree', 'teacher', 'student nurse']"
6,5,1168,5_time_time time_stuff_stuff stuff,"['time', 'time time', 'stuff', 'stuff stuff', 'stuff time', 'time stuff', 'essay', 'thank time', 'time issue', 'issue time']"
7,6,1139,6_lunch_support_claire_fruit,"['lunch', 'support', 'claire', 'fruit', 'delivery', 'apple', 'kath', 'lunch break', 'ball', 'snack']"
8,7,1039,7_thank thank_thank_thank ahaha_ahaha thank,"['thank thank', 'thank', 'thank ahaha', 'ahaha thank', 'ahaha', '', '', '', '', '']"
9,8,1034,8_today_thing_today today_today thing,"['today', 'thing', 'today today', 'today thing', 'thing thing', 'thing today', 'yesterday', 'glad', 'cute', 'feeling']"
10,9,1025,9_tory_party_labour_corbyn,"['tory', 'party', 'labour', 'corbyn', 'starmer', 'voter', 'idiot', 'tory tory', 'tory party', 'vote']"
11,10,1016,10_thanks_weekend_thanks thanks_morning,"['thanks', 'weekend', 'thanks thanks', 'morning', 'evening', 'oklahoma', 'afternoon', 'saturday', 'shaun', 'thank']"
12,11,941,11_congratulation_congratulation congratulation_achievement_winner,"['congratulation', 'congratulation congratulation', 'achievement', 'winner', 'award', 'hero', 'congrats', 'programme module', 'programme', 'module']"
13,12,925,12_mask_face_train_tear,"['mask', 'face', 'train', 'tear', 'whatwho', 'whatwho today', 'awww', 'fear', 'smile', 'kate']"
14,13,839,13_hope_scotland_hope hope_morning,"['hope', 'scotland', 'hope hope', 'morning', 'jenny', 'bonnie', 'bonnie scotland', 'morning hope', 'morning jenny', 'hope morning']"
15,14,796,14_people_word_everyone_people people,"['people', 'word', 'everyone', 'people people', 'anything', 'person', 'mouth', 'everyone people', 'word word', 'word people']"
16,15,724,15_match_reading_rest_article time,"['match', 'reading', 'rest', 'article time', 'time reading', 'reading nurse', 'nurse article', 'article', 'tune', 'bill']"
17,16,720,16_tweet_twitter_chat_kind,"['tweet', 'twitter', 'chat', 'kind', 'tweet tweet', 'twitter twitter', 'tweet twitter', 'matter', 'transcript', 'prechat']"
18,17,652,17_book_review_book book_book review,"['book', 'review', 'book book', 'book review', 'club', 'copy', 'book haul', 'haul', 'week book', 'amazon']"
19,18,648,18_birthday_birthday birthday_birthday today_hope birthday,"['birthday', 'birthday birthday', 'birthday today', 'hope birthday', 'state', 'birthday hope', 'graduate', 'hope', 'birthday state', 'today']"
20,19,640,19_charity_donation_baby_unit,"['charity', 'donation', 'baby', 'unit', 'wish', 'fund', 'ventilator', 'louise', 'thanks', 'touch']"
