,Unnamed: 0,Unnamed: 0.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
1428,1428,9608,disgrace topham hatt influence,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"@RMcCarthy86 Well, Pip is now in disgrace with Sir Topham Hatt for working while under the influence, so probably the HST.",2020-02-09 07:29:21+00:00,None
1429,1429,9607,help castle part number please,9,9_station_park_facebook_cream,station - park - facebook - cream - island - wall - castle - group - bletchley - railway,1.0,False,"Hi @LEGO_Group, I could do with some help. I'm restoring an old castle set, and I need one of these to complete it. Do you know what part number it is, or what it's called please? https://t.co/1TJs4LWdQu",2020-02-09 10:25:09+00:00,Life
1430,1430,22262,warning rail today numpty availability weekend thing home,0,0_rail_railway_industry_network,rail - railway - industry - network - article - company - train - tocs - government - people,1.0,False,"Despite all the warnings about not travelling by rail today, this numpty is going in to work because he forgot to put the non availability in for his weekend off. #whatawally I would normally be quite British about these things, however it’s pretty grim, so stay at home.",2020-02-09 13:27:16+00:00,Work
1431,1431,22261,stay home,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,@Gary_Kilroy Stay at home lol,2020-02-09 13:29:21+00:00,None
1432,1432,22260,flag liverpool hour solid,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.8402592306378862,False,"Honestly, the sun is now cracking the flags in Liverpool. Has been for about half an hour solid.",2020-02-09 14:04:51+00:00,None
1433,1433,22259,ground speed mach girl,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"Clocked a ground speed of 824mph. That’s Mach 1.074. Not bad going for a big, old girl! https://t.co/RNTTZpj0vD",2020-02-09 14:16:45+00:00,None
1434,1434,7206,side bridge need bristol mile diversion gloucester ride bridgeif cardiff france spain,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.6171993264223928,False,"@EmCGreenwood I'm other side of severn bridge - need to be in Bristol later - I'm not sure if I want to do the 50+ miles diversion via Gloucester or do a 'ride or die' over new bridge....if you never hear from me again, I'm somewhere in the Severn floating past Cardiff onto France or Spain....",2020-02-09 14:34:52+00:00,None
1435,1435,7205,catch defo thursfri night,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.3255907408460118,False,@kmm16x We need a catch up soon! Let me know when you're free and I'll try to match - though defo can't do next few Thurs/Fri nights,2020-02-10 00:36:44+00:00,None
1436,1436,17822,court request defamation lawsuit journalist accusation hmmm,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"#trump asks court to delay DNA request in anti defamation lawsuit where journalist says he #sexually assaulted her, could this be because it will confirm her accusation?? Hmmm I wonder! https://t.co/LNr9evPOqq",2020-02-10 08:35:35+00:00,None
1437,1437,9606,help industry plumber toilet,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.3855741529101909,False,"I can't help but feel I'm working in the wrong industry, £50 for a plumber to do 15 mins work seems a bit steep, but at least I can go toilet without flooding it now!",2020-02-10 12:49:29+00:00,None
1438,1438,9605,bill tony stamp ford sierra,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.5433341070833041,False,"@Sandford_Police From The Bill, Tony Stamp driving a Ford Sierra.",2020-02-10 12:54:10+00:00,None
1439,1439,9604,eldest trampoline,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.6809674555340176,False,"@jameshepburn91 Eldests trampoline is still here, so all should be well at your end.",2020-02-10 12:55:06+00:00,None
1440,1440,9603,help hornby loco tender wonder,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,I can't help but think Hornby are ignoring me after I queried if a loco is coming with the right tender. Wonder if I've made them realise they've cocked up. #TMRGUK,2020-02-10 15:41:13+00:00,None
1441,1441,9602,tender photo thing tender,8,8_photo_photographer_image_picture,photo - photographer - image - picture - thanks - railway - station - shot - photograph - cornwall,1.0,False,"@GrahamMuz 92212, pretty sure it has never run with the tender it's shown with, especially when the photo of real thing shows it with a large tender. R3941.",2020-02-10 15:56:25+00:00,Life
1442,1442,7204,view people trouble people life,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"Controversial view - these people shouldn't be helped and should be left alone even if in trouble, why should people risk their lives? https://t.co/leBJc8tavE",2020-02-10 16:48:55+00:00,None
1443,1443,9601,conductor passenger service,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"@KevinLucioni3 I can assure you as a LNR conductor, that there is no DOO passenger service with us.",2020-02-10 16:52:30+00:00,None
1444,1444,22258,medium team,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.7809180570315949,False,@PacerPreacher @northernassist You do know we have a social media team that does this??,2020-02-10 20:31:23+00:00,None
1445,1445,22257,everyone intending train,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.3009927904123997,False,@PacerPreacher @northernassist But that only works if everyone intending to get on these trains follows you lol,2020-02-10 20:39:33+00:00,None
