,0,1,2,3,4,5,6,7,8,9
0,morning sweetheart,wait,deffo crocodile,suggestion,davide,point,photo,candidate,tiktok place,bill bill
1,morning sweetie,wait,deffo,suggestion,girl shit davide,point,photo,candidate package,watch funny tiktoks stuff,bill title rule change administration
2,jealousy morning,wait,deffo,suggestion,davide,point,photo,candidate,join tiktok please awareness,bill
3,thanks edie goliath witcher,show,duff,rnhome health cavendish,tripping,someone ball,mardi,laura galloway,cookie,petrol
4,slytherin,show,liam halligan person news,rnhome health cavendish,trip,ball,wedding,laura,cookie,thing petrol change department transport petrol road
5,harry potter,show,liam,rnhome health cavendish,trip,ball dementia,wedding,laura,costa cookie shortbread church,today petrol
6,morning,spice,part,thank,bell thou knowing hospice setting month community care hospice world,outfit,grandparent romper,congratulation,code,mile
7,morning,spice spice,part,thank,professional health hospital charity hospice,start thinking outfit,share grandchild,congratulation,code,mile
8,morning,cause share spicy photo,part,thank,huron hospice resident care coordinator hospice,outfit change,grandparent,congratulation,code,mile
9,forty fort pediatrics,hour shift,school,sorry,nurse home health ramon,peanut butter,punchbowl hour date honolulu,wishbone,twitter opposition,backstroke
10,forty fort pediatrics,assault minute course hour shift,school,sorry,nurse home health ramon,peanut brain,punchbowl hour date honolulu,love wish,twitter,swim
11,forty fort pediatrics,hour shift nevermind brain,school,sorry,nurse home health ramon,peanut butter crunchy peanut butter,punchbowl hour date honolulu,wish professional,twitter,swim
12,fort defiance,night,albie cone shame,stegh,hospice worker daly city,sure,telemetry pali momus honolulu,news congratulation,thankyou tweeps problem,walk
13,fort defiance,night,albie,urghh,hospice worker daly city,sure,telemetry pali momus honolulu,news congratulation,thank tweet,walk
14,fort defiance,night,albie hole back skull second milk,argh,hospice worker daly city,sure,telemetry pali momus honolulu,news congratulation,awww wonderful tweet evening thank,walk
15,whatsapp status relationship,care night,heck,health welldone,vvsc vail,thank life,rnor wilcox center honolulu,awwww matt,tweet deer,report road
16,whatsapp,care night,hell,health,vvsc vail,life saver thank,rnor wilcox center honolulu,matt,tweet,learning default road
17,whatsapp,care night,hell,health,vvsc vail,welcome life freeet,rnor wilcox center honolulu,subject matt,tweet,road
18,handsome,nicupicu night,cook,explanation,community health home health middlebury,team,kapiolani labor delivery week honolulu,talent hunny,thing series mama,ride
19,awww handsome hope,nicupicu night,hour train journey stew cooker,explanation,community health home health middlebury,team,kapiolani labor delivery week honolulu,courage talent hatred bile word,mama,ride
20,handsome,nicupicu night,line cook thanks,explanation,tuberculosis patient home community condition,team,kapiolani labor delivery week honolulu,talent,mama,ride
21,thank everyone,night baudette,post night predinner snack,reply,city york,people circumstance,brewster,post,cottagewe prem labour week compressionsbut today teaching kindnessamp compassion,phone bike arrives
22,thank everyone,night baudette,prayer disclaimer miiiiight wanna snack cause,reply,york,look circumstance,brewster,post,community team help compassion dignity hero,goodness work today bike ride
23,thank everyone realise,night baudette,justification lack snack thing people king,reply,york,term debrief circumstance people support,brewster,post,respect decision home office compassion others situation forward,lucky bike country
24,thanks,shift canton,janesville pharmacy perm janesville,please respond thanks,feel,superb,peace,hannah anything,sticker,pointless
25,thanks,shift canton,janesville pharmacy perm janesville,thank response,feel story,supermutt,peace right,brilliant hannah,sticker,usage
26,thanks,shift canton,janesville pharmacy perm janesville,thanks response,feel,buddy course super,peace,point hannah,sticker,pointless
27,captain icebreaker giantampexcellent sailorhe convergence pacificatlanticsouthern cape horn drake,star student,impact food community connection activity future part survey,question,shame,tomorrow,smile,luck everyone course today hayley buckle ride,account,fallacy
28,captain,star,result plea government commit funding school meal holiday period,question,shame,tomorrow,smile,thats hayley,account,youve argument
29,stand captain,star,community food provision come event join discussion importance dignity principle food provision area,question,shame,tomorrow,smile,hayley,account,please argument
30,thing,boycotting calendar georgies,life doin,question everyone,option,time today,beautiful,thank home sorry cuddle,anniversary,autumn brain zoom seminar lunchtime sipler health development specialist book place online
31,thing,georgie gastroenteritis understand person,life,defo people quiz,option,time today,beautiful,glad home kettle,anniversary,autumn brain zoom seminar lunchtime sipler health development specialist book place online
32,thing,georgie time snow,life,question everyone,option,thanks today time recognise,beautiful,thank post home,year anniversary meditation,autumn brain zoom seminar lunchtime sipler health development specialist book place online
33,welcome,distraction,clever,work carl,resident care home bearsden language lesson,weekend,love,wish,people twitter,list
34,welcome,distraction,clever,work mention,care home resident vote election,weekend,love,wish,medium guru team candidate facebook twitter medium account expectation growth today,list
35,welcome,distraction technique concentration wave,clever,work keep,care home care provider stop activity resident,weekend like,love,wish,tweet sense,list
36,everyone,soap,water,week twitter mention like,garden,worth minefield]? person problem,love love love,johnson hancock,parody,gaslighting abhorrent smear
37,everyone,soap thought reason soap bitch,water,week tweet week,guess touch outback garden,person problem,love love,point anyone matt hancock question question,parody account,gaslighter manipulator
38,everyone,saturday time time coffee sock soap spender,water,scott congress night week liverpool branch twitter playing week,garden dear,people problem,pure love,matt hancock,parody account,gaslighting
39,everything,gonna word rota,baby,retweet,stay,thank porthcawl tomorrow,amazing,load,benefit candle,lack money lack energy
40,everything,rota,baby,rewatch tweet,glad stay love,thanks tomorrow,amazing,load shit,candle comfy,anyone specific energy
41,everything,dunno rota,baby,retweet,stay,thanks tomorrow,amazing,load,notification candle holocaust comfort joseph part part,energy
42,need,tonight,fundraiser sadiq memory irfan halim,thanks follow,home sweet home,difference,anything soul,right,worry,pace pace pace
43,need,tonight tonight woahoh,abuse charity stuff resource,thanks follow,home life,difference,soul,right,worry,today pace
44,need,tonight,publicity million charity sympathy,thanks follow,foam flip home place suck,difference,soul,right,worry,pace plog
45,duck,morning term bank holiday sign email,gesture thank,nurse patient hospital capacity leader order endangers health everyone home,keep increasinggg eiiiii,planet,month binge series,paul game,guess,gordon wage condition speaking note
46,duck,bank holiday book,gesture memory emma stunning,question nurse suggestion nursing crisis nurse work,oiiiii,knew planet thur jupiter orange,binge watch story,paul rest tonight jesus,guess,wage
