,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,clean_text,created_at,label,sentiment_index,sentiment
4683,4683,paul heaton jacqui abbott,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,The Beautiful South's Paul Heaton and Jacqui Abbott to play Birmingham @PaulHeatonSolo @ArenaBirmingham https://t.co/9oVfJDuA7A,the beautiful south's paul heaton and jacqui abbott to play birmingham   ,2019-10-18 17:00:01+00:00,None,1,Positive
4684,4684,house move year holy shit book work stuff,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"First house move in five years, and holy shit I own too much. This is just books and work stuff 😱 https://t.co/ann1AaVso5",first house move in five years and holy shit i own too much this is just books and work stuff  ,2019-10-18 17:55:11+00:00,None,2,Negative
4685,4685,family ticket live birmingham,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,1.0,False,#WIN: A family ticket to Peppa Pig Live in Birmingham @thealexbham https://t.co/tJbSEsVxG3, a family ticket to peppa pig live in birmingham  ,2019-10-18 19:00:01+00:00,None,0,None
4686,4686,luton town bristol city,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,@LutonNews_LTFC Luton Town 2 Bristol City 2., luton town bristol city,2019-10-18 19:28:27+00:00,None,0,None
4687,4687,westminster ireland mckay,10,10_ireland_belfast_dublin_accent,ireland - belfast - dublin - accent - derry - fein - sinn - year - business - people,1.0,False,The DUP has been humiliated in Westminster – and in Northern Ireland too | Susan McKay https://t.co/wjBtOgyTb7,the dup has been humiliated in westminster  and in northern ireland too  susan mckay ,2019-10-18 21:08:35+00:00,Life,2,Negative
4688,4688,vowel take please carol,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"I'll have two vowels and a hot take, please, Carol https://t.co/UtPVSHKMyC",i'll have two vowels and a hot take please carol ,2019-10-18 22:59:21+00:00,None,1,Positive
4689,4689,chair minute,0,0_thank_thanks_hope_moment,thank - thanks - hope - moment - kind - weekend - minute - easter - dream - hello,0.4141935511622405,False,Left my chair for two minutes.... https://t.co/WQsbndu8Fy,left my chair for two minutes ,2019-10-19 01:49:11+00:00,Life,0,None
4690,4690,scheme family cookery class town surplus food,1,1_food_lunch_breakfast_restaurant,food - lunch - breakfast - restaurant - meal - dinner - cheese - sausage - gift - cream,1.0,False,"This shouldn’t be necessary, but sadly it is and this scheme, starting in #Colchester, will help many families. When we run ⁦@JamiesMOF⁩ cookery classes for #YoungCarers in town, we always donate the surplus food. ⁦@RotaryGBI⁩ ⁦@RIE1240⁩ https://t.co/OBNWy8cEmN",this shouldn’t be necessary but sadly it is and this scheme starting in  will help many families when we run  cookery classes for  in town we always donate the surplus food   ,2019-10-19 06:15:08+00:00,Life,0,None
4691,4691,fond memory robin owner owner hamblett venue book,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,Fond memories of rockin’ Robin: Former owner owner Mike Hamblett reflects on venue in new book @Robin2Music https://t.co/CHh84FUDwY,fond memories of rockin robin former owner owner mike hamblett reflects on venue in new book  ,2019-10-19 08:00:00+00:00,None,1,Positive
4692,4692,picture story offensive kurd price,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"The pictures telling the story of Turkey’s military offensive against the Kurds, and those who pay the price. https://t.co/7PhsPSRACi https://t.co/JE8hojLYzl",the pictures telling the story of turkey’s military offensive against the kurds and those who pay the price  ,2019-10-19 09:31:03+00:00,None,2,Negative
4693,4693,creative difference,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,@iamrofe @bskipper27 Creative differences,  creative differences,2019-10-19 09:47:07+00:00,None,1,Positive
4694,4694,twang announce birmingham christmas show,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,The Twang announce second Birmingham Christmas show @the_twang @O2InstituteBham https://t.co/F1C2ohwb9Q,the twang announce second birmingham christmas show   ,2019-10-19 10:00:00+00:00,None,0,None
4695,4695,singing competition,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,@stewarthend @patjohn77 @adamkeating1981 A singing competition?,   a singing competition,2019-10-19 10:05:16+00:00,None,0,None
4696,4696,whistlestop photo street,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,Our 21-day whistlestop America tour - one photo a day. Day 1: San Francisco (Lombard Street) https://t.co/MK2JdFq8Hy,our whistlestop america tour  one photo a day day san francisco lombard street ,2019-10-19 11:41:12+00:00,None,0,None
4697,4697,point lobos,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.7044673562768455,False,"Day 4: Point Lobos, CA https://t.co/1OrHKcnE7A",day point lobos ca ,2019-10-19 11:41:23+00:00,None,0,None
4698,4698,angeles santa monica,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,Day 10: Los Angeles (Santa Monica) https://t.co/W1yxZYDz54,day los angeles santa monica ,2019-10-19 11:41:40+00:00,None,0,None
4699,4699,york brooklyn bridge,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.5485659475022632,False,Day 19: New York (Brooklyn Bridge) https://t.co/Gzvu5lMbzE,day new york brooklyn bridge ,2019-10-19 11:42:12+00:00,None,0,None
4700,4700,york time,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,1.0,False,Day 20: New York (Times Square) https://t.co/qlsuYm9c3t,day new york times square ,2019-10-19 11:42:15+00:00,None,0,None
4701,4701,york york,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,1.0,False,"Bonus New York, because it's New York https://t.co/cb9RVSUOKV",bonus new york because it's new york ,2019-10-19 11:42:25+00:00,None,1,Positive
4702,4702,luck today,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.5674440862282101,False,@Bowerspitseafc @EmiratesFACup @ChiCityFC @Danny_Rust10 @BBCEssexSport @NonLeaguePaper Good luck today!,      good luck today,2019-10-19 11:44:18+00:00,None,1,Positive
